thesis_id,status,fold_id,fold_start_date,fold_end_date,buyhold_annualized_return,strategy_total_return,strategy_annualized_return,excess_vs_buyhold_ann,beats_buyhold,event_count
TB06_Z01_BuyHoldMomentumThrottle,evaluated,1,2016-05-26,2017-05-24,0.19707720068353063,0.1993511457604802,0.20200207382972568,0.004924873146195052,True,25
TB06_Z02_WinnerRetentionRotation,evaluated,1,2016-05-26,2017-05-24,0.19707720068353063,0.2154063170947127,0.21828948321085395,0.021212282527323323,True,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,1,2016-05-26,2017-05-24,0.19707720068353063,0.10749210964574418,0.1088663158301666,-0.08821088485336404,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,2,2017-05-25,2018-05-21,0.15575551743230043,0.08069920188970992,0.08206382149352298,-0.07369169593877745,False,25
TB06_Z02_WinnerRetentionRotation,evaluated,2,2017-05-25,2018-05-21,0.15575551743230043,-0.15489227727853472,-0.15720170421892266,-0.3129572216512231,False,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,2,2017-05-25,2018-05-21,0.15575551743230043,0.08367807158788465,0.08509501860170077,-0.07066049883059966,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,3,2018-05-22,2019-05-21,0.15435704290603414,0.07001531550738882,0.07119337989687446,-0.08316366300915967,False,25
TB06_Z02_WinnerRetentionRotation,evaluated,3,2018-05-22,2019-05-21,0.15435704290603414,-0.037679509657624566,-0.03828030657396109,-0.19263734947999522,False,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,3,2018-05-22,2019-05-21,0.15435704290603414,0.07648927671733974,0.07778017570793083,-0.0765768671981033,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,4,2019-05-22,2020-05-21,-0.11435339804670264,-0.25964144543441847,-0.2632515918641991,-0.14889819381749647,False,25
TB06_Z02_WinnerRetentionRotation,evaluated,4,2019-05-22,2020-05-21,-0.11435339804670264,-0.4285209839871914,-0.4336967246820834,-0.3193433266353808,False,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,4,2019-05-22,2020-05-21,-0.11435339804670264,-0.2041212997458698,-0.20707038927401156,-0.09271699122730892,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,5,2020-05-22,2021-05-17,0.643188664830973,0.5900121683859962,0.602046996284028,-0.04114166854694501,False,25
TB06_Z02_WinnerRetentionRotation,evaluated,5,2020-05-22,2021-05-17,0.643188664830973,0.5731060076693153,0.5847373966429936,-0.05845126818797941,False,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,5,2020-05-22,2021-05-17,0.643188664830973,0.52199345274567,0.5324236495737424,-0.11076501525723059,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,6,2021-05-18,2022-05-12,0.052935275841824225,0.09779773049523244,0.09946454314288244,0.04652926730105822,True,25
TB06_Z02_WinnerRetentionRotation,evaluated,6,2021-05-18,2022-05-12,0.052935275841824225,-0.02198512058745472,-0.02233857957970109,-0.07527385542152532,False,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,6,2021-05-18,2022-05-12,0.052935275841824225,-0.004875622060086737,-0.0049547037444832576,-0.05788997958630748,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,7,2022-05-13,2023-05-10,0.17458360256614847,0.19938109463196674,0.20293193862178094,0.028348336055632473,True,25
TB06_Z02_WinnerRetentionRotation,evaluated,7,2022-05-13,2023-05-10,0.17458360256614847,0.09503915338236268,0.09665691200645532,-0.07792669055969315,False,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,7,2022-05-13,2023-05-10,0.17458360256614847,0.09698658742212785,0.09863896410848416,-0.0759446384576643,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,8,2023-05-11,2024-05-07,0.3495252380012348,0.3194256839885863,0.3253861024610589,-0.024139135540175882,False,25
TB06_Z02_WinnerRetentionRotation,evaluated,8,2023-05-11,2024-05-07,0.3495252380012348,0.45506852656184416,0.46396926215084,0.1144440241496052,True,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,8,2023-05-11,2024-05-07,0.3495252380012348,0.22780357653403782,0.23190762812672072,-0.11761760987451408,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,9,2024-05-08,2025-05-05,0.09636944844352513,-0.0032715069721418466,-0.0033246136832846274,-0.09969406212680976,False,25
TB06_Z02_WinnerRetentionRotation,evaluated,9,2024-05-08,2025-05-05,0.09636944844352513,-0.1450814801480379,-0.14725769295311708,-0.2436271413966422,False,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,9,2024-05-08,2025-05-05,0.09636944844352513,0.03682108901941272,0.03743087501235198,-0.05893857343117315,False,25
TB06_Z01_BuyHoldMomentumThrottle,evaluated,10,2025-05-06,2026-04-30,0.0023289156189656435,0.08071260614437281,0.08207746090594736,0.07974854528698172,True,25
TB06_Z02_WinnerRetentionRotation,evaluated,10,2025-05-06,2026-04-30,0.0023289156189656435,0.13290395734275307,0.1352049661485515,0.13287605052958584,True,25
TB06_Z03_LoserAvoidanceOverlay,evaluated,10,2025-05-06,2026-04-30,0.0023289156189656435,-0.06397260451958653,-0.06497826342877311,-0.06730717904773875,False,25
