pair,ticker_a,ticker_b,z_window,entry_z,forward_horizon_bars,trade_count,mean_event_return,median_event_return,win_rate,approx_annualized_return
ADANIPORTS|AXISBANK,ADANIPORTS,AXISBANK,60,1.0,10,9168,-0.010255279618281038,-0.008999090839621218,0.34195026178010474,-0.7869512136790873
ADANIPORTS|AXISBANK,ADANIPORTS,AXISBANK,60,1.5,10,5197,-0.010257933198089904,-0.008859980633831054,0.3503944583413508,-0.7870368765332857
ADANIPORTS|AXISBANK,ADANIPORTS,AXISBANK,60,2.0,10,2333,-0.009265131036636742,-0.00838512989516127,0.35362194599228464,-0.7524760416023415
ADANIPORTS|AXISBANK,ADANIPORTS,AXISBANK,120,1.0,10,8794,-0.009050007547153538,-0.007931286559222032,0.35660677734819196,-0.7442822915210248
ADANIPORTS|AXISBANK,ADANIPORTS,AXISBANK,120,1.5,10,4849,-0.010099282224691869,-0.008086705340179773,0.35945555784697875,-0.7818546932858375
ADANIPORTS|AXISBANK,ADANIPORTS,AXISBANK,120,2.0,10,2279,-0.010518265051349465,-0.007968208097651579,0.3808688021061869,-0.7952766957462252
ADANIPORTS|BAJAJ-AUTO,ADANIPORTS,BAJAJ-AUTO,60,1.0,10,9244,-0.01048259057704884,-0.009803104703001372,0.3229121592384249,-0.7941665618456903
ADANIPORTS|BAJAJ-AUTO,ADANIPORTS,BAJAJ-AUTO,60,1.5,10,5280,-0.009874551139611014,-0.009546467625252072,0.33693181818181817,-0.7742990032946018
ADANIPORTS|BAJAJ-AUTO,ADANIPORTS,BAJAJ-AUTO,60,2.0,10,2391,-0.009867423701744262,-0.009673396848972598,0.3450439146800502,-0.7740551655791031
ADANIPORTS|BAJAJ-AUTO,ADANIPORTS,BAJAJ-AUTO,120,1.0,10,8971,-0.009983890409517773,-0.00979470934374543,0.3296176568944376,-0.778007027017175
ADANIPORTS|BAJAJ-AUTO,ADANIPORTS,BAJAJ-AUTO,120,1.5,10,5202,-0.010645700933956437,-0.010466609831906063,0.32660515186466743,-0.7991939518553424
ADANIPORTS|BAJAJ-AUTO,ADANIPORTS,BAJAJ-AUTO,120,2.0,10,2555,-0.011006938645928409,-0.011311253694283532,0.3283757338551859,-0.809897994645397
ADANIPORTS|BHARTIARTL,ADANIPORTS,BHARTIARTL,60,1.0,10,9034,-0.010089674084207096,-0.009298699143993326,0.34303741421297324,-0.7815368603369285
ADANIPORTS|BHARTIARTL,ADANIPORTS,BHARTIARTL,60,1.5,10,5111,-0.010208363222663896,-0.009040314294503695,0.35805126198395615,-0.7854309939875859
ADANIPORTS|BHARTIARTL,ADANIPORTS,BHARTIARTL,60,2.0,10,2378,-0.009552899936725503,-0.008701377567518386,0.3675357443229605,-0.7630303574086004
ADANIPORTS|BHARTIARTL,ADANIPORTS,BHARTIARTL,120,1.0,10,8908,-0.009627098589380208,-0.00934159734993099,0.34699146834306244,-0.7656784127284733
ADANIPORTS|BHARTIARTL,ADANIPORTS,BHARTIARTL,120,1.5,10,5146,-0.010056432793160163,-0.00989249565143183,0.34764865915274,-0.7804337006540258
ADANIPORTS|BHARTIARTL,ADANIPORTS,BHARTIARTL,120,2.0,10,2323,-0.0111529881976581,-0.009620186896630793,0.360309944037882,-0.8140629989292973
ADANIPORTS|BPCL,ADANIPORTS,BPCL,60,1.0,10,9425,-0.010796164090817004,-0.010005358738909502,0.33389920424403186,-0.8037232906463839
ADANIPORTS|BPCL,ADANIPORTS,BPCL,60,1.5,10,5273,-0.011035655469197794,-0.010351606129281642,0.33794803717049116,-0.8107241885106478
ADANIPORTS|BPCL,ADANIPORTS,BPCL,60,2.0,10,2449,-0.010214186106897557,-0.009964368005366424,0.34871376071866067,-0.7856202554953994
ADANIPORTS|BPCL,ADANIPORTS,BPCL,120,1.0,10,9254,-0.010121558761648924,-0.009677831999777734,0.34223038685973634,-0.7825898251709549
ADANIPORTS|BPCL,ADANIPORTS,BPCL,120,1.5,10,5211,-0.01081589024894094,-0.00998592220636215,0.34235271540971024,-0.8043095255831513
ADANIPORTS|BPCL,ADANIPORTS,BPCL,120,2.0,10,2404,-0.012401301534026967,-0.01087694117088294,0.3452579034941764,-0.8461574970718149
ADANIPORTS|BRITANNIA,ADANIPORTS,BRITANNIA,60,1.0,10,9323,-0.009416392811717163,-0.00903371854789452,0.33701598198004934,-0.7580807048817579
ADANIPORTS|BRITANNIA,ADANIPORTS,BRITANNIA,60,1.5,10,5237,-0.00871886233360153,-0.008140599738795582,0.35573801794920756,-0.7311398975939432
ADANIPORTS|BRITANNIA,ADANIPORTS,BRITANNIA,60,2.0,10,2307,-0.007414189115215316,-0.007682375137970758,0.3671434763762462,-0.6725014411137753
ADANIPORTS|BRITANNIA,ADANIPORTS,BRITANNIA,120,1.0,10,9019,-0.008957908007784388,-0.008858217869427504,0.3468233728794767,-0.7406925080928719
ADANIPORTS|BRITANNIA,ADANIPORTS,BRITANNIA,120,1.5,10,5237,-0.008985298806380588,-0.008619938801176844,0.3570746610654955,-0.7417653234415632
ADANIPORTS|BRITANNIA,ADANIPORTS,BRITANNIA,120,2.0,10,2424,-0.008928779588985983,-0.008314730712919422,0.35932343234323433,-0.7395467776891433
ADANIPORTS|CIPLA,ADANIPORTS,CIPLA,60,1.0,10,9002,-0.0093502853057895,-0.008248004082267045,0.3610308820262164,-0.7556469189242775
ADANIPORTS|CIPLA,ADANIPORTS,CIPLA,60,1.5,10,5016,-0.008770796569717734,-0.0074409894143425605,0.38118022328548645,-0.733244550528285
ADANIPORTS|CIPLA,ADANIPORTS,CIPLA,60,2.0,10,2349,-0.007795076256018758,-0.006464623555742441,0.4031502767134951,-0.6908233558358197
ADANIPORTS|CIPLA,ADANIPORTS,CIPLA,120,1.0,10,8935,-0.009916097393498989,-0.008289967156467336,0.3604924454392837,-0.7757151538904699
ADANIPORTS|CIPLA,ADANIPORTS,CIPLA,120,1.5,10,5043,-0.009712881937673445,-0.007958632516716179,0.3785445171524886,-0.7687032933736602
ADANIPORTS|CIPLA,ADANIPORTS,CIPLA,120,2.0,10,2429,-0.008846324314224923,-0.0062295495196263255,0.41169205434335115,-0.7362761647644003
ADANIPORTS|DRREDDY,ADANIPORTS,DRREDDY,60,1.0,10,9041,-0.011504624879687458,-0.009426414016310763,0.34232938834199755,-0.8237227536549337
ADANIPORTS|DRREDDY,ADANIPORTS,DRREDDY,60,1.5,10,5295,-0.012026924132928673,-0.009673494220298041,0.3425873465533522,-0.8371580064181623
ADANIPORTS|DRREDDY,ADANIPORTS,DRREDDY,60,2.0,10,2456,-0.012549804565005498,-0.010592486215414225,0.3322475570032573,-0.8495888556579743
ADANIPORTS|DRREDDY,ADANIPORTS,DRREDDY,120,1.0,10,9281,-0.011770503240888578,-0.009616045833560037,0.33476996013360627,-0.8306941786878346
ADANIPORTS|DRREDDY,ADANIPORTS,DRREDDY,120,1.5,10,5362,-0.01200764091053769,-0.00985234677553327,0.3442745244311824,-0.8366805608992508
ADANIPORTS|DRREDDY,ADANIPORTS,DRREDDY,120,2.0,10,2588,-0.012647935173414629,-0.010570682697735556,0.3500772797527048,-0.851814465664544
ADANIPORTS|HCLTECH,ADANIPORTS,HCLTECH,60,1.0,10,9350,-0.011188489753064596,-0.01016027772237912,0.3327272727272727,-0.8150616511095032
ADANIPORTS|HCLTECH,ADANIPORTS,HCLTECH,60,1.5,10,5369,-0.010640098942909107,-0.009440737451473856,0.3430806481653939,-0.7990233271837469
ADANIPORTS|HCLTECH,ADANIPORTS,HCLTECH,60,2.0,10,2418,-0.00960426372591727,-0.008424174342493668,0.3813068651778329,-0.7648666119931083
ADANIPORTS|HCLTECH,ADANIPORTS,HCLTECH,120,1.0,10,9307,-0.01087487747134583,-0.010028648861756483,0.33748791232405717,-0.8060521899646366
