strategy,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,median_pnl_points,worst_trade_points,win_rate,max_drawdown_points,mean_return_on_margin,total_return_on_margin,annualized_return_on_margin,mean_days_to_expiry,mean_total_contracts
TB11_T06_liq60k_ret5_0p01,141,2016-08-17,2024-06-27,2984.6050000000005,21.167411347517735,11.924999999999999,-69.20500000000014,0.8936170212765957,-69.20500000000015,0.03231990261036034,4.557106268060808,0.24382708585507884,6.184397163120567,281558.4539007092
TB11_T06_liq60k_ret5_0p008,157,2016-08-17,2024-06-27,2917.485,18.58270700636943,11.280000000000001,-153.5825,0.8789808917197452,-185.5574999999999,0.028549017750562303,4.482195786838282,0.2416813325053735,6.146496815286624,281603.63057324843
TB11_T06_liq60k_ret5_0p012,120,2016-09-21,2024-06-13,2684.6475000000005,22.372062500000006,11.96875,-69.20500000000014,0.9166666666666666,-69.20500000000015,0.03509420374849134,4.211304449818961,0.23820914591358333,6.241666666666666,242911.25
TB11_T06_liq60k_ret5_0p015,91,2017-04-24,2024-05-30,2027.0099999999998,22.274835164835164,12.975000000000001,-69.20500000000014,0.9230769230769231,-69.20500000000015,0.03630938957735094,3.3041544515389356,0.22825756320775814,5.956043956043956,269418.1868131868
TB11_T06_liq75k_ret5_0p01,121,2016-08-17,2024-06-27,2531.8300000000004,20.924214876033062,11.315,-68.50250000000001,0.9008264462809917,-68.50250000000005,0.03070130771706745,3.7148582337651614,0.2180889513624502,5.933884297520661,316899.0909090909
TB11_T06_liq75k_ret5_0p008,136,2016-08-17,2024-06-27,2451.85,18.02830882352941,9.56375,-153.5825,0.8823529411764706,-185.5574999999999,0.026662987694044668,3.626166326390075,0.21514965044107348,5.897058823529412,314612.9117647059
TB11_T06_liq75k_ret5_0p012,103,2016-09-21,2024-06-13,2280.1325000000006,22.137208737864082,11.814999999999998,-68.50250000000001,0.9320388349514563,-68.50250000000005,0.03335261900587809,3.435319757605443,0.21263796150099612,6.0,271847.66019417474
TB11_T06_liq75k_ret5_0p015,78,2017-04-24,2024-05-30,1654.8875,21.21650641025641,11.938749999999999,-68.50250000000001,0.9230769230769231,-68.50250000000005,0.03314828712517389,2.5855663957635637,0.19705749892284952,5.653846153846154,303148.0512820513
TB11_T06_liq90k_ret5_0p01,111,2016-08-17,2024-06-27,2001.8749999999998,18.034909909909906,11.280000000000001,-68.50250000000001,0.9099099099099099,-68.50250000000005,0.02642366272862052,2.9330265628768775,0.19031372004656721,5.828828828828829,338133.36936936935
TB11_T06_liq60k_ret5_0p02,61,2017-04-24,2024-05-23,1528.995,25.065491803278686,14.455000000000002,-68.50250000000001,0.9344262295081968,-68.50250000000005,0.039530873061003155,2.4113832567211926,0.18924627060704124,5.786885245901639,245638.31147540984
TB11_T06_liq90k_ret5_0p012,94,2016-09-21,2024-05-30,1822.8625,19.39215425531915,11.80375,-68.50250000000001,0.9468085106382979,-68.50250000000005,0.028984223899142236,2.72451704651937,0.18653841631116985,5.904255319148936,290154.60638297873
TB11_T06_liq90k_ret5_0p008,121,2016-08-17,2024-06-27,1874.4624999999999,15.49142561983471,9.445,-153.5825,0.8842975206611571,-185.5574999999999,0.02303434278811629,2.787155477362071,0.18460421885417366,5.776859504132231,343507.62809917354
TB11_T06_liq75k_ret5_1pct_h20_c2,121,2016-08-17,2024-06-27,1785.0400000000002,14.752396694214877,5.940000000000001,-75.87,0.7024793388429752,-77.76999999999998,0.02173114729333159,2.6294688224931226,0.17821217037499326,5.933884297520661,316899.0909090909
TB11_T06_liq90k_ret5_0p015,71,2017-04-24,2024-05-30,1408.6999999999998,19.84084507042253,11.952499999999997,-68.50250000000001,0.9436619718309859,-68.50250000000005,0.029717784930735923,2.1099627300822505,0.17330115740636898,5.549295774647887,325200.4647887324
TB11_T06_liq75k_ret5_0p8pct_h20_c2,136,2016-08-17,2024-06-27,1632.2500000000002,12.00183823529412,4.309999999999999,-158.31,0.6691176470588235,-211.80999999999995,0.017986241821347428,2.4461288877032503,0.170468078111909,5.897058823529412,314612.9117647059
TB11_T06_liq75k_ret5_0p02,55,2017-04-24,2024-05-23,1250.1499999999999,22.729999999999997,13.54,-68.50250000000001,0.9272727272727272,-68.50250000000005,0.03494998747367561,1.9222493110521586,0.16353248130223164,5.581818181818182,265189.05454545456
TB11_T06_liq100k_ret5_0p01,101,2016-08-17,2024-06-27,1623.9774999999997,16.07898514851485,10.507499999999997,-68.50250000000001,0.900990099009901,-68.50250000000005,0.02239364355044972,2.2617579985954217,0.16230893579890493,5.732673267326732,362202.48514851485
TB11_T06_liq90k_ret5_0p02,51,2017-04-24,2024-05-23,1171.3674999999998,22.96799019607843,13.54,-68.50250000000001,0.9411764705882353,-68.50250000000005,0.03523063020555061,1.7967621404830811,0.15634175384878812,5.509803921568627,279732.03921568627
TB11_T06_liq100k_ret5_0p012,84,2016-09-21,2024-05-30,1444.9649999999997,17.201964285714283,11.2975,-68.50250000000001,0.9404761904761905,-68.50250000000005,0.024443434312356134,2.0532484822379153,0.156259550784402,5.7976190476190474,313383.09523809527
TB11_T06_liq100k_ret5_0p008,111,2016-08-17,2024-06-27,1496.5649999999998,13.482567567567566,9.2025,-153.5825,0.8738738738738738,-185.5574999999999,0.019062044261987522,2.115886913080615,0.1555631909904256,5.684684684684685,365892.52252252254
TB11_T06_liq90k_ret5_1pct_h20_c2,111,2016-08-17,2024-06-27,1342.8000000000002,12.097297297297299,5.82,-75.87,0.7027027027027027,-77.76999999999998,0.017840052936887358,1.9802458759944968,0.14903849748201403,5.828828828828829,338133.36936936935
TB11_T06_liq100k_ret5_0p015,64,2017-04-24,2024-05-30,1105.2199999999998,17.269062499999997,11.55375,-68.50250000000001,0.9375,-68.50250000000005,0.02477639878584191,1.5856895222938823,0.14318235221291542,5.484375,350361.46875
TB11_T06_liq125k_ret5_0p01,82,2016-08-17,2024-06-27,1264.995,15.426768292682926,10.74625,-68.50250000000001,0.8902439024390244,-68.50250000000005,0.021684771424101173,1.778151256776296,0.13881934873996116,5.439024390243903,419792.0853658537
TB11_T06_liq125k_ret5_0p008,90,2016-08-17,2024-06-27,1137.455,12.638388888888889,9.256250000000001,-153.5825,0.8666666666666667,-200.76999999999998,0.01812416429620903,1.6311747866588129,0.13097146253418557,5.4222222222222225,424899.36666666664
TB11_T06_liq125k_ret5_0p012,66,2016-09-21,2024-05-30,1084.27,16.428333333333335,11.2975,-68.50250000000001,0.9242424242424242,-68.50250000000005,0.02374526198571945,1.5671872910574838,0.13047276484382708,5.409090909090909,367755.1212121212
