fold_id,rebalance_ts,next_rebalance_ts,universe_return,active_return,dispersion,active_weight,retained_names,excluded_losers
7,2023-02-14 09:15:00,2023-02-28 09:15:00,-0.02263784562137156,-0.06244162800802038,0.0013390713581051,0.0,ADANIPORTS|HCLTECH|M&M,SUNPHARMA|RELIANCE|NESTLEIND
7,2023-02-28 09:15:00,2023-03-15 09:15:00,-0.0060346927230571015,0.007245512856893779,0.012225488753102,0.5,ADANIPORTS|CIPLA|BRITANNIA,ITC|M&M|BAJAJ-AUTO
7,2023-03-15 09:15:00,2023-03-29 09:15:00,-0.006409726271506768,-0.06409478408639215,0.0082361372273587,0.5,ADANIPORTS|KOTAKBANK|M&M,BPCL|LT|MARUTI
7,2023-03-29 09:15:00,2023-04-18 09:15:00,0.03313247857320131,0.007921806965290094,0.0004841593447458001,0.0,HINDUNILVR|BPCL|TECHM,HCLTECH|ULTRACEMCO|WIPRO
7,2023-04-18 09:15:00,2023-05-03 09:15:00,0.026659135866970114,0.04690643982484704,0.0030979719432288003,0.18234257825414768,HINDUNILVR|BPCL|RELIANCE,TCS|HCLTECH|SUNPHARMA
7,2023-05-03 09:15:00,2023-05-10 09:15:00,0.009893847433825046,0.030574422553676157,0.0035195560706041,0.309219399436218,BPCL|MARUTI|ONGC,RELIANCE|HINDUNILVR|ULTRACEMCO
8,2023-05-11 09:15:00,2023-05-25 09:15:00,0.002405120697259371,0.020893855380373492,0.0022590242344706,0.0,HCLTECH|HINDUNILVR|DRREDDY,KOTAKBANK|CIPLA|NESTLEIND
8,2023-05-25 09:15:00,2023-06-08 09:15:00,0.027441362743184865,0.030570126191385237,0.0008234948128757,0.0,NESTLEIND|CIPLA|M&M,TCS|BPCL|ADANIPORTS
8,2023-06-08 09:15:00,2023-06-22 09:15:00,0.003878361264925052,0.022982623239798917,0.005600815439000899,0.5,NESTLEIND|CIPLA|ONGC,RELIANCE|KOTAKBANK|M&M
8,2023-06-22 09:15:00,2023-07-07 09:15:00,0.03655462308925409,0.015710035630245686,0.0019162226473580998,0.0,CIPLA|WIPRO|BRITANNIA,ITC|BHARTIARTL|M&M
8,2023-07-07 09:15:00,2023-07-21 09:15:00,0.010441973828980333,0.02909689222455231,0.0018301565103802002,0.0,BRITANNIA|SUNPHARMA|MARUTI,RELIANCE|TECHM|ADANIPORTS
8,2023-07-21 09:15:00,2023-08-04 09:15:00,-0.007832115494163508,-0.055687367964084494,0.0026376146422894,0.09035722909918287,ITC|WIPRO|LT,ADANIPORTS|BRITANNIA|KOTAKBANK
8,2023-08-04 09:15:00,2023-08-21 09:15:00,-0.0011006107815484843,0.01846602772590674,0.0005012367109373998,0.0,HCLTECH|TCS|RELIANCE,ICICIBANK|BAJAJ-AUTO|SUNPHARMA
8,2023-08-21 09:15:00,2023-09-04 09:15:00,0.005207910569067088,0.014321734767748305,0.0010298558487995,0.0,RELIANCE|M&M|WIPRO,SUNPHARMA|TECHM|KOTAKBANK
8,2023-09-04 09:15:00,2023-09-18 09:15:00,0.041335006447782846,0.0206559443247128,0.009677973477392798,0.5,ULTRACEMCO|ONGC|DRREDDY,BAJAJ-AUTO|LT|MARUTI
8,2023-09-18 09:15:00,2023-10-04 09:15:00,-0.03727681443142141,-0.044253203261933154,0.004420124109120601,0.5,ULTRACEMCO|DRREDDY|BAJAJ-AUTO,LT|CIPLA|BPCL
8,2023-10-04 09:15:00,2023-10-18 09:15:00,0.022053132726183453,0.024573412987194728,0.0027359501689029,0.12168742015211176,NESTLEIND|SUNPHARMA|BHARTIARTL,BPCL|MARUTI|ULTRACEMCO
8,2023-10-18 09:15:00,2023-11-02 09:15:00,-0.027704734224541453,-0.03265255365101877,0.0045432239990683,0.5,BHARTIARTL|ICICIBANK|MARUTI,LT|BPCL|RELIANCE
8,2023-11-02 09:15:00,2023-11-16 09:15:00,0.03677733303693585,0.043798569943830704,0.0031231627862586004,0.24505529845249918,ADANIPORTS|CIPLA|SUNPHARMA,BRITANNIA|BPCL|AXISBANK
8,2023-11-16 09:15:00,2023-12-01 09:15:00,0.03033136835475409,0.07123378043715572,0.0057729563168554,0.5,CIPLA|BHARTIARTL|ITC,BAJAJ-AUTO|TCS|SUNPHARMA
8,2023-12-01 09:15:00,2023-12-15 09:15:00,0.05117590123844848,0.07052578429340851,0.0017053755208998,0.0,BAJAJ-AUTO|SBIN|M&M,INFY|HCLTECH|AXISBANK
8,2023-12-15 09:15:00,2024-01-01 09:15:00,0.02171306614021309,0.05873927599458963,0.0029478467948862,0.18919874595830743,WIPRO|TCS|HCLTECH,AXISBANK|SUNPHARMA|NESTLEIND
8,2024-01-01 09:15:00,2024-01-15 09:15:00,0.022819283951986003,-0.018032673131511637,0.006637269283096,0.5,BRITANNIA|BPCL|BAJAJ-AUTO,SUNPHARMA|CIPLA|INFY
8,2024-01-15 09:15:00,2024-01-30 09:15:00,0.010655037452938663,-0.037557580952467515,0.0042862407441520995,0.5,WIPRO|HCLTECH|INFY,ONGC|BHARTIARTL|CIPLA
8,2024-01-30 09:15:00,2024-02-13 09:15:00,0.017387391023770706,0.044913042528730095,0.0061724614549303995,0.5,INFY|ONGC|BPCL,BAJAJ-AUTO|TECHM|CIPLA
