experiment_id,portfolio_style,rebalance_rule,top_k,rebalance_count,portfolio_mean_return,portfolio_median_return,portfolio_std_return,portfolio_mean_turnover,portfolio_mean_long_contribution,portfolio_mean_short_contribution,positive_windows,zero_windows,negative_windows,portfolio_win_rate,top_contributor_share,benchmark_policy,benchmark_return,excess_vs_benchmark,beats_flat,beats_benchmark,promotion_verdict
E1006,long_only,every_1_session_open,3,724,-0.0004715308831044638,-0.000687674835320972,0.01261016776484727,1.75,-0.0004715308831044638,0.0,343,0,381,0.47375690607734805,0.08941187072068565,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0005727864700586638,False,False,research_only
E1002,long_only,every_1_session_open,3,724,-0.0011017413420137253,-0.0005432869651258118,0.012104805131993007,1.761049723756906,-0.0011017413420137253,0.0,340,0,384,0.4696132596685083,0.1069229748655506,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0012029969289679254,False,False,research_only
E1003,long_only,every_1_session_open,3,724,-0.0012890586638193955,-0.000804737021780611,0.012499141249242793,1.7352670349907917,-0.0012890586638193955,0.0,336,0,388,0.46408839779005523,0.10148115778936533,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0013903142507735956,False,False,research_only
