ticker,cycle,policy,friction_profile,slippage_rate,disable_costs,test_return,test_drawdown,test_sharpe,test_turnover,test_trades
HDFCBANK,1,SIGNAL_E211_BANDED_68,realistic,0.001,False,-0.0006767960760271086,0.0006767960760271308,-0.14504427434015685,1.999999999,4
HDFCBANK,1,SIGNAL_E801_BANDED_70,realistic,0.001,False,-0.0003991106243471654,0.0003991106243471222,-0.10272482447304875,1.9999999979999998,2
HDFCBANK,1,SIGNAL_E1102_BANDED_70,realistic,0.001,False,-0.0002348095884797674,0.0002348095884797658,-0.09365341958858055,0.9999999995,2
HDFCBANK,1,FLAT,realistic,0.001,False,0.0,0.0,-10.0,0.0,0
HDFCBANK,1,SIGNAL_E211_BANDED_68,half_slippage,0.0005,False,-0.0004948660587137388,0.0004948660587137056,-0.14062779012238605,1.999999999,4
HDFCBANK,1,SIGNAL_E801_BANDED_70,half_slippage,0.0005,False,-0.0003079106256336228,0.0003079106256336672,-0.1006912725148688,1.9999999979999998,2
HDFCBANK,1,SIGNAL_E1102_BANDED_70,half_slippage,0.0005,False,-0.00014338715798489776,0.00014338715798494376,-0.08577150990380587,0.9999999995,2
HDFCBANK,1,FLAT,half_slippage,0.0005,False,0.0,0.0,-10.0,0.0,0
HDFCBANK,1,SIGNAL_E211_BANDED_68,fees_only,0.0,False,-0.00031293604140014697,0.00031293604140009845,-0.1287640623369628,1.999999999,4
HDFCBANK,1,SIGNAL_E801_BANDED_70,fees_only,0.0,False,-0.00021671062692008025,0.00021671062692003032,-0.09607501268475814,1.9999999979999998,2
HDFCBANK,1,SIGNAL_E1102_BANDED_70,fees_only,0.0,False,-5.196472749013914e-05,5.855186882999988e-05,-0.058421808462888705,0.9999999995,2
HDFCBANK,1,FLAT,fees_only,0.0,False,0.0,0.0,-10.0,0.0,0
HDFCBANK,1,SIGNAL_E211_BANDED_68,frictionless,0.0,True,-0.00012000000000012001,0.00012000000000007275,-0.07465980423863476,1.999999999,4
HDFCBANK,1,SIGNAL_E801_BANDED_70,frictionless,0.0,True,-0.00012000000000012001,0.00012000000000007275,-0.07465980423863476,1.9999999979999998,2
HDFCBANK,1,SIGNAL_E1102_BANDED_70,frictionless,0.0,True,4.4999999999850715e-05,0.0,0.10490206627284293,0.9999999995,2
HDFCBANK,1,FLAT,frictionless,0.0,True,0.0,0.0,-10.0,0.0,0
