variant_id,fold_id,strategy_total_return,strategy_annualized_return,rebalanced_benchmark_annualized_return,excess_vs_rebalanced_benchmark_annualized,beats_rebalanced_benchmark,quantile,threshold
fit_q0.20,1,0.1810047366041725,0.18339352777110118,0.16055160559336135,0.022841922177739837,True,0.2,0.3333333333333334
fit_q0.20,2,0.12973632582227812,0.13197936351917483,0.12510099341174752,0.006878370107427312,True,0.2,0.3333333333333334
fit_q0.20,3,0.1535730632440131,0.1562559215886159,0.13725714933058608,0.018998772258029817,True,0.2,0.3333333333333334
fit_q0.20,4,-0.13544322496348637,-0.13748675927669363,-0.16437240642228312,0.026885647145589497,True,0.2,0.3333333333333334
fit_q0.20,5,0.6245795074960241,0.637448513029578,0.5966881760179767,0.0407603370116012,True,0.2,0.3333333333333334
fit_q0.25,1,0.1810047366041725,0.18339352777110118,0.16055160559336135,0.022841922177739837,True,0.25,0.3333333333333334
fit_q0.25,2,0.12973632582227812,0.13197936351917483,0.12510099341174752,0.006878370107427312,True,0.25,0.3333333333333334
fit_q0.25,3,0.1535730632440131,0.1562559215886159,0.13725714933058608,0.018998772258029817,True,0.25,0.3333333333333334
fit_q0.25,4,-0.13544322496348637,-0.13748675927669363,-0.16437240642228312,0.026885647145589497,True,0.25,0.3333333333333334
fit_q0.25,5,0.6245795074960241,0.637448513029578,0.5966881760179767,0.0407603370116012,True,0.25,0.3333333333333334
fit_q0.33,1,0.19074157059744268,0.1932690496670335,0.16055160559336135,0.032717444073672164,True,0.33,0.4444444444444444
fit_q0.33,2,0.12973632582227812,0.13197936351917483,0.12510099341174752,0.006878370107427312,True,0.33,0.4444444444444444
fit_q0.33,3,0.157015830604047,0.1597628909294826,0.13725714933058608,0.02250574159889651,True,0.33,0.4444444444444444
fit_q0.33,4,-0.13452646462184958,-0.13655728641405762,-0.16437240642228312,0.027815120008225502,True,0.33,0.4444444444444444
fit_q0.33,5,0.6245795074960241,0.637448513029578,0.5966881760179767,0.0407603370116012,True,0.33,0.4444444444444444
fit_q0.40,1,0.1958323134386728,0.19843269416646292,0.16055160559336135,0.03788108857310157,True,0.4,0.5037037037037037
fit_q0.40,2,0.1377183968482758,0.1401077958442558,0.12510099341174752,0.015006802432508293,True,0.4,0.5037037037037037
fit_q0.40,3,0.157015830604047,0.1597628909294826,0.13725714933058608,0.02250574159889651,True,0.4,0.5037037037037037
fit_q0.40,4,-0.13452646462184958,-0.13655728641405762,-0.16437240642228312,0.027815120008225502,True,0.4,0.5037037037037037
fit_q0.40,5,0.6245795074960241,0.637448513029578,0.5966881760179767,0.0407603370116012,True,0.4,0.5037037037037037
fit_q0.50,1,0.20241312600773598,0.20510814233836783,0.16055160559336135,0.04455653674500648,True,0.5,0.5925925925925924
fit_q0.50,2,0.13920461880196822,0.1416213721442814,0.12510099341174752,0.01652037873253387,True,0.5,0.5925925925925924
fit_q0.50,3,0.14596410352412015,0.1485056716290487,0.13725714933058608,0.011248522298462627,True,0.5,0.5925925925925924
fit_q0.50,4,-0.1388467032657723,-0.1409372925699356,-0.16437240642228312,0.023435113852347533,True,0.5,0.5925925925925924
fit_q0.50,5,0.6215904273381201,0.6343868129517649,0.5966881760179767,0.037698636933788165,True,0.5,0.5925925925925924
