symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested,_symbol,_entry_date,_expiry_date,strategy,variant,scenario,event_window_start,event_window_end,event_count,event_symbols,event_dates,event_sources,event_weight_pct,event_overlap_eligible,vetoed_by_overlay,broker_orders_allowed,allocation,residual_growth_weight,overlap_growth_weight,entry_date,weighted_pnl_points,weighted_return_on_margin,active_legs,has_defensive,has_growth
BHARTIARTL,2021-07-22,2021-08-26,536.6,576.1,500.0,480.0,3.8,1.95,1.85,20.0,18.15,0.0363,1.85,0.1019283746556473,0.0036999999999999,False,BHARTIARTL,2021-07-22,2021-08-26,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2021-07-22,2021-08-26,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2021-08-26,2021-09-30,576.1,688.3,540.0,520.0,5.7,3.05,2.6500000000000004,20.0,17.35,0.0321296296296296,2.6500000000000004,0.1527377521613833,0.0049074074074074,False,BHARTIARTL,2021-08-26,2021-09-30,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2021-08-26,2021-09-30,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2021-09-23,2021-10-28,713.4,689.75,670.0,640.0,12.0,5.5,6.5,30.0,23.5,0.0350746268656716,6.5,0.2765957446808511,0.0097014925373134,False,BHARTIARTL,2021-09-23,2021-10-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2021-09-23,2021-10-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2021-10-21,2021-11-25,696.05,765.15,660.0,630.0,18.9,9.0,9.9,30.0,20.1,0.0304545454545454,9.9,0.4925373134328357,0.0149999999999999,False,BHARTIARTL,2021-10-21,2021-11-25,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2021-10-21,2021-11-25,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2021-11-25,2021-12-30,765.15,679.35,720.0,690.0,8.55,4.7,3.850000000000001,30.0,26.15,0.0363194444444444,-26.15,-1.0,-0.0363194444444444,True,BHARTIARTL,2021-11-25,2021-12-30,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2021-11-25,2021-12-30,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2021-12-23,2022-01-27,678.75,707.25,640.0,620.0,7.0,3.8,3.2,20.0,16.8,0.02625,3.2,0.1904761904761904,0.005,False,BHARTIARTL,2021-12-23,2022-01-27,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2021-12-23,2022-01-27,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-01-20,2022-02-24,715.4,670.9,670.0,650.0,7.15,3.85,3.3000000000000003,20.0,16.7,0.0249253731343283,3.3000000000000003,0.1976047904191617,0.0049253731343283,False,BHARTIARTL,2022-01-20,2022-02-24,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-01-20,2022-02-24,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-02-24,2022-03-31,670.9,754.95,630.0,600.0,11.4,6.45,4.95,30.0,25.05,0.0397619047619047,4.95,0.1976047904191616,0.0078571428571428,False,BHARTIARTL,2022-02-24,2022-03-31,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-02-24,2022-03-31,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-03-24,2022-04-28,706.35,747.35,670.0,650.0,9.9,6.4,3.5,20.0,16.5,0.0246268656716417,3.5,0.2121212121212121,0.0052238805970149,False,BHARTIARTL,2022-03-24,2022-04-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-03-24,2022-04-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2022-04-21,2022-05-26,735.75,693.65,690.0,670.0,10.75,5.5,5.25,20.0,14.75,0.0213768115942028,5.25,0.3559322033898305,0.0076086956521739,False,BHARTIARTL,2022-04-21,2022-05-26,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2022-04-21,2022-05-26,0,,,,0.0,False,False,False,,,,,,,,,
