friction_profile,policy,test_return,test_drawdown,test_sharpe,test_turnover,test_trades,benchmark_return,excess_vs_e211
fees_only,SIGNAL_E211_BANDED_68,0.00026692421028517575,0.0001491561747099897,-5.554715740474377,0.7253086414654063,1.2222222222222223,0.00026692421028517575,0.0
fees_only,SIGNAL_E801_BANDED_70,0.00025925875759297897,0.0001233837841389685,-5.916310410874055,0.7182539677591095,1.4814814814814814,0.00026692421028517575,-7.665452692196787e-06
fees_only,FLAT,0.0,0.0,-10.0,0.0,0.0,0.00026692421028517575,-0.00026692421028517575
fees_only,SIGNAL_E1102_BANDED_70,-0.0013225055128205253,0.0034201721113791862,-0.7559568201169805,1.1761232054248039,5.37037037037037,0.00026692421028517575,-0.001589429723105701
frictionless,SIGNAL_E801_BANDED_70,0.000362037037037028,6.584664279648694e-05,-5.905903285638048,0.7182539677591095,1.4814814814814814,0.00035481481481479957,7.222222222228445e-06
frictionless,SIGNAL_E211_BANDED_68,0.00035481481481479957,8.555555555555691e-05,-5.544625304619739,0.7253086414654063,1.2222222222222223,0.00035481481481479957,0.0
frictionless,FLAT,0.0,0.0,-10.0,0.0,0.0,0.00035481481481479957,-0.00035481481481479957
frictionless,SIGNAL_E1102_BANDED_70,-0.0004644814814814906,0.002944104616228832,-0.736372232380694,1.1761232054248039,5.37037037037037,0.00035481481481479957,-0.0008192962962962902
half_slippage,SIGNAL_E211_BANDED_68,0.00018408989861972845,0.0002069117494073739,-5.562018903069251,0.7253086414654063,1.2222222222222223,0.00018408989861972845,0.0
half_slippage,SIGNAL_E801_BANDED_70,0.00016238775130798336,0.00017762415007138005,-5.924472809448929,0.7182539677591095,1.4814814814814814,0.00018408989861972845,-2.1702147311745095e-05
half_slippage,FLAT,0.0,0.0,-10.0,0.0,0.0,0.00018408989861972845,-0.00018408989861972845
half_slippage,SIGNAL_E1102_BANDED_70,-0.0021315764246792332,0.003993233961974999,-0.7690394681141103,1.1761232054248039,5.37037037037037,0.00018408989861972845,-0.0023156663232989615
realistic,SIGNAL_E211_BANDED_68,0.0001012555869542606,0.00026512389373354515,-5.567773919304102,0.7253086414654063,1.2222222222222223,0.0001012555869542606,0.0
realistic,SIGNAL_E801_BANDED_70,6.551674502293843e-05,0.0002344052154970268,-5.931132429745613,0.7182539677591095,1.4814814814814814,0.0001012555869542606,-3.5738841931322175e-05
realistic,FLAT,0.0,0.0,-10.0,0.0,0.0,0.0001012555869542606,-0.0001012555869542606
realistic,SIGNAL_E1102_BANDED_70,-0.002940647336537999,0.004597582658146201,-0.7807490569609444,1.1761232054248039,5.37037037037037,0.0001012555869542606,-0.0030419029234922596
