cost_profile_label,policy,test_return,test_drawdown,test_sharpe,test_turnover,test_trades,benchmark_return,excess_vs_e211
cash_equity_half_slippage,SIGNAL_E211_BANDED_68,0.00018408989861972845,0.0002069117494073739,-5.562018903069251,0.7253086414654063,1.2222222222222223,0.00018408989861972845,0.0
cash_equity_half_slippage,SIGNAL_E801_BANDED_70,0.00016238775130798336,0.00017762415007138005,-5.924472809448929,0.7182539677591095,1.4814814814814814,0.00018408989861972845,-2.1702147311745095e-05
cash_equity_half_slippage,FLAT,0.0,0.0,-10.0,0.0,0.0,0.00018408989861972845,-0.00018408989861972845
cash_equity_half_slippage,SIGNAL_E1102_BANDED_70,-0.0021315764246792332,0.003993233961974999,-0.7690394681141103,1.1761232054248039,5.37037037037037,0.00018408989861972845,-0.0023156663232989615
cash_equity_realistic,SIGNAL_E211_BANDED_68,0.0001012555869542606,0.00026512389373354515,-5.567773919304102,0.7253086414654063,1.2222222222222223,0.0001012555869542606,0.0
cash_equity_realistic,SIGNAL_E801_BANDED_70,6.551674502293843e-05,0.0002344052154970268,-5.931132429745613,0.7182539677591095,1.4814814814814814,0.0001012555869542606,-3.5738841931322175e-05
cash_equity_realistic,FLAT,0.0,0.0,-10.0,0.0,0.0,0.0001012555869542606,-0.0001012555869542606
cash_equity_realistic,SIGNAL_E1102_BANDED_70,-0.002940647336537999,0.004597582658146201,-0.7807490569609444,1.1761232054248039,5.37037037037037,0.0001012555869542606,-0.0030419029234922596
stock_futures_fees_only,SIGNAL_E211_BANDED_68,0.0002492244619370262,0.00016510627954925846,-5.55695358096874,0.7253086414654063,1.2222222222222223,0.0002492244619370262,0.0
stock_futures_fees_only,SIGNAL_E801_BANDED_70,0.00023856657740700877,0.00013961956065760485,-5.918247504834788,0.7182539677591095,1.4814814814814814,0.0002492244619370262,-1.0657884530017444e-05
stock_futures_fees_only,FLAT,0.0,0.0,-10.0,0.0,0.0,0.0002492244619370262,-0.0002492244619370262
stock_futures_fees_only,SIGNAL_E1102_BANDED_70,-0.00149487384617949,0.0035262495685086355,-0.7591014011382006,1.1761232054248039,5.37037037037037,0.0002492244619370262,-0.0017440983081165162
stock_futures_frictionless,SIGNAL_E801_BANDED_70,0.000362037037037028,6.584664279648694e-05,-5.905903285638048,0.7182539677591095,1.4814814814814814,0.00035481481481479957,7.222222222228445e-06
stock_futures_frictionless,SIGNAL_E211_BANDED_68,0.00035481481481479957,8.555555555555691e-05,-5.544625304619739,0.7253086414654063,1.2222222222222223,0.00035481481481479957,0.0
stock_futures_frictionless,FLAT,0.0,0.0,-10.0,0.0,0.0,0.00035481481481479957,-0.00035481481481479957
stock_futures_frictionless,SIGNAL_E1102_BANDED_70,-0.0004644814814814906,0.002944104616228832,-0.736372232380694,1.1761232054248039,5.37037037037037,0.00035481481481479957,-0.0008192962962962902
stock_futures_half_slippage,SIGNAL_E211_BANDED_68,0.00016640093883138577,0.00022299825087563173,-5.563447758070066,0.7253086414654063,1.2222222222222223,0.00016640093883138577,0.0
stock_futures_half_slippage,SIGNAL_E801_BANDED_70,0.00014170818503789206,0.00019297942012427526,-5.925739630873777,0.7182539677591095,1.4814814814814814,0.00016640093883138577,-2.4692753793493702e-05
stock_futures_half_slippage,FLAT,0.0,0.0,-10.0,0.0,0.0,0.00016640093883138577,-0.00016640093883138577
stock_futures_half_slippage,SIGNAL_E1102_BANDED_70,-0.0023038395920094196,0.004125241030981491,-0.7718470704221382,1.1761232054248039,5.37037037037037,0.00016640093883138577,-0.002470240530840805
stock_futures_realistic,SIGNAL_E211_BANDED_68,8.357741572576997e-05,0.00028133532434235854,-5.568670963651675,0.7253086414654063,1.2222222222222223,8.357741572576997e-05,0.0
stock_futures_realistic,SIGNAL_E801_BANDED_70,4.4849792668738357e-05,0.00024972241179705627,-5.931909467841895,0.7182539677591095,1.4814814814814814,8.357741572576997e-05,-3.872762305703162e-05
stock_futures_realistic,FLAT,0.0,0.0,-10.0,0.0,0.0,8.357741572576997e-05,-8.357741572576997e-05
stock_futures_realistic,SIGNAL_E1102_BANDED_70,-0.0031128053378395018,0.004729512601204409,-0.7833065932357708,1.1761232054248039,5.37037037037037,8.357741572576997e-05,-0.0031963827535652716
