experiment_id,rebalance_idx,open_ts,next_open_ts,eligible_count,portfolio_return,long_contribution,short_contribution,turnover,long_names,short_names
E1002,1,2023-04-17 10:15:00,2023-04-20 09:15:00,27,0.0019938275197216304,0.0019938275197216304,0.0,1.0,"INFY,DRREDDY,SUNPHARMA,AXISBANK,CIPLA",
E1002,4,2023-04-20 09:15:00,2023-04-25 09:15:00,27,-0.0013581191475395072,-0.0013581191475395072,0.0,2.0,"BPCL,BRITANNIA,MARUTI,ONGC,ULTRACEMCO",
E1002,7,2023-04-25 09:15:00,2023-04-28 09:15:00,27,0.008258219410794325,0.008258219410794325,0.0,2.0,"RELIANCE,SBIN,INFY,M&M,HINDUNILVR",
E1002,10,2023-04-28 09:15:00,2023-05-04 09:15:00,27,0.013105582384768635,0.013105582384768635,0.0,1.6,"HINDUNILVR,AXISBANK,TECHM,ONGC,HDFCBANK",
E1002,13,2023-05-04 09:15:00,2023-05-09 09:15:00,27,0.01691094341878373,0.01691094341878373,0.0,1.6,"MARUTI,M&M,BPCL,ULTRACEMCO,HINDUNILVR",
E1002,16,2023-05-09 09:15:00,2023-05-12 09:15:00,27,-0.02260181577227976,-0.02260181577227976,0.0,1.6,"BPCL,WIPRO,LT,SUNPHARMA,ITC",
E1002,19,2023-05-12 09:15:00,2023-05-17 09:15:00,27,0.0030883206213094907,0.0030883206213094907,0.0,0.8,"LT,BPCL,RELIANCE,ITC,NESTLEIND",
E1002,22,2023-05-17 09:15:00,2023-05-22 09:15:00,27,0.006255889880869862,0.006255889880869862,0.0,2.0,"BHARTIARTL,WIPRO,ADANIPORTS,BRITANNIA,TCS",
E1002,25,2023-05-22 09:15:00,2023-05-25 09:15:00,27,0.0031575579806980827,0.0031575579806980827,0.0,1.6,"NESTLEIND,TCS,HCLTECH,AXISBANK,M&M",
E1002,28,2023-05-25 09:15:00,2023-05-30 09:15:00,27,0.02181509294427853,0.02181509294427853,0.0,1.6,"WIPRO,M&M,HDFCBANK,ICICIBANK,SBIN",
E1002,31,2023-05-30 09:15:00,2023-06-02 09:15:00,27,0.005112060884566813,0.005112060884566813,0.0,1.6,"AXISBANK,BPCL,DRREDDY,HINDUNILVR,M&M",
E1002,34,2023-06-02 09:15:00,2023-06-07 09:15:00,27,0.010947447536878763,0.010947447536878763,0.0,1.6,"BRITANNIA,LT,CIPLA,DRREDDY,HCLTECH",
E1002,37,2023-06-07 09:15:00,2023-06-12 09:15:00,27,-0.004578127705291579,-0.004578127705291579,0.0,2.0,"KOTAKBANK,BPCL,TCS,NESTLEIND,INFY",
E1002,40,2023-06-12 09:15:00,2023-06-15 09:15:00,27,0.012822589571805477,0.012822589571805477,0.0,1.2000000000000002,"RELIANCE,TCS,DRREDDY,ICICIBANK,NESTLEIND",
E1002,43,2023-06-15 09:15:00,2023-06-20 09:15:00,27,-0.010071204819877392,-0.010071204819877392,0.0,2.0,"ULTRACEMCO,AXISBANK,MARUTI,INFY,HDFCBANK",
E1002,46,2023-06-20 09:15:00,2023-06-23 09:15:00,27,0.009356198904266791,0.009356198904266791,0.0,1.6,"WIPRO,TECHM,HDFCBANK,BAJAJ-AUTO,ICICIBANK",
E1002,49,2023-06-23 09:15:00,2023-06-28 09:15:00,27,0.011294896710798088,0.011294896710798088,0.0,2.0,"BHARTIARTL,ONGC,ULTRACEMCO,BPCL,M&M",
E1002,52,2023-06-28 09:15:00,2023-07-04 09:15:00,27,0.023736046256502847,0.023736046256502847,0.0,2.0,"DRREDDY,ICICIBANK,TCS,SBIN,WIPRO",
E1002,55,2023-07-04 09:15:00,2023-07-07 09:15:00,27,0.017757992791211902,0.017757992791211902,0.0,1.6,"BHARTIARTL,ONGC,RELIANCE,TECHM,SBIN",
E1002,58,2023-07-07 09:15:00,2023-07-12 09:15:00,27,0.00020315899336912323,0.00020315899336912323,0.0,1.2000000000000002,"NESTLEIND,ITC,ONGC,LT,SBIN",
E1002,61,2023-07-12 09:15:00,2023-07-17 09:15:00,27,-0.0006403400544539631,-0.0006403400544539631,0.0,2.0,"ULTRACEMCO,BPCL,MARUTI,INFY,BHARTIARTL",
E1002,64,2023-07-17 09:15:00,2023-07-20 09:15:00,26,-0.00878908994960528,-0.00878908994960528,0.0,1.6,"ADANIPORTS,BHARTIARTL,ONGC,BAJAJ-AUTO,HINDUNILVR",
E1002,67,2023-07-20 09:15:00,2023-07-25 09:15:00,26,-0.03015310220255843,-0.03015310220255843,0.0,2.0,"INFY,NESTLEIND,KOTAKBANK,TCS,HCLTECH",
E1002,70,2023-07-25 09:15:00,2023-07-28 09:15:00,27,-0.01182841010251102,-0.01182841010251102,0.0,0.8,"M&M,TCS,KOTAKBANK,INFY,LT",
E1002,73,2023-07-28 09:15:00,2023-08-02 09:15:00,27,0.004932272656645779,0.004932272656645779,0.0,0.8,"CIPLA,INFY,TCS,RELIANCE,M&M",
E1002,76,2023-08-02 09:15:00,2023-08-07 09:15:00,27,-0.0035921576272375535,-0.0035921576272375535,0.0,2.0,"ONGC,HDFCBANK,WIPRO,NESTLEIND,KOTAKBANK",
E1002,79,2023-08-07 09:15:00,2023-08-10 09:15:00,27,0.013340469727294309,0.013340469727294309,0.0,1.6,"SUNPHARMA,WIPRO,ICICIBANK,ITC,CIPLA",
E1002,82,2023-08-10 09:15:00,2023-08-16 09:15:00,27,-0.0021585517990853724,-0.0021585517990853724,0.0,1.2000000000000002,"SUNPHARMA,WIPRO,NESTLEIND,HINDUNILVR,HCLTECH",
E1002,85,2023-08-16 09:15:00,2023-08-21 09:15:00,27,0.009890523270596726,0.009890523270596726,0.0,1.6,"SBIN,AXISBANK,HINDUNILVR,DRREDDY,BAJAJ-AUTO",
E1002,88,2023-08-21 09:15:00,2023-08-24 09:15:00,27,0.004605004601467828,0.004605004601467828,0.0,1.2000000000000002,"CIPLA,M&M,BAJAJ-AUTO,RELIANCE,HINDUNILVR",
E1002,91,2023-08-24 09:15:00,2023-08-29 09:15:00,27,-0.008560446521542186,-0.008560446521542186,0.0,1.6,"ULTRACEMCO,INFY,TECHM,CIPLA,SUNPHARMA",
E1002,94,2023-08-29 09:15:00,2023-09-01 09:15:00,27,-0.01484700168091839,-0.01484700168091839,0.0,1.6,"LT,SUNPHARMA,KOTAKBANK,HINDUNILVR,DRREDDY",
E1002,97,2023-09-01 09:15:00,2023-09-06 09:15:00,27,0.017796368467435042,0.017796368467435042,0.0,1.6,"BAJAJ-AUTO,ICICIBANK,ONGC,AXISBANK,SUNPHARMA",
E1002,100,2023-09-06 09:15:00,2023-09-11 09:15:00,27,-0.0009601094001906096,-0.0009601094001906096,0.0,0.8,"ONGC,AXISBANK,INFY,WIPRO,ICICIBANK",
E1002,103,2023-09-11 09:15:00,2023-09-14 09:15:00,27,0.014332327014134508,0.014332327014134508,0.0,1.6,"SUNPHARMA,CIPLA,TCS,DRREDDY,WIPRO",
E1002,106,2023-09-14 09:15:00,2023-09-20 09:15:00,27,-0.007193683524856527,-0.007193683524856527,0.0,2.0,"SBIN,BHARTIARTL,AXISBANK,ADANIPORTS,RELIANCE",
E1002,109,2023-09-20 09:15:00,2023-09-25 09:15:00,27,-0.02614669302748078,-0.02614669302748078,0.0,1.6,"DRREDDY,AXISBANK,ITC,ONGC,HDFCBANK",
E1002,112,2023-09-25 09:15:00,2023-09-28 09:15:00,27,-0.005901165937192909,-0.005901165937192909,0.0,2.0,"MARUTI,M&M,HCLTECH,CIPLA,WIPRO",
E1002,115,2023-09-28 09:15:00,2023-10-04 09:15:00,27,-0.029324544273029683,-0.029324544273029683,0.0,1.2000000000000002,"AXISBANK,TECHM,BRITANNIA,CIPLA,M&M",
E1002,118,2023-10-04 09:15:00,2023-10-09 09:15:00,27,0.0014161801297451345,0.0014161801297451345,0.0,1.6,"SUNPHARMA,ICICIBANK,HDFCBANK,NESTLEIND,TECHM",
E1002,121,2023-10-09 09:15:00,2023-10-12 09:15:00,27,0.012175437036126231,0.012175437036126231,0.0,2.0,"TCS,AXISBANK,INFY,ULTRACEMCO,SBIN",
E1002,124,2023-10-12 09:15:00,2023-10-17 09:15:00,27,-0.00022291830659764344,-0.00022291830659764344,0.0,1.6,"INFY,M&M,HDFCBANK,HCLTECH,ITC",
E1002,127,2023-10-17 09:15:00,2023-10-20 09:15:00,27,0.00042720865791299675,0.00042720865791299675,0.0,1.2000000000000002,"HCLTECH,AXISBANK,HDFCBANK,HINDUNILVR,BAJAJ-AUTO",
E1002,130,2023-10-20 09:15:00,2023-10-26 09:15:00,27,-0.036837489371949764,-0.036837489371949764,0.0,1.2000000000000002,"AXISBANK,HINDUNILVR,ITC,CIPLA,INFY",
E1002,133,2023-10-26 09:15:00,2023-10-31 09:15:00,27,-0.002841865000200099,-0.002841865000200099,0.0,2.0,"TECHM,BRITANNIA,DRREDDY,HDFCBANK,MARUTI",
E1002,136,2023-10-31 09:15:00,2023-11-03 09:15:00,27,0.014100484563310364,0.014100484563310364,0.0,2.0,"SUNPHARMA,HINDUNILVR,BPCL,WIPRO,INFY",
E1002,139,2023-11-03 09:15:00,2023-11-08 09:15:00,27,0.003792120446705343,0.003792120446705343,0.0,2.0,"ICICIBANK,MARUTI,HDFCBANK,KOTAKBANK,TECHM",
E1002,142,2023-11-08 09:15:00,2023-11-12 18:15:00,27,0.005325261881213828,0.005325261881213828,0.0,1.2000000000000002,"KOTAKBANK,MARUTI,CIPLA,BHARTIARTL,BPCL",
E1002,145,2023-11-12 18:15:00,2023-11-16 09:15:00,27,0.007271401523919915,0.007271401523919915,0.0,1.2000000000000002,"BPCL,INFY,SUNPHARMA,NESTLEIND,MARUTI",
E1002,148,2023-11-16 09:15:00,2023-11-21 09:15:00,27,0.012301892217039073,0.012301892217039073,0.0,2.0,"BHARTIARTL,ITC,HCLTECH,ONGC,TCS",
E1002,151,2023-11-21 09:15:00,2023-11-24 09:15:00,27,0.005068641320984064,0.005068641320984064,0.0,1.2000000000000002,"BPCL,BRITANNIA,ICICIBANK,ONGC,HCLTECH",
E1002,154,2023-11-24 09:15:00,2023-11-30 09:15:00,27,0.02590538808436048,0.02590538808436048,0.0,0.8,"HCLTECH,BPCL,CIPLA,ADANIPORTS,ONGC",
E1002,157,2023-11-30 09:15:00,2023-12-05 09:15:00,27,0.031538214141486755,0.031538214141486755,0.0,1.6,"M&M,BAJAJ-AUTO,BPCL,NESTLEIND,RELIANCE",
E1002,160,2023-12-05 09:15:00,2023-12-08 09:15:00,27,0.018074719807510978,0.018074719807510978,0.0,2.0,"BHARTIARTL,HDFCBANK,LT,ADANIPORTS,HINDUNILVR",
E1002,163,2023-12-08 09:15:00,2023-12-13 09:15:00,27,-0.00452214866787969,-0.00452214866787969,0.0,1.2000000000000002,"HDFCBANK,BRITANNIA,BHARTIARTL,BAJAJ-AUTO,INFY",
E1002,166,2023-12-13 09:15:00,2023-12-18 09:15:00,27,0.007052356910228332,0.007052356910228332,0.0,1.6,"BHARTIARTL,ULTRACEMCO,RELIANCE,NESTLEIND,ADANIPORTS",
E1002,169,2023-12-18 09:15:00,2023-12-21 09:15:00,27,-0.03343619458566299,-0.03343619458566299,0.0,2.0,"BAJAJ-AUTO,TECHM,BRITANNIA,LT,SBIN",
E1002,172,2023-12-21 09:15:00,2023-12-27 09:15:00,27,0.01945859371757165,0.01945859371757165,0.0,2.0,"ONGC,NESTLEIND,HINDUNILVR,BPCL,HDFCBANK",
E1002,175,2023-12-27 09:15:00,2024-01-01 09:15:00,27,0.018943182110283497,0.018943182110283497,0.0,1.6,"ULTRACEMCO,BAJAJ-AUTO,LT,DRREDDY,HINDUNILVR",
E1002,178,2024-01-01 09:15:00,2024-01-04 09:15:00,27,-0.00648071663618965,-0.00648071663618965,0.0,1.6,"BAJAJ-AUTO,HDFCBANK,M&M,BRITANNIA,NESTLEIND",
E1002,181,2024-01-04 09:15:00,2024-01-09 09:15:00,27,0.015061079013634376,0.015061079013634376,0.0,1.6,"ONGC,AXISBANK,BAJAJ-AUTO,TCS,CIPLA",
E1002,184,2024-01-09 09:15:00,2024-01-12 09:15:00,27,0.00869063039335077,0.00869063039335077,0.0,1.2000000000000002,"ADANIPORTS,SBIN,AXISBANK,TCS,HCLTECH",
E1002,187,2024-01-12 09:15:00,2024-01-17 09:15:00,27,0.016141793122307114,0.016141793122307114,0.0,1.6,"TCS,WIPRO,INFY,DRREDDY,M&M",
E1002,190,2024-01-17 09:15:00,2024-01-20 09:15:00,27,-0.011609324911739511,-0.011609324911739511,0.0,2.0,"KOTAKBANK,HDFCBANK,ICICIBANK,BAJAJ-AUTO,LT",
E1002,193,2024-01-20 09:15:00,2024-01-25 09:15:00,27,0.002977139326167032,0.002977139326167032,0.0,2.0,"BRITANNIA,ULTRACEMCO,BPCL,BHARTIARTL,ONGC",
E1002,196,2024-01-25 09:15:00,2024-01-31 09:15:00,27,0.014832103143606805,0.014832103143606805,0.0,0.4,"BPCL,ONGC,ICICIBANK,BRITANNIA,BHARTIARTL",
E1002,199,2024-01-31 09:15:00,2024-02-05 09:15:00,27,0.020012342077951963,0.020012342077951963,0.0,2.0,"DRREDDY,BAJAJ-AUTO,LT,SBIN,HCLTECH",
E1002,202,2024-02-05 09:15:00,2024-02-08 09:15:00,27,0.0003691541009873279,0.0003691541009873279,0.0,1.6,"M&M,HDFCBANK,AXISBANK,ICICIBANK,BAJAJ-AUTO",
E1002,205,2024-02-08 09:15:00,2024-02-13 09:15:00,27,-0.015560553025164413,-0.015560553025164413,0.0,2.0,"WIPRO,BPCL,HCLTECH,MARUTI,ADANIPORTS",
E1002,208,2024-02-13 09:15:00,2024-02-16 09:15:00,27,0.02414679724423712,0.02414679724423712,0.0,1.6,"CIPLA,SBIN,ICICIBANK,NESTLEIND,ADANIPORTS",
E1002,211,2024-02-16 09:15:00,2024-02-21 09:15:00,27,-0.0008903143335548926,-0.0008903143335548926,0.0,1.6,"MARUTI,BPCL,ADANIPORTS,ULTRACEMCO,BAJAJ-AUTO",
E1002,214,2024-02-21 09:15:00,2024-02-26 09:15:00,27,-0.011747200537352892,-0.011747200537352892,0.0,1.2000000000000002,"M&M,BPCL,ULTRACEMCO,KOTAKBANK,ICICIBANK",
E1002,217,2024-02-26 09:15:00,2024-02-29 09:15:00,27,-0.01793179497251727,-0.01793179497251727,0.0,2.0,"TECHM,BAJAJ-AUTO,HCLTECH,INFY,CIPLA",
