scenario,allocation,is_selected,trades,first_entry,last_expiry,total_pnl_points,annualized_return_on_margin,worst_trade_points,max_drawdown_points,win_rate,positive_years,negative_years,year_count,positive_folds,negative_folds,fold_count,max_year_pnl_share,worst_loss_cluster_points,loss_cluster_count,passes_all_years,passes_all_folds,passes_concentration,passes_loss_cluster,passes_robustness_gate
base,def_full_resg0_ovg50,True,51,2017-04-24,2024-05-23,2026.5674999999999,0.22543723680487182,-1.8787499999999984,-1.8787499999999986,0.9411764705882353,5,1,6,4,0,4,0.276287984486083,-2.741249999999998,2,False,True,True,True,False
base,def_full_resg100_ovg50,False,141,2016-08-17,2024-06-27,3660.1275000000005,0.27207141443790395,-69.20500000000014,-69.20499999999993,0.8936170212765957,9,0,9,4,0,4,0.2766116071093151,-69.20500000000014,13,True,True,True,True,True
base,def_full_resg50_ovg50,False,141,2016-08-17,2024-06-27,2843.3475000000003,0.23999359929223418,-34.60250000000007,-34.602499999999964,0.8936170212765957,9,0,9,4,0,4,0.2525917954101635,-34.60250000000007,13,True,True,True,True,True
base,def_full_resg0_ovg0,False,51,2017-04-24,2024-05-23,1351.0449999999998,0.1756858035284352,-1.252499999999999,-1.252499999999999,0.9411764705882353,5,1,6,4,0,4,0.27628798448608305,-1.8274999999999988,2,False,True,True,True,False
harsh_stress,def_full_resg0_ovg50,True,51,2017-04-24,2024-05-23,798.3599999999999,0.12348875819763583,-15.5325,-28.154999999999973,0.6274509803921569,5,1,6,4,0,4,0.33294190590710965,-29.8575,11,False,True,True,True,False
harsh_stress,def_full_resg100_ovg50,False,141,2016-08-17,2024-06-27,1141.1699999999998,0.14120098440452478,-86.605,-152.78750000000002,0.48226950354609927,5,4,9,4,0,4,0.35565910425265296,-152.78750000000002,30,False,True,False,True,False
harsh_stress,def_full_resg50_ovg50,False,141,2016-08-17,2024-06-27,969.765,0.12660226143013875,-43.3025,-91.32250000000002,0.48226950354609927,5,4,9,4,0,4,0.2935633890684856,-91.32250000000002,30,False,True,True,True,False
harsh_stress,def_full_resg0_ovg0,False,51,2017-04-24,2024-05-23,532.24,0.09108156378187138,-10.355,-18.77000000000001,0.6274509803921569,5,1,6,4,0,4,0.33294190590710954,-19.905,11,False,True,True,True,False
moderate_stress,def_full_resg0_ovg50,True,51,2017-04-24,2024-05-23,1309.7625000000003,0.17122012660354669,-8.98125,-8.98125,0.8627450980392157,5,1,6,4,0,4,0.2961176167434935,-16.818749999999998,5,False,True,True,True,False
moderate_stress,def_full_resg100_ovg50,False,141,2016-08-17,2024-06-27,2202.8225,0.2069671130745685,-79.23750000000001,-81.72499999999991,0.6950354609929078,7,2,9,4,0,4,0.2996411422164064,-81.72500000000001,21,False,True,True,True,False
moderate_stress,def_full_resg50_ovg50,False,141,2016-08-17,2024-06-27,1756.2925,0.18208489467644617,-39.618750000000006,-40.86250000000018,0.6950354609929078,7,2,9,4,0,4,0.2660113563088153,-40.862500000000004,21,False,True,True,True,False
moderate_stress,def_full_resg0_ovg0,False,51,2017-04-24,2024-05-23,873.1750000000001,0.12991532464027222,-5.9875,-5.987499999999999,0.8627450980392157,5,1,6,4,0,4,0.2961176167434936,-11.212499999999999,5,False,True,True,True,False
