thesis_id,status,fold_id,fold_start_date,fold_end_date,available_symbols,buyhold_annualized_return,strategy_total_return,strategy_annualized_return,excess_vs_buyhold_ann,beats_buyhold,event_count
TB06_Z04_ETFMomentumRotation,evaluated,1,2016-05-03,2017-05-02,BANKBEES|NIFTYBEES,0.2941029174570422,0.09090359394859893,0.09166931035279569,-0.20243360710424652,False,19
TB06_Z05_ETFLowVolRotation,evaluated,1,2016-05-03,2017-05-02,BANKBEES|NIFTYBEES,0.2941029174570422,0.2119050604637105,0.2137849067403823,-0.0803180107166599,False,24
TB06_Z04_ETFMomentumRotation,evaluated,2,2017-05-03,2018-04-30,BANKBEES|NIFTYBEES,0.16572153706939408,0.1173453138780367,0.11834556566404952,-0.04737597140534455,False,25
TB06_Z05_ETFLowVolRotation,evaluated,2,2017-05-03,2018-04-30,BANKBEES|NIFTYBEES,0.16572153706939408,0.1173453138780367,0.11834556566404952,-0.04737597140534455,False,25
TB06_Z04_ETFMomentumRotation,evaluated,3,2018-05-02,2019-05-03,BANKBEES|NIFTYBEES,0.14254704982865074,0.08921703291460736,0.08996796527039996,-0.05257908455825078,False,25
TB06_Z05_ETFLowVolRotation,evaluated,3,2018-05-02,2019-05-03,BANKBEES|NIFTYBEES,0.14254704982865074,0.08921703291460736,0.08996796527039996,-0.05257908455825078,False,25
TB06_Z04_ETFMomentumRotation,evaluated,4,2019-05-06,2020-05-07,BANKBEES|NIFTYBEES,-0.2739168814894105,-0.3199436981932494,-0.32205505816579816,-0.048138176676387645,False,25
TB06_Z05_ETFLowVolRotation,evaluated,4,2019-05-06,2020-05-07,BANKBEES|NIFTYBEES,-0.2739168814894105,-0.3199436981932494,-0.32205505816579816,-0.048138176676387645,False,25
TB06_Z04_ETFMomentumRotation,evaluated,5,2020-05-08,2021-05-04,BANKBEES|ITBEES|NIFTYBEES,0.6313679026057786,0.41427558406659526,0.4182344419280708,-0.21313346067770778,False,25
TB06_Z05_ETFLowVolRotation,evaluated,5,2020-05-08,2021-05-04,BANKBEES|ITBEES|NIFTYBEES,0.6313679026057786,0.6167057321706768,0.6229811883519105,-0.008386714253868055,False,25
TB06_Z04_ETFMomentumRotation,evaluated,6,2021-05-05,2022-05-04,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.1533252429299805,0.03456675851516411,0.03485032496430995,-0.11847491796567056,False,25
TB06_Z05_ETFLowVolRotation,evaluated,6,2021-05-05,2022-05-04,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.1533252429299805,0.15723936039148012,0.15860306745818575,0.005277824528205244,True,25
TB06_Z04_ETFMomentumRotation,evaluated,7,2022-05-05,2023-05-04,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.05565202646297229,-0.013801924094017037,-0.013912452063524094,-0.06956447852649639,False,25
TB06_Z05_ETFLowVolRotation,evaluated,7,2022-05-05,2023-05-04,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.05565202646297229,-0.0013150605279013128,-0.0013256588221207677,-0.05697768528509306,False,25
TB06_Z04_ETFMomentumRotation,evaluated,8,2023-05-05,2024-05-03,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.288020558561646,0.24621794705962552,0.2484320823908832,-0.039588476170762776,False,25
TB06_Z05_ETFLowVolRotation,evaluated,8,2023-05-05,2024-05-03,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.288020558561646,0.23781839730217835,0.23994998167926163,-0.048070576882384364,False,25
TB06_Z04_ETFMomentumRotation,evaluated,9,2024-05-06,2025-05-02,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.11519567797348973,0.14577485989900896,0.14767017091368584,0.03247449294019611,True,25
TB06_Z05_ETFLowVolRotation,evaluated,9,2024-05-06,2025-05-02,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,0.11519567797348973,0.13286012283945214,0.13457785159539748,0.01938217362190775,True,25
TB06_Z04_ETFMomentumRotation,evaluated,10,2025-05-05,2026-04-30,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,-0.021296109908020444,-0.1096128537080926,-0.11086751118562255,-0.0895714012776021,False,25
TB06_Z05_ETFLowVolRotation,evaluated,10,2025-05-05,2026-04-30,BANKBEES|ITBEES|NIFTYBEES|PHARMABEES,-0.021296109908020444,-0.03660207434674834,-0.037038298140887216,-0.01574218823286677,False,25
