symbol,raw_kelly_fraction,half_kelly_fraction,worst_trade_budget_cap_fraction,recommended_cash_fraction,worst_trade_budget_pct,sizing_status
BHARTIARTL,4.803299559782442,2.401649779891221,0.36377134372680037,0.25,0.05,paper_research_candidate
INFY,4.643641942989012,2.321820971494506,0.4,0.25,0.05,paper_research_candidate
RELIANCE,368.670906770648,184.335453385324,0.25,0.25,0.05,paper_research_candidate
TCS,11.831914730805961,5.9159573654029805,0.5082592121982212,0.25,0.05,paper_research_candidate
LT,2.193621288782822,1.096810644391411,0.17018862572684726,0.17018862572684726,0.05,paper_research_candidate
ICICIBANK,5.078921798118879,2.5394608990594394,0.1450924608819346,0.1450924608819346,0.05,paper_research_candidate
SBIN,4.098870818943891,2.0494354094719456,0.13920071845532106,0.13920071845532106,0.05,paper_research_candidate
