variant_id,fold_id,strategy_total_return,strategy_annualized_return,rebalanced_benchmark_annualized_return,excess_vs_rebalanced_benchmark_annualized,beats_rebalanced_benchmark,fit_folds,oos_folds,quantile,threshold,normal_active_weight,hedge_active_weight,borrow_annual,short_slippage_bps
oos_candidate,6,0.05820232087122035,0.059176169354827834,0.03600624453013057,0.023169924824697263,True,"1,2,3,4,5","6,7,8,9,10",0.4,0.5037037037037037,0.2,-0.3,0.05,25.0
oos_candidate,7,0.16435583363991046,0.16724033891716172,0.1494331223012595,0.017807216615902233,True,"1,2,3,4,5","6,7,8,9,10",0.4,0.5037037037037037,0.2,-0.3,0.05,25.0
oos_candidate,8,0.321103327280406,0.32709874407506834,0.31041379477841047,0.01668494929665787,True,"1,2,3,4,5","6,7,8,9,10",0.4,0.5037037037037037,0.2,-0.3,0.05,25.0
oos_candidate,9,0.04861265214052235,0.04942232314531814,0.08063905440297114,-0.031216731257653008,False,"1,2,3,4,5","6,7,8,9,10",0.4,0.5037037037037037,0.2,-0.3,0.05,25.0
oos_candidate,10,-0.026105990156903514,-0.026524798034151198,-0.019400204345944472,-0.007124593688206726,False,"1,2,3,4,5","6,7,8,9,10",0.4,0.5037037037037037,0.2,-0.3,0.05,25.0
oos_candidate,7,0.16435583363991046,0.16724033891716172,0.1494331223012595,0.017807216615902233,True,"1,2,3,4,5,6","7,8,9,10",0.4,0.4888888888888889,0.2,-0.3,0.05,25.0
oos_candidate,8,0.321103327280406,0.32709874407506834,0.31041379477841047,0.01668494929665787,True,"1,2,3,4,5,6","7,8,9,10",0.4,0.4888888888888889,0.2,-0.3,0.05,25.0
oos_candidate,9,0.04861265214052235,0.04942232314531814,0.08063905440297114,-0.031216731257653008,False,"1,2,3,4,5,6","7,8,9,10",0.4,0.4888888888888889,0.2,-0.3,0.05,25.0
oos_candidate,10,-0.026105990156903514,-0.026524798034151198,-0.019400204345944472,-0.007124593688206726,False,"1,2,3,4,5,6","7,8,9,10",0.4,0.4888888888888889,0.2,-0.3,0.05,25.0
oos_candidate,8,0.321103327280406,0.32709874407506834,0.31041379477841047,0.01668494929665787,True,"1,2,3,4,5,6,7","8,9,10",0.4,0.5111111111111111,0.2,-0.3,0.05,25.0
oos_candidate,9,0.04861265214052235,0.04942232314531814,0.08063905440297114,-0.031216731257653008,False,"1,2,3,4,5,6,7","8,9,10",0.4,0.5111111111111111,0.2,-0.3,0.05,25.0
oos_candidate,10,-0.026105990156903514,-0.026524798034151198,-0.019400204345944472,-0.007124593688206726,False,"1,2,3,4,5,6,7","8,9,10",0.4,0.5111111111111111,0.2,-0.3,0.05,25.0
oos_candidate,9,0.06347106162653504,0.06453572486878945,0.08063905440297114,-0.0161033295341817,False,"1,2,3,4,5,6,7,8","9,10",0.25,0.4074074074074073,0.2,-0.3,0.05,25.0
oos_candidate,10,-0.016363721662969177,-0.016627574067630935,-0.019400204345944472,0.002772630278313537,True,"1,2,3,4,5,6,7,8","9,10",0.25,0.4074074074074073,0.2,-0.3,0.05,25.0
