borrow_annual,short_slippage_bps,mean_strategy_annualized,mean_rebalanced_benchmark_annualized,mean_excess_vs_rebalanced_benchmark_annualized,folds_beating_rebalanced_benchmark,min_excess_vs_rebalanced_benchmark_annualized
0.02,10,0.15598666910341605,0.14123175295982157,0.014754916143594466,9,-0.002516449018494127
0.02,25,0.15515669113077218,0.14123175295982157,0.013924938170950618,9,-0.004477155275634859
0.02,50,0.15377466505210913,0.14123175295982157,0.012542912092287561,8,-0.0077383763706477815
0.05,10,0.15424510941428626,0.14123175295982157,0.013013356454464664,9,-0.006581617774906068
0.05,25,0.1534163305637831,0.14123175295982157,0.012184577603961522,7,-0.008536143820905284
0.05,50,0.1520363010922677,0.14123175295982157,0.010804548132446124,7,-0.011787081344189598
0.1,10,0.15134800761695652,0.14123175295982157,0.010116254657134971,7,-0.013329036392507154
0.1,25,0.15052122335693952,0.14123175295982157,0.009289470397117926,7,-0.015273296135434267
0.1,50,0.1491445149936431,0.14123175295982157,0.007912762033821508,6,-0.018507151050664028
