strategy_id,guardrail_profile,fold_id,rebalance_ts,raw_return,drawdown_before_event,exposure_multiplier,guarded_return,equity_after_event
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-05-03 09:15:00,-0.0794027742409393,0.0,1.0,-0.0794027742409393,0.9205972257590607
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-05-17 09:15:00,0.0114946190125473,0.07940277424093933,0.5,0.00574730950627365,0.9258881829461149
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-05-31 09:15:00,0.0153497346432631,0.07411181705388514,0.75,0.011512300982447324,0.9365472863842819
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-06-14 09:15:00,0.029863477746637,0.06345271361571814,0.75,0.02239760830997775,0.9575237056684895
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-06-28 09:15:00,0.0308291451621232,0.042476294331510456,1.0,0.0308291451621232,0.9870433429867176
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-07-13 09:15:00,-0.0076450198097395,0.012956657013282413,1.0,-0.0076450198097395,0.9794973770765126
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-07-27 09:15:00,0.030293921595352,0.020502622923487368,1.0,0.030293921595352,1.0091701938205213
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-08-10 09:15:00,-0.0342906170159895,0.0,1.0,-0.0342906170159895,0.9745651252002699
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-08-25 09:15:00,0.0315430355566374,0.034290617015989476,1.0,0.0315430355566374,1.0053058675967208
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-09-09 09:15:00,0.0100312230945514,0.003829211611146503,1.0,0.0100312230945514,1.0153903150328452
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-09-26 09:15:00,-0.028479466717176,0.0,1.0,-0.028479466717176,0.9864725403509244
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-10-10 09:15:00,-0.0089745870369605,0.028479466717176036,1.0,-0.0089745870369605,0.9776193566779734
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-10-26 09:15:00,-0.0583221723979937,0.03719846230131708,1.0,-0.0583221723979937,0.920602472018185
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-11-09 09:15:00,-0.0157463272309081,0.09335113956803302,0.5,-0.00787316361545405,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-11-24 09:15:00,0.0261725719235405,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-12-08 09:15:00,-0.0061827874496057,0.10048933438797891,0.0,-0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2016-12-22 09:15:00,0.0073559230874507,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-01-05 09:15:00,0.0158915330711523,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-01-19 09:15:00,0.0285462939611244,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-02-03 09:15:00,0.0411656160460057,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-02-17 09:15:00,0.0254374692045192,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-03-06 09:15:00,-0.0061483399295555,0.10048933438797891,0.0,-0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-03-21 09:15:00,0.0074581381546218,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-04-05 09:15:00,-0.0188954255208213,0.10048933438797891,0.0,-0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,2017-04-20 09:15:00,0.0213694623075915,0.10048933438797891,0.0,0.0,0.9133544181311943
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,1,2016-05-03 09:15:00,-0.0794027742409393,0.0,1.0,-0.0794027742409393,0.9205972257590607
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,1,2016-05-17 09:15:00,0.0114946190125473,0.07940277424093933,0.75,0.008620964259410474,0.9285336615396419
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,1,2016-05-31 09:15:00,0.0153497346432631,0.0714663384603581,0.75,0.011512300982447324,0.9392232205236202
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,1,2016-06-14 09:15:00,0.029863477746637,0.06077677947637983,0.75,0.02239760830997775,0.960259574332544
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,1,2016-06-28 09:15:00,0.0308291451621232,0.03974042566745595,1.0,0.0308291451621232,0.9898635561429607
