experiment_id,ticker,pnl_contribution
E1002,ADANIPORTS,0.10306090316534461
E1002,AXISBANK,0.03242085201638971
E1002,BAJAJ-AUTO,-0.019707503258038758
E1002,BHARTIARTL,0.02892451427501937
E1002,BPCL,0.10121702478549252
E1002,BRITANNIA,0.0037272561226547665
E1002,CIPLA,0.06295024916960548
E1002,DRREDDY,0.012614160819343577
E1002,HCLTECH,-0.008598408684351204
E1002,HDFCBANK,-0.012985644795870067
E1002,HINDUNILVR,-0.0314267381973224
E1002,ICICIBANK,-0.0063385359875872925
E1002,INFY,-0.004481536026478796
E1002,ITC,-0.030752843833687152
E1002,KOTAKBANK,-0.0037988082597095792
E1002,LT,0.024157899507820352
E1002,M&M,0.053917509945682486
E1002,MARUTI,0.01876619808365461
E1002,NESTLEIND,0.007124337168339885
E1002,ONGC,0.02722584388344121
E1002,RELIANCE,0.01887698555533924
E1002,SBIN,0.022452674354707707
E1002,SUNPHARMA,-0.0005738381216525007
E1002,TCS,-0.035086434949569374
E1002,TECHM,0.03262921560760227
E1002,ULTRACEMCO,0.027081551831339562
E1002,WIPRO,-0.04768884387342885
E1003,ADANIPORTS,-0.017729864698247
E1003,AXISBANK,-0.0026545845103588435
E1003,BAJAJ-AUTO,0.01961882974314361
E1003,BHARTIARTL,0.058906146517977306
E1003,BPCL,0.08590868826392781
E1003,BRITANNIA,-0.020074523466133604
E1003,CIPLA,0.015402740309330499
E1003,DRREDDY,-0.02192044686710077
E1003,HCLTECH,0.011363050601226577
E1003,HDFCBANK,0.02594356490150737
E1003,HINDUNILVR,0.02452784207241081
E1003,ICICIBANK,0.028468007614217847
E1003,INFY,0.012891170682799243
E1003,ITC,-0.017994077953380237
E1003,KOTAKBANK,-0.024645229072329182
E1003,LT,0.021129537211973415
E1003,M&M,0.03033814044733605
E1003,MARUTI,0.00042543489621455627
E1003,NESTLEIND,-0.02480045679627756
E1003,ONGC,0.0624428214181061
E1003,RELIANCE,0.020224834335588027
E1003,SBIN,0.01732562660460884
E1003,SUNPHARMA,0.018997317135131725
E1003,TCS,-0.08080521635421647
E1003,TECHM,0.061241588901352194
E1003,ULTRACEMCO,0.046083514423930896
E1003,WIPRO,-0.005382797273468385
E1006,ADANIPORTS,0.009295744328621902
E1006,AXISBANK,0.06979577968488115
E1006,BAJAJ-AUTO,0.001165965096250797
E1006,BHARTIARTL,0.06251134684963994
E1006,BPCL,0.17444543967827852
E1006,BRITANNIA,0.03522819451749461
E1006,CIPLA,0.05702182237946484
E1006,DRREDDY,0.013119518050128252
E1006,HCLTECH,0.013720145856540364
E1006,HDFCBANK,0.0036606644161335665
E1006,HINDUNILVR,-0.014385723499730937
E1006,ICICIBANK,-0.010519150792537393
E1006,INFY,-0.010222917982242265
E1006,ITC,-0.03568777367422306
E1006,KOTAKBANK,0.01514164977774844
E1006,LT,0.0132345086104117
E1006,M&M,-0.011799221870313546
E1006,MARUTI,0.007403884867337535
E1006,NESTLEIND,-0.010874987729872538
E1006,ONGC,0.04877129806413742
E1006,RELIANCE,-0.03996688475561496
E1006,SBIN,-0.01584671530015623
E1006,SUNPHARMA,-0.008174624786225484
E1006,TCS,0.0011032442331901755
E1006,TECHM,0.07420892708962132
E1006,ULTRACEMCO,0.03177850610850198
E1006,WIPRO,-0.042143797462389124
