collection_date_ist,observed_timestamp_ist,underlying,spot_source,spot_last_price,spot_timestamp,expiry_date,days_to_expiry,band_low,band_high,tradingsymbol,instrument_token,strike,option_type,moneyness_pct,quote_source,quote_timestamp,quote_age_seconds,bid,ask,mid,last_price,volume,oi,spread_points,spread_pct,all_quote_available,quote_freshness_pass,spread_quality_pass,broker_order_allowed,order_route,selection_reason
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL22100PE,16348162,22100.0,PE,-0.08024546209341965,kite_quote_api,2026-07-22 09:46:10,2.192115,1.7,1.75,1.725,1.75,370370,238420,0.050000000000000044,0.028985507246376836,True,True,True,False,blocked_no_broker_call,selected_profile_leg_supplement
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL22850CE,16355586,22850.0,CE,-0.04903207279794741,kite_quote_api,2026-07-22 09:46:03,9.192115,1155.8,1195.3,1175.55,1277.85,0,780,39.5,0.03360129301178172,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL22850PE,16355842,22850.0,PE,-0.04903207279794741,kite_quote_api,2026-07-22 09:46:11,1.192115,3.5,3.55,3.525,3.5,1355640,624455,0.04999999999999982,0.014184397163120517,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL22900CE,16356098,22900.0,CE,-0.046951180178249285,kite_quote_api,2026-07-22 09:46:10,2.192115,1120.65,1129.85,1125.25,1160.1,260,55445,9.199999999999818,0.008175960897578154,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL22900PE,16356354,22900.0,PE,-0.046951180178249285,kite_quote_api,2026-07-22 09:46:10,2.192115,3.75,3.8,3.775,3.8,3759860,1231165,0.04999999999999982,0.013245033112582735,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL22950CE,16356610,22950.0,CE,-0.04487028755855116,kite_quote_api,2026-07-22 09:46:11,1.192115,1044.9,1097.45,1071.1750000000002,1333.45,0,780,52.549999999999955,0.04905827712558634,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL22950PE,16356866,22950.0,PE,-0.04487028755855116,kite_quote_api,2026-07-22 09:46:10,2.192115,4.2,4.25,4.225,4.25,1523730,640640,0.04999999999999982,0.011834319526627177,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23000CE,16357122,23000.0,CE,-0.04278939493885303,kite_quote_api,2026-07-22 09:46:11,1.192115,1030.0,1030.55,1030.275,1030.05,38805,651300,0.5499999999999545,0.0005338380529469845,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23000PE,16357378,23000.0,PE,-0.04278939493885303,kite_quote_api,2026-07-22 09:46:11,1.192115,4.8,4.85,4.824999999999999,4.85,10180560,8193250,0.04999999999999982,0.010362694300518099,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23050CE,16357634,23050.0,CE,-0.040708502319154904,kite_quote_api,2026-07-22 09:46:11,1.192115,943.15,1009.1,976.125,1091.0,0,1040,65.95000000000005,0.0675630682545781,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23050PE,16357890,23050.0,PE,-0.040708502319154904,kite_quote_api,2026-07-22 09:46:11,1.192115,5.2,5.25,5.225,5.25,1863290,715130,0.04999999999999982,0.009569377990430589,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23100CE,16358146,23100.0,CE,-0.03862760969945678,kite_quote_api,2026-07-22 09:46:08,4.192115,897.95,939.95,918.95,1080.25,0,46605,42.0,0.0457043364709723,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23100PE,16358402,23100.0,PE,-0.03862760969945678,kite_quote_api,2026-07-22 09:46:11,1.192115,5.85,5.9,5.875,5.85,3000335,1916785,0.05000000000000071,0.008510638297872462,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23150CE,16358658,23150.0,CE,-0.03654671707975854,kite_quote_api,2026-07-22 09:46:04,8.192115,849.8,899.9,874.8499999999999,1054.4,0,1690,50.10000000000002,0.05726696005029437,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23150PE,16358914,23150.0,PE,-0.03654671707975854,kite_quote_api,2026-07-22 09:46:11,1.192115,6.65,6.7,6.675000000000001,6.7,1568905,479895,0.04999999999999982,0.0074906367041198225,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23200CE,16359170,23200.0,CE,-0.03446582446006041,kite_quote_api,2026-07-22 09:46:11,1.192115,828.5,836.3,832.4,830.55,390,59605,7.7999999999999545,0.009370494954348817,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23200PE,16359426,23200.0,PE,-0.03446582446006041,kite_quote_api,2026-07-22 09:46:11,1.192115,7.65,7.7,7.675000000000001,7.7,3964610,3101540,0.04999999999999982,0.006514657980456002,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-22,2026-07-22T09:46:12.192115+05:30,NIFTY,NSE:NIFTY 50,24028.15,2026-07-22 09:46:09,2026-07-28,6,22826.7425,25229.557500000003,NIFTY26JUL23250CE,16359682,23250.0,CE,-0.032384931840362285,kite_quote_api,2026-07-22 09:46:09,3.192115,764.15,793.65,778.9,796.75,130,2990,29.5,0.03787392476569521,True,True,True,False,blocked_no_broker_call,spot_band
