pair,ticker_a,ticker_b,z_window,entry_z,forward_horizon_bars,trade_count,mean_event_return,median_event_return,win_rate,approx_annualized_return
ICICIBANK|LT,ICICIBANK,LT,120,2.0,10,2336,-0.00495988825003698,-0.005302190551200579,0.3758561643835616,-0.5256616521652662
BRITANNIA|HINDUNILVR,BRITANNIA,HINDUNILVR,60,2.0,10,2155,-0.0050514904657035405,-0.004883595025725929,0.3786542923433875,-0.5321669868063954
ICICIBANK|TECHM,ICICIBANK,TECHM,120,2.0,10,2287,-0.005169214528476223,-0.005000794299083825,0.4180148666375164,-0.5403974436219077
HINDUNILVR|ULTRACEMCO,HINDUNILVR,ULTRACEMCO,60,2.0,10,2241,-0.005331422374263917,-0.004881956937094638,0.3868808567603748,-0.5515027676661295
ITC|LT,ITC,LT,120,2.0,10,2369,-0.005610135138969596,-0.00576325338786693,0.37610806247361755,-0.5699654212985206
CIPLA|WIPRO,CIPLA,WIPRO,60,2.0,10,2216,-0.005646183381647545,-0.004969116583858254,0.39485559566787004,-0.5722975345733539
BRITANNIA|HDFCBANK,BRITANNIA,HDFCBANK,60,2.0,10,2265,-0.0056667290309980614,-0.005311307119199596,0.37880794701986753,-0.5736210944055296
ICICIBANK|KOTAKBANK,ICICIBANK,KOTAKBANK,120,2.0,10,2295,-0.0058850897385131695,-0.005811213738260504,0.3769063180827887,-0.5874390259932922
KOTAKBANK|TCS,KOTAKBANK,TCS,60,2.0,10,2349,-0.005890088081228857,-0.0056506160080354315,0.38058748403575987,-0.5877500587840858
ADANIPORTS|LT,ADANIPORTS,LT,120,2.0,10,2255,-0.005946405396095401,-0.006518052467961822,0.3764966740576497,-0.5912384703104023
HDFCBANK|LT,HDFCBANK,LT,120,1.5,10,5145,-0.0059836118333310515,-0.005792898852393622,0.3551020408163265,-0.5935270134038473
HDFCBANK|ICICIBANK,HDFCBANK,ICICIBANK,60,2.0,10,2266,-0.005995123104097846,-0.005018433224978466,0.3702559576345984,-0.5942324825693137
ICICIBANK|NESTLEIND,ICICIBANK,NESTLEIND,60,2.0,10,2310,-0.006109613758128212,-0.005822085071864763,0.37662337662337664,-0.601183182905768
ITC|TCS,ITC,TCS,60,2.0,10,2415,-0.006160544533710641,-0.006472412445642189,0.34368530020703936,-0.604237045953825
KOTAKBANK|LT,KOTAKBANK,LT,60,2.0,10,2311,-0.006202141795252517,-0.006557744832309304,0.3509303331890956,-0.6067140195089786
AXISBANK|LT,AXISBANK,LT,120,2.0,10,2107,-0.006223644407293041,-0.006733415588556629,0.3654485049833887,-0.6079883820954644
AXISBANK|HDFCBANK,AXISBANK,HDFCBANK,120,2.0,10,2263,-0.00627345813211391,-0.007309574117338655,0.34865223155103847,-0.6109248801926487
HDFCBANK|KOTAKBANK,HDFCBANK,KOTAKBANK,120,1.5,10,4969,-0.00630252311383181,-0.005959148889565448,0.3232038639565305,-0.6126281438708934
BRITANNIA|ULTRACEMCO,BRITANNIA,ULTRACEMCO,60,2.0,10,2244,-0.006331662116188863,-0.005835769117879584,0.3738859180035651,-0.6143283100827917
CIPLA|SUNPHARMA,CIPLA,SUNPHARMA,120,2.0,10,2335,-0.006341728035231917,-0.006822110464516102,0.3408993576017131,-0.6149138995869098
BHARTIARTL|NESTLEIND,BHARTIARTL,NESTLEIND,60,2.0,10,2328,-0.006358136244040754,-0.005694623458515424,0.38187285223367695,-0.6158665620553694
ONGC|TECHM,ONGC,TECHM,60,2.0,10,2326,-0.006401279023202632,-0.006247994236467481,0.38779019776440243,-0.6183602811601157
HINDUNILVR|KOTAKBANK,HINDUNILVR,KOTAKBANK,60,2.0,10,2283,-0.006420038273470453,-0.0063464200690050016,0.35830048182216384,-0.6194395721575054
BAJAJ-AUTO|LT,BAJAJ-AUTO,LT,120,2.0,10,2478,-0.006480416268029248,-0.0060727316032439,0.36561743341404357,-0.622892806411468
ICICIBANK|ONGC,ICICIBANK,ONGC,120,2.0,10,2378,-0.0065153695271356945,-0.006212509070713248,0.3780487804878049,-0.6248776647542298
BRITANNIA|NESTLEIND,BRITANNIA,NESTLEIND,60,2.0,10,2261,-0.006578598446197319,-0.0071873044049498,0.3308270676691729,-0.6284418575368284
BAJAJ-AUTO|HINDUNILVR,BAJAJ-AUTO,HINDUNILVR,60,2.0,10,2353,-0.006582151395491367,-0.006287461918454516,0.35911602209944754,-0.6286411348357517
INFY|ONGC,INFY,ONGC,120,2.0,10,2320,-0.006596894161717045,-0.0068156848316247515,0.38060344827586207,-0.6294668913333837
CIPLA|TCS,CIPLA,TCS,60,2.0,10,2286,-0.006654972836090567,-0.006397749777105541,0.36395450568678916,-0.6327022258157783
ITC|KOTAKBANK,ITC,KOTAKBANK,120,1.5,10,5048,-0.006667409840280423,-0.005817078941864761,0.3666798732171157,-0.6333913860043152
HINDUNILVR|ICICIBANK,HINDUNILVR,ICICIBANK,60,2.0,10,2355,-0.006677883376137613,-0.006602222832285197,0.362208067940552,-0.6339707499456532
HINDUNILVR|TCS,HINDUNILVR,TCS,60,2.0,10,2397,-0.006730768712870203,-0.005710009560500185,0.36795994993742176,-0.636882343322636
LT|NESTLEIND,LT,NESTLEIND,120,2.0,10,2471,-0.006770944702211606,-0.006778232056088646,0.35694050991501414,-0.6390788380407878
ICICIBANK|ULTRACEMCO,ICICIBANK,ULTRACEMCO,120,2.0,10,2402,-0.006810727070602734,-0.006915178643110887,0.3684429641965029,-0.64124080733472
HCLTECH|TCS,HCLTECH,TCS,60,2.0,10,2267,-0.0068249370312936635,-0.00663101932571411,0.2964269960299956,-0.6420099241707484
CIPLA|ULTRACEMCO,CIPLA,ULTRACEMCO,60,2.0,10,2202,-0.006882089600446082,-0.006170745648997714,0.37920072661217075,-0.6450868116693214
BRITANNIA|KOTAKBANK,BRITANNIA,KOTAKBANK,120,2.0,10,2350,-0.006899664761430364,-0.006603043675367864,0.3659574468085106,-0.6460277029261298
HINDUNILVR|MARUTI,HINDUNILVR,MARUTI,60,2.0,10,2364,-0.0069116529994187725,-0.006705982830482205,0.3523688663282572,-0.6466680747930647
BAJAJ-AUTO|ICICIBANK,BAJAJ-AUTO,ICICIBANK,60,2.0,10,2230,-0.00694893190426868,-0.006129175129257266,0.3744394618834081,-0.6486520461513526
BRITANNIA|TCS,BRITANNIA,TCS,120,2.0,10,2390,-0.007035506606187311,-0.007023038773367683,0.3518828451882845,-0.6532169366189594
HINDUNILVR|NESTLEIND,HINDUNILVR,NESTLEIND,60,1.5,10,5165,-0.0070395064813102174,-0.006706834964517646,0.3138431752178122,-0.6534264112938247
CIPLA|HCLTECH,CIPLA,HCLTECH,60,2.0,10,2267,-0.007046758668186114,-0.005872454806805457,0.3987648875165417,-0.6538058900361571
AXISBANK|NESTLEIND,AXISBANK,NESTLEIND,60,1.5,10,5121,-0.00705004111471377,-0.006588654274173041,0.36574887717242727,-0.6539775119904562
RELIANCE|TCS,RELIANCE,TCS,120,2.0,10,2463,-0.007052287438360481,-0.006844515999261001,0.3629719853836784,-0.6540949117903356
ICICIBANK|TCS,ICICIBANK,TCS,120,2.0,10,2407,-0.007060141947963238,-0.0066109377525695266,0.37432488574989614,-0.6545051017182395
ITC|ONGC,ITC,ONGC,60,2.0,10,2326,-0.007063710984710762,-0.005909873630400384,0.3817712811693895,-0.6546913295904515
CIPLA|HDFCBANK,CIPLA,HDFCBANK,60,1.5,10,5224,-0.007068358043192293,-0.0063352564036032784,0.37021439509954057,-0.6549336578597945
