bucket,label,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,worst_trade_points,max_drawdown_points,win_rate,total_return_on_margin,annualized_return_on_margin,year_2024_pnl_share,advance_gate
all,TB11_T04_3pct_5wing_ret5_1pct_liq50k,157,2016-08-17,2024-06-27,3229.660000000002,20.571082802547785,-270.89499999999964,-274.2824999999996,0.8853503184713376,4.747869296934304,0.2491794492106869,0.09237117839029489,advance_candidate_needs_broader_validation
pre_2024,TB11_T04_3pct_5wing_ret5_1pct_liq50k,144,2016-08-17,2023-12-28,2931.3325000000023,20.35647569444446,-270.89499999999964,-274.2824999999996,0.8819444444444444,4.474753468476463,0.2597748057712357,,
year_2024,TB11_T04_3pct_5wing_ret5_1pct_liq50k,13,2024-01-31,2024-06-27,298.3275,22.94826923076923,-2.0499999999999994,-2.049999999999997,0.9230769230769231,0.2731158284578411,0.8146969150168724,,
