scenario,allocation,warmup_trade_count,lot_size,trades,first_entry,last_expiry,itm_expiry_trades,itm_expiry_leg_count,total_pnl_before_lumped_cost_points,total_pnl_after_lumped_cost_points,total_pnl_after_itemized_cost_points,total_model_lumped_cost_points,total_itemized_entry_cost_points,total_itemized_expiry_cost_points,total_itemized_cost_points,itemized_minus_lumped_cost_points,total_model_lumped_cost_rupees,total_itemized_cost_rupees,itemized_minus_lumped_cost_rupees,annualized_return_after_itemized_cost,worst_trade_after_itemized_cost_points,max_drawdown_after_itemized_cost_points,win_rate_after_itemized_cost,positive_years_after_itemized_cost,negative_years_after_itemized_cost,positive_folds_after_itemized_cost,negative_folds_after_itemized_cost,max_year_pnl_share_after_itemized_cost,passes_itemized_cost_gate
base,def_full_resg0_ovg50,1,50,50,2019-02-25,2024-05-23,1,2,2327.43,2027.4299999999998,2181.6000040878002,300.0,145.1034334122,0.7265625,145.8299959122,-154.1700040878,15000.0,7291.49979561,-7708.50020439,0.32914259240153165,1.2803359651500013,0.0,1.0,5,0,4,0,0.2736810332171785,True
base,def_full_resg0_ovg50,1,65,50,2019-02-25,2024-05-23,1,2,2327.43,2027.4299999999998,2214.440311780108,300.0,112.42651033527693,0.5631778846153846,112.98968821989232,-187.0103117801077,19500.0,7344.329734293001,-12155.670265707002,0.33183299257172694,1.933874426688463,0.0,1.0,5,0,4,0,0.2731638335456197,True
base,def_full_resg0_ovg50,1,75,50,2019-02-25,2024-05-23,1,2,2327.43,2027.4299999999998,2229.0360040878,300.0,97.9034334122,0.4905625000000001,98.3939959122,-201.60600408780002,22500.0,7379.549693415,-15120.450306585,0.3330213657745822,2.224335965150001,0.0,1.0,5,0,4,0,0.2729388588024736,True
harsh_stress,def_full_resg0_ovg50,1,50,50,2019-02-25,2024-05-23,1,2,1712.6849999999997,812.685,1566.8550040878,900.0,145.1034334122,0.7265625,145.8299959122,-754.1700040878,45000.0,7291.49979561,-37708.500204389995,0.26165672821146124,-0.3734140348500007,0.0,0.98,5,0,4,0,0.28525536314418576,True
harsh_stress,def_full_resg0_ovg50,1,65,50,2019-02-25,2024-05-23,1,2,1712.6849999999997,812.685,1599.6953117801077,900.0,112.42651033527693,0.5631778846153846,112.98968821989232,-787.0103117801077,58500.0,7344.329734293001,-51155.670265707,0.2649584844287034,0.28012442668846105,0.0,1.0,5,0,4,0,0.2843017988330063,True
harsh_stress,def_full_resg0_ovg50,1,75,50,2019-02-25,2024-05-23,1,2,1712.6849999999997,812.685,1614.2910040877998,900.0,97.9034334122,0.4905625000000001,98.3939959122,-801.6060040878001,67500.0,7379.549693415,-60120.45030658501,0.26641427730963163,0.5705859651499993,0.0,1.0,5,0,4,0,0.283890446037835,True
moderate_stress,def_full_resg0_ovg50,1,50,50,2019-02-25,2024-05-23,1,2,1917.6,1317.6000000000001,1771.7700040877999,600.0,145.1034334122,0.7265625,145.8299959122,-454.1700040878,30000.0,7291.49979561,-22708.500204390002,0.2852840798932985,0.17783596515000022,0.0,1.0,5,0,4,0,0.2805048296554871,True
moderate_stress,def_full_resg0_ovg50,1,65,50,2019-02-25,2024-05-23,1,2,1917.6,1317.6000000000001,1804.6103117801078,600.0,112.42651033527693,0.5631778846153846,112.98968821989232,-487.01031178010766,39000.0,7344.329734293001,-31655.670265706998,0.2883524370451649,0.831374426688462,0.0,1.0,5,0,4,0,0.27974599359671926,True
moderate_stress,def_full_resg0_ovg50,1,75,50,2019-02-25,2024-05-23,1,2,1917.6,1317.6000000000001,1819.2060040878,600.0,97.9034334122,0.4905625000000001,98.3939959122,-501.60600408779993,45000.0,7379.549693415,-37620.45030658499,0.28970626363094887,1.1218359651500003,0.0,1.0,5,0,4,0,0.27941752723064184,True
