thesis_id,fold_id,rebalance_date,next_rebalance_date,selected_symbols,event_return,available_symbols
TB06_Z04_ETFMomentumRotation,2,2017-11-22,2017-12-06,BANKBEES|NIFTYBEES,-0.02941102307256918,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2017-11-22,2017-12-06,NIFTYBEES|BANKBEES,-0.02941102307256918,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2017-12-06,2017-12-20,BANKBEES|NIFTYBEES,0.02958752115559142,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2017-12-06,2017-12-20,NIFTYBEES|BANKBEES,0.02958752115559142,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2017-12-20,2018-01-04,BANKBEES|NIFTYBEES,0.00022020052663715949,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2017-12-20,2018-01-04,NIFTYBEES|BANKBEES,0.00022020052663715949,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-01-04,2018-01-18,BANKBEES|NIFTYBEES,0.03269989085388562,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-01-04,2018-01-18,NIFTYBEES|BANKBEES,0.03269989085388562,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-01-18,2018-02-02,BANKBEES|NIFTYBEES,-0.008413977382946558,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-01-18,2018-02-02,NIFTYBEES|BANKBEES,-0.008413977382946558,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-02-02,2018-02-19,BANKBEES|NIFTYBEES,-0.04073702417523928,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-02-02,2018-02-19,NIFTYBEES|BANKBEES,-0.04073702417523928,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-02-19,2018-03-06,NIFTYBEES|BANKBEES,-0.02318524850526697,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-02-19,2018-03-06,NIFTYBEES|BANKBEES,-0.02318524850526697,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-03-06,2018-03-20,NIFTYBEES|BANKBEES,-0.011178675136917237,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-03-06,2018-03-20,NIFTYBEES|BANKBEES,-0.011178675136917237,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-03-20,2018-04-05,NIFTYBEES|BANKBEES,0.01907421103769385,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-03-20,2018-04-05,NIFTYBEES|BANKBEES,0.01907421103769385,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-04-05,2018-04-19,NIFTYBEES|BANKBEES,0.01616821632903505,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-04-05,2018-04-19,NIFTYBEES|BANKBEES,0.01616821632903505,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,2,2018-04-19,2018-04-30,NIFTYBEES|BANKBEES,0.0189576530856981,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,2,2018-04-19,2018-04-30,NIFTYBEES|BANKBEES,0.0189576530856981,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-05-02,2018-05-16,NIFTYBEES|BANKBEES,0.010334864002299963,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-05-02,2018-05-16,NIFTYBEES|BANKBEES,0.010334864002299963,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-05-16,2018-05-30,BANKBEES|NIFTYBEES,-0.002908585138370453,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-05-16,2018-05-30,NIFTYBEES|BANKBEES,-0.002908585138370453,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-05-30,2018-06-13,BANKBEES|NIFTYBEES,0.015558140825373493,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-05-30,2018-06-13,NIFTYBEES|BANKBEES,0.015558140825373493,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-06-13,2018-06-27,BANKBEES|NIFTYBEES,-0.012533142102780278,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-06-13,2018-06-27,NIFTYBEES|BANKBEES,-0.012533142102780278,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-06-27,2018-07-11,BANKBEES|NIFTYBEES,0.01781602537112107,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-06-27,2018-07-11,NIFTYBEES|BANKBEES,0.01781602537112107,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-07-11,2018-07-25,BANKBEES|NIFTYBEES,0.008847682936017833,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-07-11,2018-07-25,NIFTYBEES|BANKBEES,0.008847682936017833,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-07-25,2018-08-08,BANKBEES|NIFTYBEES,0.0355572064210753,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-07-25,2018-08-08,NIFTYBEES|BANKBEES,0.0355572064210753,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-08-08,2018-08-24,BANKBEES|NIFTYBEES,-0.0013440539322083105,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-08-08,2018-08-24,NIFTYBEES|BANKBEES,-0.0013440539322083105,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-08-24,2018-09-07,NIFTYBEES|BANKBEES,-0.005354637201183776,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-08-24,2018-09-07,NIFTYBEES|BANKBEES,-0.005354637201183776,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-09-07,2018-09-25,NIFTYBEES|BANKBEES,-0.0585416836404966,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-09-07,2018-09-25,NIFTYBEES|BANKBEES,-0.0585416836404966,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-09-25,2018-10-10,NIFTYBEES|BANKBEES,-0.03225060436657866,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-09-25,2018-10-10,NIFTYBEES|BANKBEES,-0.03225060436657866,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-10-10,2018-10-25,NIFTYBEES|BANKBEES,-0.028340854307245363,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-10-10,2018-10-25,NIFTYBEES|BANKBEES,-0.028340854307245363,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-10-25,2018-11-09,BANKBEES|NIFTYBEES,0.037246574630212914,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-10-25,2018-11-09,NIFTYBEES|BANKBEES,0.037246574630212914,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-11-09,2018-11-26,NIFTYBEES|BANKBEES,0.01372152957485262,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-11-09,2018-11-26,NIFTYBEES|BANKBEES,0.01372152957485262,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-11-26,2018-12-10,BANKBEES|NIFTYBEES,-0.014247503570622055,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-11-26,2018-12-10,NIFTYBEES|BANKBEES,-0.014247503570622055,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-12-10,2018-12-24,BANKBEES|NIFTYBEES,0.02024518376744895,BANKBEES|NIFTYBEES
TB06_Z05_ETFLowVolRotation,3,2018-12-10,2018-12-24,NIFTYBEES|BANKBEES,0.02024518376744895,BANKBEES|NIFTYBEES
TB06_Z04_ETFMomentumRotation,3,2018-12-24,2019-01-08,BANKBEES|NIFTYBEES,0.01630530681687521,BANKBEES|NIFTYBEES
