entry_date,reason,expiry_date,total_entry_contracts
2017-05-02,no_weekly_expiry_in_window,,
2017-05-03,no_weekly_expiry_in_window,,
2017-05-04,no_weekly_expiry_in_window,,
2017-05-08,no_weekly_expiry_in_window,,
2017-05-09,no_weekly_expiry_in_window,,
2017-05-10,no_weekly_expiry_in_window,,
2017-05-11,no_weekly_expiry_in_window,,
2017-05-23,uptrend_gate_false,,
2017-05-24,no_weekly_expiry_in_window,,
2017-05-25,no_weekly_expiry_in_window,,
2017-05-29,no_weekly_expiry_in_window,,
2017-05-30,no_weekly_expiry_in_window,,
2017-05-31,no_weekly_expiry_in_window,,
2017-06-01,no_weekly_expiry_in_window,,
2017-06-05,no_weekly_expiry_in_window,,
2017-06-06,no_weekly_expiry_in_window,,
2017-06-07,no_weekly_expiry_in_window,,
2017-06-08,no_weekly_expiry_in_window,,
2017-06-12,no_weekly_expiry_in_window,,
2017-06-13,no_weekly_expiry_in_window,,
2017-06-14,no_weekly_expiry_in_window,,
2017-06-15,no_weekly_expiry_in_window,,
2017-06-19,liquidity_below_min_entry_contracts,2017-06-29,7189.0
2017-06-21,liquidity_below_min_entry_contracts,2017-06-29,43815.0
2017-06-22,uptrend_gate_false,,
2017-06-27,uptrend_gate_false,,
2017-06-28,uptrend_gate_false,,
2017-06-29,uptrend_gate_false,,
2017-07-03,uptrend_gate_false,,
2017-07-04,no_weekly_expiry_in_window,,
2017-07-05,no_weekly_expiry_in_window,,
2017-07-06,no_weekly_expiry_in_window,,
2017-07-10,no_weekly_expiry_in_window,,
2017-07-11,no_weekly_expiry_in_window,,
2017-07-12,no_weekly_expiry_in_window,,
2017-07-13,no_weekly_expiry_in_window,,
2017-07-19,liquidity_below_min_entry_contracts,2017-07-27,5302.0
2017-07-24,liquidity_below_min_entry_contracts,2017-07-27,15074.0
2017-07-25,no_weekly_expiry_in_window,,
2017-07-26,no_weekly_expiry_in_window,,
2017-07-27,no_weekly_expiry_in_window,,
2017-07-31,no_weekly_expiry_in_window,,
2017-08-01,no_weekly_expiry_in_window,,
2017-08-02,no_weekly_expiry_in_window,,
2017-08-03,no_weekly_expiry_in_window,,
2017-08-07,no_weekly_expiry_in_window,,
2017-08-08,uptrend_gate_false,,
2017-08-09,uptrend_gate_false,,
2017-08-10,uptrend_gate_false,,
2017-08-16,uptrend_gate_false,,
2017-08-17,uptrend_gate_false,,
2017-08-21,uptrend_gate_false,,
2017-08-22,uptrend_gate_false,,
2017-08-23,uptrend_gate_false,,
2017-08-28,uptrend_gate_false,,
2017-08-29,uptrend_gate_false,,
2017-08-30,uptrend_gate_false,,
2017-08-31,uptrend_gate_false,,
2017-09-04,uptrend_gate_false,,
2017-09-05,uptrend_gate_false,,
2017-09-06,uptrend_gate_false,,
2017-09-07,no_weekly_expiry_in_window,,
2017-09-11,no_weekly_expiry_in_window,,
2017-09-12,no_weekly_expiry_in_window,,
2017-09-13,no_weekly_expiry_in_window,,
2017-09-14,no_weekly_expiry_in_window,,
2017-09-19,liquidity_below_min_entry_contracts,2017-09-28,32919.0
2017-09-20,liquidity_below_min_entry_contracts,2017-09-28,28798.0
2017-09-21,uptrend_gate_false,,
2017-09-25,uptrend_gate_false,,
2017-09-26,uptrend_gate_false,,
2017-09-27,uptrend_gate_false,,
2017-09-28,uptrend_gate_false,,
2017-10-03,uptrend_gate_false,,
2017-10-04,uptrend_gate_false,,
2017-10-05,no_weekly_expiry_in_window,,
2017-10-09,no_weekly_expiry_in_window,,
2017-10-10,uptrend_gate_false,,
2017-10-11,no_weekly_expiry_in_window,,
2017-10-12,no_weekly_expiry_in_window,,
2017-10-24,no_weekly_expiry_in_window,,
2017-10-25,no_weekly_expiry_in_window,,
2017-10-26,no_weekly_expiry_in_window,,
2017-10-30,no_weekly_expiry_in_window,,
2017-10-31,no_weekly_expiry_in_window,,
2017-11-01,no_weekly_expiry_in_window,,
2017-11-02,no_weekly_expiry_in_window,,
2017-11-06,no_weekly_expiry_in_window,,
2017-11-07,no_weekly_expiry_in_window,,
2017-11-08,no_weekly_expiry_in_window,,
2017-11-09,no_weekly_expiry_in_window,,
2017-11-13,uptrend_gate_false,,
2017-11-14,uptrend_gate_false,,
2017-11-15,uptrend_gate_false,,
2017-11-16,uptrend_gate_false,,
2017-11-23,liquidity_below_min_entry_contracts,2017-11-30,21462.0
2017-11-27,liquidity_below_min_entry_contracts,2017-11-30,22003.0
2017-11-28,uptrend_gate_false,,
2017-11-29,uptrend_gate_false,,
2017-11-30,uptrend_gate_false,,
2017-12-04,uptrend_gate_false,,
2017-12-05,uptrend_gate_false,,
2017-12-06,uptrend_gate_false,,
2017-12-07,uptrend_gate_false,,
2017-12-11,uptrend_gate_false,,
2017-12-12,uptrend_gate_false,,
2017-12-13,uptrend_gate_false,,
2017-12-14,no_weekly_expiry_in_window,,
2017-12-21,liquidity_below_min_entry_contracts,2017-12-28,22442.0
2017-12-26,no_weekly_expiry_in_window,,
2017-12-27,no_weekly_expiry_in_window,,
2017-12-28,no_weekly_expiry_in_window,,
2018-01-01,no_weekly_expiry_in_window,,
2018-01-02,no_weekly_expiry_in_window,,
2018-01-03,no_weekly_expiry_in_window,,
2018-01-04,no_weekly_expiry_in_window,,
2018-01-08,no_weekly_expiry_in_window,,
2018-01-09,no_weekly_expiry_in_window,,
2018-01-10,no_weekly_expiry_in_window,,
2018-01-11,no_weekly_expiry_in_window,,
2018-01-15,missing_spot_expiry,2018-01-25,
2018-01-16,missing_spot_expiry,2018-01-25,
2018-01-17,missing_spot_expiry,2018-01-25,
2018-01-18,missing_spot_expiry,2018-01-25,
2018-01-22,missing_spot_expiry,2018-01-25,
2018-01-23,no_weekly_expiry_in_window,,
2018-01-24,no_weekly_expiry_in_window,,
2018-01-29,no_weekly_expiry_in_window,,
2018-01-30,no_weekly_expiry_in_window,,
2018-01-31,no_weekly_expiry_in_window,,
2018-02-01,uptrend_gate_false,,
2018-02-05,uptrend_gate_false,,
2018-02-06,uptrend_gate_false,,
2018-02-07,uptrend_gate_false,,
2018-02-08,uptrend_gate_false,,
2018-02-14,uptrend_gate_false,,
2018-02-15,uptrend_gate_false,,
2018-02-19,uptrend_gate_false,,
2018-02-20,uptrend_gate_false,,
2018-02-21,uptrend_gate_false,,
2018-02-22,uptrend_gate_false,,
2018-02-26,uptrend_gate_false,,
2018-02-27,uptrend_gate_false,,
2018-02-28,uptrend_gate_false,,
2018-03-05,uptrend_gate_false,,
2018-03-06,uptrend_gate_false,,
2018-03-07,uptrend_gate_false,,
2018-03-08,uptrend_gate_false,,
2018-03-12,uptrend_gate_false,,
2018-03-13,uptrend_gate_false,,
2018-03-14,uptrend_gate_false,,
2018-03-15,uptrend_gate_false,,
2018-03-19,uptrend_gate_false,,
2018-03-20,uptrend_gate_false,,
2018-03-21,uptrend_gate_false,,
2018-03-22,uptrend_gate_false,,
2018-03-26,uptrend_gate_false,,
2018-03-27,uptrend_gate_false,,
2018-04-02,uptrend_gate_false,,
2018-04-03,uptrend_gate_false,,
2018-04-04,no_weekly_expiry_in_window,,
2018-04-05,no_weekly_expiry_in_window,,
2018-04-09,no_weekly_expiry_in_window,,
2018-04-10,uptrend_gate_false,,
2018-04-11,no_weekly_expiry_in_window,,
2018-04-12,no_weekly_expiry_in_window,,
2018-04-23,liquidity_below_min_entry_contracts,2018-04-26,47894.0
2018-04-24,no_weekly_expiry_in_window,,
2018-04-25,no_weekly_expiry_in_window,,
2018-04-26,no_weekly_expiry_in_window,,
2018-05-02,no_weekly_expiry_in_window,,
2018-05-03,no_weekly_expiry_in_window,,
2018-05-07,no_weekly_expiry_in_window,,
2018-05-08,no_weekly_expiry_in_window,,
2018-05-09,no_weekly_expiry_in_window,,
2018-05-10,no_weekly_expiry_in_window,,
2018-05-14,no_weekly_expiry_in_window,,
2018-05-15,no_weekly_expiry_in_window,,
2018-05-16,uptrend_gate_false,,
2018-05-17,uptrend_gate_false,,
2018-05-21,uptrend_gate_false,,
2018-05-22,uptrend_gate_false,,
2018-05-23,uptrend_gate_false,,
2018-05-24,uptrend_gate_false,,
2018-05-28,uptrend_gate_false,,
2018-05-29,uptrend_gate_false,,
2018-05-30,no_weekly_expiry_in_window,,
2018-05-31,no_weekly_expiry_in_window,,
2018-06-04,uptrend_gate_false,,
2018-06-05,uptrend_gate_false,,
2018-06-06,no_weekly_expiry_in_window,,
2018-06-07,uptrend_gate_false,,
2018-06-11,no_weekly_expiry_in_window,,
2018-06-12,no_weekly_expiry_in_window,,
2018-06-13,no_weekly_expiry_in_window,,
2018-06-14,no_weekly_expiry_in_window,,
2018-06-18,liquidity_below_min_entry_contracts,2018-06-28,9460.0
2018-06-21,liquidity_below_min_entry_contracts,2018-06-28,30536.0
2018-06-25,liquidity_below_min_entry_contracts,2018-06-28,37598.0
2018-06-26,uptrend_gate_false,,
2018-06-27,uptrend_gate_false,,
2018-06-28,uptrend_gate_false,,
2018-07-02,uptrend_gate_false,,
2018-07-03,no_weekly_expiry_in_window,,
2018-07-04,uptrend_gate_false,,
2018-07-05,no_weekly_expiry_in_window,,
2018-07-09,no_weekly_expiry_in_window,,
2018-07-10,no_weekly_expiry_in_window,,
2018-07-11,no_weekly_expiry_in_window,,
2018-07-12,no_weekly_expiry_in_window,,
2018-07-16,liquidity_below_min_entry_contracts,2018-07-26,23527.0
2018-07-17,liquidity_below_min_entry_contracts,2018-07-26,26626.0
2018-07-19,liquidity_below_min_entry_contracts,2018-07-26,33660.0
2018-07-24,no_weekly_expiry_in_window,,
2018-07-25,no_weekly_expiry_in_window,,
2018-07-26,no_weekly_expiry_in_window,,
2018-07-30,no_weekly_expiry_in_window,,
2018-07-31,no_weekly_expiry_in_window,,
2018-08-01,no_weekly_expiry_in_window,,
2018-08-02,no_weekly_expiry_in_window,,
2018-08-06,no_weekly_expiry_in_window,,
2018-08-07,no_weekly_expiry_in_window,,
2018-08-08,no_weekly_expiry_in_window,,
2018-08-09,no_weekly_expiry_in_window,,
2018-08-13,no_weekly_expiry_in_window,,
2018-08-16,no_weekly_expiry_in_window,,
2018-08-27,liquidity_below_min_entry_contracts,2018-08-30,41939.0
2018-08-28,no_weekly_expiry_in_window,,
2018-08-29,no_weekly_expiry_in_window,,
2018-08-30,no_weekly_expiry_in_window,,
2018-09-03,uptrend_gate_false,,
2018-09-04,uptrend_gate_false,,
2018-09-05,uptrend_gate_false,,
2018-09-06,no_weekly_expiry_in_window,,
2018-09-10,uptrend_gate_false,,
2018-09-11,uptrend_gate_false,,
2018-09-17,uptrend_gate_false,,
2018-09-18,uptrend_gate_false,,
2018-09-24,uptrend_gate_false,,
2018-09-25,uptrend_gate_false,,
2018-09-26,uptrend_gate_false,,
2018-09-27,uptrend_gate_false,,
2018-10-03,uptrend_gate_false,,
2018-10-04,uptrend_gate_false,,
2018-10-08,uptrend_gate_false,,
2018-10-09,uptrend_gate_false,,
2018-10-10,uptrend_gate_false,,
2018-10-11,uptrend_gate_false,,
2018-10-15,uptrend_gate_false,,
2018-10-16,uptrend_gate_false,,
2018-10-22,uptrend_gate_false,,
2018-10-23,uptrend_gate_false,,
2018-10-24,uptrend_gate_false,,
2018-10-25,uptrend_gate_false,,
2018-10-29,uptrend_gate_false,,
2018-10-30,uptrend_gate_false,,
2018-10-31,uptrend_gate_false,,
2018-11-01,uptrend_gate_false,,
2018-11-05,no_weekly_expiry_in_window,,
2018-11-06,no_weekly_expiry_in_window,,
2018-11-12,no_weekly_expiry_in_window,,
2018-11-13,no_weekly_expiry_in_window,,
2018-11-14,no_weekly_expiry_in_window,,
2018-11-15,no_weekly_expiry_in_window,,
2018-11-20,liquidity_below_min_entry_contracts,2018-11-29,47249.0
2018-11-27,no_weekly_expiry_in_window,,
2018-11-28,no_weekly_expiry_in_window,,
2018-11-29,no_weekly_expiry_in_window,,
2018-12-03,no_weekly_expiry_in_window,,
2018-12-04,no_weekly_expiry_in_window,,
2018-12-05,uptrend_gate_false,,
2018-12-06,no_weekly_expiry_in_window,,
2018-12-10,uptrend_gate_false,,
2018-12-11,no_weekly_expiry_in_window,,
2018-12-12,no_weekly_expiry_in_window,,
2018-12-13,no_weekly_expiry_in_window,,
2018-12-17,liquidity_below_min_entry_contracts,2018-12-27,38324.0
2018-12-20,uptrend_gate_false,,
2018-12-26,no_weekly_expiry_in_window,,
2018-12-27,no_weekly_expiry_in_window,,
2018-12-31,no_weekly_expiry_in_window,,
2019-01-01,uptrend_gate_false,,
2019-01-02,uptrend_gate_false,,
2019-01-03,uptrend_gate_false,,
2019-01-07,no_weekly_expiry_in_window,,
2019-01-08,no_weekly_expiry_in_window,,
2019-01-09,no_weekly_expiry_in_window,,
2019-01-10,uptrend_gate_false,,
2019-01-14,uptrend_gate_false,,
2019-01-15,uptrend_gate_false,,
2019-01-16,uptrend_gate_false,,
2019-01-17,uptrend_gate_false,,
2019-01-21,liquidity_below_min_entry_contracts,2019-01-31,34310.0
2019-01-22,uptrend_gate_false,,
2019-01-24,uptrend_gate_false,,
2019-01-28,uptrend_gate_false,,
2019-01-29,uptrend_gate_false,,
2019-01-30,no_weekly_expiry_in_window,,
2019-01-31,no_weekly_expiry_in_window,,
2019-02-04,no_weekly_expiry_in_window,,
2019-02-05,no_weekly_expiry_in_window,,
2019-02-06,no_weekly_expiry_in_window,,
2019-02-07,no_weekly_expiry_in_window,,
2019-02-11,uptrend_gate_false,,
2019-02-12,uptrend_gate_false,,
2019-02-13,uptrend_gate_false,,
2019-02-14,uptrend_gate_false,,
2019-02-18,uptrend_gate_false,,
2019-02-19,uptrend_gate_false,,
2019-02-20,uptrend_gate_false,,
2019-02-21,uptrend_gate_false,,
2019-02-26,uptrend_gate_false,,
2019-02-27,uptrend_gate_false,,
2019-02-28,uptrend_gate_false,,
2019-03-05,liquidity_below_min_entry_contracts,2019-03-14,6859.0
2019-03-06,uptrend_gate_false,,
2019-03-07,uptrend_gate_false,,
2019-03-12,missing_spot_expiry,2019-03-20,
2019-03-13,missing_spot_expiry,2019-03-20,
2019-03-14,missing_spot_expiry,2019-03-20,
2019-03-18,liquidity_below_min_entry_contracts,2019-03-28,22557.0
2019-03-19,liquidity_below_min_entry_contracts,2019-03-28,19808.0
2019-03-26,liquidity_below_min_entry_contracts,2019-04-04,5064.0
2019-03-27,liquidity_below_min_entry_contracts,2019-04-04,11431.0
2019-03-28,liquidity_below_min_entry_contracts,2019-04-04,18228.0
2019-04-01,liquidity_below_min_entry_contracts,2019-04-04,16205.0
2019-04-02,liquidity_below_min_entry_contracts,2019-04-11,1072.0
2019-04-03,liquidity_below_min_entry_contracts,2019-04-11,589.0
2019-04-04,liquidity_below_min_entry_contracts,2019-04-11,16462.0
2019-04-08,liquidity_below_min_entry_contracts,2019-04-11,31012.0
2019-04-09,missing_spot_expiry,2019-04-18,
2019-04-10,missing_spot_expiry,2019-04-18,
2019-04-11,missing_spot_expiry,2019-04-18,
2019-04-15,missing_spot_expiry,2019-04-18,
2019-04-22,uptrend_gate_false,,
2019-04-23,liquidity_below_min_entry_contracts,2019-05-02,105.0
2019-04-24,liquidity_below_min_entry_contracts,2019-05-02,1092.0
2019-04-25,liquidity_below_min_entry_contracts,2019-05-02,16099.0
2019-05-02,liquidity_below_min_entry_contracts,2019-05-09,1536.0
2019-05-06,uptrend_gate_false,,
2019-05-07,uptrend_gate_false,,
2019-05-08,uptrend_gate_false,,
2019-05-09,uptrend_gate_false,,
2019-05-13,uptrend_gate_false,,
2019-05-14,uptrend_gate_false,,
2019-05-15,uptrend_gate_false,,
2019-05-16,uptrend_gate_false,,
2019-05-20,uptrend_gate_false,,
2019-05-21,liquidity_below_min_entry_contracts,2019-05-30,22710.0
2019-05-22,liquidity_below_min_entry_contracts,2019-05-30,31067.0
