policy,test_return,test_drawdown,test_sharpe,test_turnover,test_trades
FLAT,0.0,0.0,-10.0,0.0,0.0
SIGNAL_E1902_BANDED_70,-0.0016108139104049,0.0021584448463189,-3.979233557750272,0.7235889474023819,3.382716049382716
SIGNAL_E1901_BANDED_70,-0.0024586116527481,0.0032197658410294,-2.638645906193658,0.888342293540289,7.790123456790123
SIGNAL_E1902_BANDED_68,-0.0027019985535965,0.0036296435838149,-2.513637123789489,0.779145007363053,7.654320987654321
SIGNAL_E1901_BANDED_68,-0.0040076431898749,0.005085505491064,-0.8091359525032977,1.0801195198079143,13.444444444444445
SIGNAL_E1902_BANDED_66,-0.0049391962415637,0.0062817378028265,-0.8076971190216627,0.9438056522477398,14.271604938271604
SIGNAL_E1901_BANDED_66,-0.0073366364830757,0.0086554844216515,-0.0920476917968344,1.1288352811201745,23.296296296296298
SIGNAL_E1902_BANDED_64,-0.0090984398295705,0.0108239718587938,-0.0878382739220869,0.9025160423094132,24.80246913580247
SIGNAL_E1901_BANDED_64,-0.0116715792440248,0.0135735325738968,-0.1097260931326214,0.9850522327170878,33.617283950617285
SIGNAL_E1903_LONGONLY,-0.0117577268095222,0.0175432125277292,-0.3159703897633297,0.4557144311704691,54.18518518518518
SIGNAL_E1904_LONGONLY,-0.0144689226455032,0.0197747547089164,-0.3350045265890837,0.4355333721407526,61.641975308641975
SIGNAL_E1902_LONGONLY,-0.0155593797526867,0.0205880127725254,-0.3428489821391365,0.4914740875393746,70.29629629629629
SIGNAL_E1901_LONGONLY,-0.017078239126377,0.0217191558035592,-0.3571911235350198,0.513181776562701,71.34567901234568
SIGNAL_E1904_BANDED_70,-0.0186044765670664,0.0209761095061491,-0.0980114306989081,0.9209578735842476,34.67901234567901
SIGNAL_E1904_BANDED_68,-0.0224268021084386,0.0252518942436507,-0.1105747192430225,0.8828353766942253,40.95061728395062
SIGNAL_E1903_BANDED_70,-0.0233191135431915,0.0272121499439107,-0.1050169179445025,0.8400886888232709,42.407407407407405
SIGNAL_E1903_BANDED_68,-0.0249600448014461,0.029042317110794,-0.1074009547877514,0.8164464151770228,45.38271604938272
SIGNAL_E1904_BANDED_66,-0.0255763343151176,0.0283565146020035,-0.1182042484125896,0.831586265398163,47.02469135802469
SIGNAL_E1903_BANDED_66,-0.0257699826920254,0.0299375725523584,-0.1061691207092374,0.7859208706569398,48.54320987654321
SIGNAL_E1903_BANDED_64,-0.0262230252155122,0.030984763291633,-0.1070868795892043,0.7613228993357254,52.58024691358025
SIGNAL_E1904_BANDED_64,-0.0284041443419758,0.0315070659703126,-0.1239770654197089,0.7851051208700379,52.76543209876543
