experiment_id,variant,fold_id,fold_start_date,fold_end_date,fold_trade_dates,rebalance_count,strategy_total_return,strategy_annualized_return,buyhold_total_return,buyhold_annualized_return,excess_vs_buyhold_ann,beats_buyhold_annualized,mean_interval_return,win_rate,mean_gate_pass_rate
E1006,ungated,1,2016-05-26,2017-05-24,247,25,0.20613943099294785,0.20888823051165661,0.19308808611268533,0.1956491350656726,0.013239095445984006,True,0.00842578066747313,0.56,1.0
E1006,breadth_trend_up,1,2016-05-26,2017-05-24,247,25,0.0024990894796126373,0.002529481150064017,0.19308808611268533,0.1956491350656726,-0.1931196539156086,False,0.0004536883691263538,0.32,0.56
E1006,breadth_strong,1,2016-05-26,2017-05-24,247,25,0.030548957491908224,0.030925676896290222,0.19308808611268533,0.1956491350656726,-0.1647234581693824,False,0.0014679228103158387,0.24,0.44
E1006,breadth_expanding,1,2016-05-26,2017-05-24,247,25,-0.09938700559766134,-0.10053132875586523,0.19308808611268533,0.1956491350656726,-0.29618046382153784,False,-0.003970301207258758,0.08,0.24
E1006,ungated,2,2017-05-25,2018-05-21,246,25,-0.1735721388388095,-0.17612999983142863,0.15162246432043153,0.15426902267836362,-0.33039902250979225,False,-0.0061185765661370475,0.32,1.0
E1006,breadth_trend_up,2,2017-05-25,2018-05-21,246,25,-0.03746837396679792,-0.03806587135980566,0.15162246432043153,0.15426902267836362,-0.19233489403816928,False,-0.00015181592363916086,0.28,0.68
E1006,breadth_strong,2,2017-05-25,2018-05-21,246,25,0.05395657892742056,0.054857561189674886,0.15162246432043153,0.15426902267836362,-0.09941146148868873,False,0.0031243283551253874,0.12,0.24
E1006,breadth_expanding,2,2017-05-25,2018-05-21,246,25,-0.027519671427987058,-0.027960831220477766,0.15162246432043153,0.15426902267836362,-0.1822298538988414,False,-0.0008110327994236021,0.2,0.4
E1006,ungated,3,2018-05-22,2019-05-21,246,25,-0.0459205100664396,-0.046649493925406404,0.15015991369293524,0.15277929036961035,-0.19942878429501676,False,-0.0011107339376390194,0.48,1.0
E1006,breadth_trend_up,3,2018-05-22,2019-05-21,246,25,0.12235017859628239,0.12445861368073996,0.15015991369293524,0.15277929036961035,-0.028320676688870394,False,0.0048393785863900885,0.2,0.32
E1006,breadth_strong,3,2018-05-22,2019-05-21,246,25,0.143109237669641,0.14559800953565105,0.15015991369293524,0.15277929036961035,-0.007181280833959303,False,0.005562710552978669,0.16,0.24
E1006,breadth_expanding,3,2018-05-22,2019-05-21,246,25,0.08261522534030186,0.08401348662250574,0.15015991369293524,0.15277929036961035,-0.06876580374710461,False,0.003319662749432083,0.16,0.24
E1006,ungated,4,2019-05-22,2020-05-21,246,25,-0.47582024836375714,-0.48129678022747513,-0.11429878837243979,-0.11604507323457325,-0.3652517069929019,False,-0.023779414627514046,0.36,1.0
E1006,breadth_trend_up,4,2019-05-22,2020-05-21,246,25,-0.22519863474498314,-0.22840643890721846,-0.11429878837243979,-0.11604507323457325,-0.11236136567264521,False,-0.00964527198812377,0.2,0.56
E1006,breadth_strong,4,2019-05-22,2020-05-21,246,25,-0.1661291165095765,-0.16858881357154598,-0.11429878837243979,-0.11604507323457325,-0.05254374033697273,False,-0.007082160744516999,0.04,0.28
E1006,breadth_expanding,4,2019-05-22,2020-05-21,246,25,-0.07859782630319956,-0.07982342922680108,-0.11429878837243979,-0.11604507323457325,0.03622164400777217,True,-0.0030542046012284095,0.08,0.32
E1006,ungated,5,2020-05-22,2021-05-17,246,25,0.5520995639675128,0.5632338847524436,0.6281711461036106,0.6411275319016192,-0.07789364714917557,False,0.01944524245842621,0.68,1.0
E1006,breadth_trend_up,5,2020-05-22,2021-05-17,246,25,0.012175952570187665,0.012375155591711762,0.6281711461036106,0.6411275319016192,-0.6287523763099074,False,0.0012012580523933015,0.24,0.4
E1006,breadth_strong,5,2020-05-22,2021-05-17,246,25,0.04468880774163053,0.04543171895122211,0.6281711461036106,0.6411275319016192,-0.5956958129503971,False,0.0019531613852941145,0.12,0.24
E1006,breadth_expanding,5,2020-05-22,2021-05-17,246,25,0.04140672517367361,0.04209398258646391,0.6281711461036106,0.6411275319016192,-0.5990335493151553,False,0.002239793572571117,0.16,0.24
E1006,ungated,6,2021-05-18,2022-05-12,246,25,-0.0071871931517324406,-0.007303630277454398,0.050614710590584186,0.05145853797407596,-0.058762168251530356,False,0.0010704316739336588,0.4,1.0
E1006,breadth_trend_up,6,2021-05-18,2022-05-12,246,25,-0.06943821901577585,-0.07052651810847332,0.050614710590584186,0.05145853797407596,-0.12198505608254928,False,-0.002646350348781045,0.08,0.4
E1006,breadth_strong,6,2021-05-18,2022-05-12,246,25,-0.1086699236091142,-0.11033566640241577,0.050614710590584186,0.05145853797407596,-0.16179420437649172,False,-0.004432537064303542,0.04,0.32
E1006,breadth_expanding,6,2021-05-18,2022-05-12,246,25,-0.06943821901577585,-0.07052651810847332,0.050614710590584186,0.05145853797407596,-0.12198505608254928,False,-0.002646350348781045,0.08,0.4
E1006,ungated,7,2022-05-13,2023-05-10,246,25,0.06739825762479912,0.06853089303720572,0.16976313402808468,0.17274938410444074,-0.10421849106723502,False,0.0037111704295163515,0.64,1.0
