experiment_id,fold_id,weighting_mode,top_k,rebalance_every_sessions,rebalance_idx,open_ts,next_open_ts,dispersion_top1_minus_top5,dispersion_reference_median,dispersion_reference_source,dispersion_percentile_vs_ref,size_multiplier,portfolio_return,portfolio_return_sign,turnover,selected_weight_top_liquid14,selected_weight_non_top_liquid,majority_non_top_liquid,long_names,long_weights
E1006,1,score_weighted_dispersion_sized,3,10,1,2023-04-17 10:15:00,2023-05-02 09:15:00,0.0016603570816797002,0.00243421928569005,fold1_warmup_first_10,0.3,0.6820901844958573,0.00788573272162588,1,0.6820901844958573,0.20679237075848644,0.47529781373737084,True,"DRREDDY,AXISBANK,INFY","0.475298,0.206444,0.000348"
E1006,1,score_weighted_dispersion_sized,3,10,11,2023-05-02 09:15:00,2023-05-16 09:15:00,0.0031840364383715998,0.00243421928569005,fold1_warmup_first_10,0.7,1.3080318840169705,0.039612698636891666,1,1.9901220685128278,0.5045736513761003,0.8034582326408702,True,"ULTRACEMCO,KOTAKBANK,M&M","0.803057,0.504574,0.000401"
E1006,1,score_weighted_dispersion_sized,3,10,21,2023-05-16 09:15:00,2023-05-30 09:15:00,0.004159055218768901,0.00243421928569005,fold1_warmup_first_10,1.0,1.5,0.01715090586359434,1,2.808031884016971,1.0054135946470113,0.4945864053529888,False,"TCS,BPCL,BHARTIARTL","1.005139,0.494586,0.000275"
E1006,1,score_weighted_dispersion_sized,3,10,31,2023-05-30 09:15:00,2023-06-13 09:15:00,0.0002480193774197,0.00243421928569005,fold1_warmup_first_10,0.1,0.10188867489372132,0.0011651380910597047,1,1.6018886748937216,0.046912873529679905,0.05497580136404143,True,"DRREDDY,HCLTECH,HINDUNILVR","0.054976,0.046268,0.000645"
E1006,1,score_weighted_dispersion_sized,3,10,41,2023-06-13 09:15:00,2023-06-27 09:15:00,0.0039840583345129,0.00243421928569005,fold1_warmup_first_10,0.9,1.5,0.0035553975585231982,1,1.6018886748937213,0.8912898468118319,0.6087101531881681,False,"ITC,NESTLEIND,CIPLA","0.891290,0.608429,0.000281"
E1006,1,score_weighted_dispersion_sized,3,10,51,2023-06-27 09:15:00,2023-07-12 09:15:00,0.0036177063534003993,0.00243421928569005,fold1_warmup_first_10,0.8,1.4861875323507907,0.09178028439323817,1,2.9861875323507903,0.6314473100140657,0.8547402223367248,True,"M&M,HINDUNILVR,BAJAJ-AUTO","0.854460,0.631447,0.000280"
E1006,1,score_weighted_dispersion_sized,3,10,61,2023-07-12 09:15:00,2023-07-26 09:15:00,0.002888325186373,0.00243421928569005,fold1_warmup_first_10,0.6,1.1865509419601121,0.00577244375253891,1,1.9906563436606406,0.34072359802909374,0.8458273439310183,True,"ULTRACEMCO,HINDUNILVR,M&M","0.845510,0.340724,0.000317"
E1006,1,score_weighted_dispersion_sized,3,10,71,2023-07-26 09:15:00,2023-08-09 09:15:00,0.0019801133850070995,0.00243421928569005,fold1_warmup_first_10,0.5,0.8134490580398878,0.0948459263212828,1,1.9999999999999998,0.0,0.8134490580398878,True,"TECHM,CIPLA,ADANIPORTS","0.472684,0.340483,0.000282"
E1006,1,score_weighted_dispersion_sized,3,10,81,2023-08-09 09:15:00,2023-08-24 09:15:00,0.0019646782072292,0.00243421928569005,fold1_warmup_first_10,0.4,0.8071081429593782,0.021155872311997732,1,1.619992729234259,0.16415907068555613,0.6429490722738221,True,"ADANIPORTS,TCS,SUNPHARMA","0.642308,0.164159,0.000641"
E1006,1,score_weighted_dispersion_sized,3,10,91,2023-08-24 09:15:00,2023-09-07 09:15:00,0.0010944880460224,0.00243421928569005,fold1_warmup_first_10,0.2,0.44962590365482863,0.010316873204502551,1,1.256734046614207,0.000639642863160276,0.44898626079166837,True,"ONGC,BRITANNIA,HINDUNILVR","0.243786,0.205200,0.000640"
E1006,1,score_weighted_dispersion_sized,3,10,101,2023-09-07 09:15:00,2023-09-22 09:15:00,0.0029168724461217004,0.00243421928569005,fold1_warmup_first_10,0.6,1.1982784226832006,-0.007595495172291894,-1,1.6479043263380293,0.9371276153459432,0.26115080733725743,False,"WIPRO,DRREDDY,AXISBANK","0.936421,0.261151,0.000706"
E1006,1,score_weighted_dispersion_sized,3,10,111,2023-09-22 09:15:00,2023-10-09 09:15:00,0.001992489092303,0.00243421928569005,fold1_warmup_first_10,0.5,0.8185331140937746,-0.013823864989075379,-1,1.6968267964221413,0.6585407439163575,0.159992370177417,False,"INFY,DRREDDY,LT","0.657775,0.159992,0.000766"
E1006,1,score_weighted_dispersion_sized,3,10,121,2023-10-09 09:15:00,2023-10-23 09:15:00,0.0014316159750707,0.00243421928569005,fold1_warmup_first_10,0.2,0.5881212031663232,-0.02330986770199922,-1,1.40570020124075,0.5881212031663233,0.0,False,"TCS,AXISBANK,INFY","0.437375,0.150269,0.000477"
E1006,1,score_weighted_dispersion_sized,3,10,131,2023-10-23 09:15:00,2023-11-07 09:15:00,0.000731661361105,0.00243421928569005,fold1_warmup_first_10,0.1,0.30057331539774956,0.016964975164469164,1,0.8886945185640729,0.06046640876141982,0.24010690663632975,True,"BPCL,KOTAKBANK,SBIN","0.240107,0.058884,0.001582"
E1006,1,score_weighted_dispersion_sized,3,10,141,2023-11-07 09:15:00,2023-11-21 09:15:00,0.0017091915700356997,0.00243421928569005,fold1_warmup_first_10,0.3,0.7021518480621108,0.01634165195967727,1,0.5751512077599132,0.0,0.7021518480621108,True,"ADANIPORTS,BPCL,ONGC","0.488059,0.213787,0.000306"
E1006,1,score_weighted_dispersion_sized,3,10,151,2023-11-21 09:15:00,2023-12-06 09:15:00,0.0036553212816760995,0.00243421928569005,fold1_warmup_first_10,0.8,1.5,0.2372949709444829,1,1.7745778923621636,0.0,1.5,True,"BPCL,BRITANNIA,CIPLA","0.818359,0.681213,0.000427"
E1006,1,score_weighted_dispersion_sized,3,10,161,2023-12-06 09:15:00,2023-12-20 09:15:00,0.0026722309724335996,0.00243421928569005,fold1_warmup_first_10,0.5,1.0977774221668277,0.07122092607588452,1,2.5977774221668275,0.8275208638681845,0.2702565582986432,False,"TCS,SUNPHARMA,M&M","0.827521,0.269860,0.000397"
E1006,1,score_weighted_dispersion_sized,3,10,171,2023-12-20 09:15:00,2024-01-04 09:15:00,0.0011974733087113,0.00243421928569005,fold1_warmup_first_10,0.2,0.4919332106810753,0.011406546697829804,1,1.589710632847903,0.24148445807868288,0.2504487526023924,True,"CIPLA,RELIANCE,ITC","0.250449,0.241249,0.000236"
E1006,1,score_weighted_dispersion_sized,3,10,181,2024-01-04 09:15:00,2024-01-18 09:15:00,0.0047670149235855,0.00243421928569005,fold1_warmup_first_10,1.0,1.5,0.07063781099826007,1,1.9919332106810752,0.00027401755852502136,1.499725982441475,True,"BAJAJ-AUTO,ONGC,TCS","1.086136,0.413590,0.000274"
E1006,1,score_weighted_dispersion_sized,3,10,191,2024-01-18 09:15:00,2024-02-02 09:15:00,0.0009139968789313,0.00243421928569005,fold1_warmup_first_10,0.1,0.37547844777353373,0.0209546654079709,1,1.4400388513574118,0.0,0.3754784477735338,True,"ONGC,TECHM,SUNPHARMA","0.217720,0.156064,0.001695"
E1006,1,score_weighted_dispersion_sized,3,10,201,2024-02-02 09:15:00,2024-02-16 09:15:00,0.0011626742486357,0.00243421928569005,fold1_warmup_first_10,0.2,0.47763743203854636,0.09433208194214912,1,0.4176762833959581,0.0004976857506703492,0.47713974628787603,True,"BPCL,ONGC,SBIN","0.240681,0.236459,0.000498"
E1006,1,score_weighted_dispersion_sized,3,10,211,2024-02-16 09:15:00,2024-03-01 09:15:00,0.0033907199003959006,0.00243421928569005,fold1_warmup_first_10,0.7,1.3929393790973532,-0.0279730243518381,-1,1.8705768111358998,0.14820040799112955,1.2447389711062238,True,"BAJAJ-AUTO,ITC,MARUTI","1.243620,0.148200,0.001119"
E1006,1,score_weighted_dispersion_sized,3,10,221,2024-03-01 09:15:00,2024-03-15 09:15:00,0.0034777441889898,0.00243421928569005,fold1_warmup_first_10,0.7,1.4286897690090121,0.015730317633060834,1,2.8216291481063656,1.1650463634949833,0.2636434055140289,False,"LT,ULTRACEMCO,ONGC","1.165046,0.263013,0.000631"
E1006,1,score_weighted_dispersion_sized,3,10,231,2024-03-15 09:15:00,2024-04-02 09:15:00,0.0019990133710053003,0.00243421928569005,fold1_warmup_first_10,0.5,0.8212133486727439,0.0008329268362063139,1,2.1512605473639645,0.8207116888484093,0.0005016598243345742,False,"AXISBANK,LT,BPCL","0.771390,0.049321,0.000502"
E1006,1,score_weighted_dispersion_sized,3,10,241,2024-04-02 09:15:00,2024-04-03 09:15:00,0.0032273484311539,0.00243421928569005,fold1_warmup_first_10,0.7,1.3258248548626608,-0.016731604017497088,-1,2.0483956332176128,1.325388598277291,0.00043625658536966,False,"ICICIBANK,LT,ONGC","1.171633,0.153756,0.000436"
