trade_date,status,url,path,bytes,generated_at_ist
2024-12-18,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241218_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241218_F_0000.csv.zip,1260129,2026-07-03T09:41:20.619966+05:30
2024-12-19,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241219_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241219_F_0000.csv.zip,1280970,2026-07-03T09:41:20.619966+05:30
2024-12-20,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241220_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241220_F_0000.csv.zip,1328972,2026-07-03T09:41:20.619966+05:30
2024-12-23,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241223_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241223_F_0000.csv.zip,1367878,2026-07-03T09:41:20.619966+05:30
2024-12-24,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241224_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241224_F_0000.csv.zip,1376736,2026-07-03T09:41:20.619966+05:30
2024-12-25,missing_http_404,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241225_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241225_F_0000.csv.zip,0,2026-07-03T09:41:20.619966+05:30
2024-12-26,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241226_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241226_F_0000.csv.zip,1340277,2026-07-03T09:41:20.619966+05:30
2024-12-27,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241227_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241227_F_0000.csv.zip,1143060,2026-07-03T09:41:20.619966+05:30
2024-12-30,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241230_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241230_F_0000.csv.zip,1069032,2026-07-03T09:41:20.619966+05:30
2024-12-31,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20241231_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\12\BhavCopy_NSE_FO_0_0_0_20241231_F_0000.csv.zip,1096121,2026-07-03T09:41:20.619966+05:30
