fold_id,rebalance_ts,next_rebalance_ts,ticker,short_notional_weight_proxy,has_historical_futstk_coverage
1,2016-07-08 09:15:00,2016-08-22 09:15:00,ICICIBANK,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,BHARTIARTL,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,ONGC,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,LT,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,HINDUNILVR,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,SBIN,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,BPCL,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,SUNPHARMA,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,TECHM,0.02,True
1,2016-07-08 09:15:00,2016-08-22 09:15:00,CIPLA,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,HINDUNILVR,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,ITC,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,BAJAJ-AUTO,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,NESTLEIND,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,ADANIPORTS,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,ICICIBANK,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,ULTRACEMCO,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,BHARTIARTL,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,ONGC,0.02,True
1,2016-08-22 09:15:00,2016-10-05 09:15:00,M&M,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,SBIN,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,KOTAKBANK,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,BHARTIARTL,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,HINDUNILVR,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,BAJAJ-AUTO,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,HDFCBANK,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,INFY,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,ICICIBANK,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,M&M,0.02,True
1,2016-11-21 09:15:00,2017-01-02 09:15:00,ONGC,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,BRITANNIA,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,NESTLEIND,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,ICICIBANK,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,DRREDDY,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,CIPLA,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,BAJAJ-AUTO,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,RELIANCE,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,WIPRO,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,INFY,0.02,True
2,2017-07-07 09:15:00,2017-08-21 09:15:00,HCLTECH,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,ULTRACEMCO,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,INFY,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,DRREDDY,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,SBIN,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,SUNPHARMA,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,RELIANCE,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,HDFCBANK,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,CIPLA,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,BPCL,0.02,True
2,2018-03-28 09:15:00,2018-05-14 09:15:00,TCS,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,BRITANNIA,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,NESTLEIND,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,ITC,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,AXISBANK,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,M&M,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,KOTAKBANK,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,ULTRACEMCO,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,ADANIPORTS,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,HCLTECH,0.02,True
3,2019-02-11 09:15:00,2019-03-27 09:15:00,RELIANCE,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,TCS,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,WIPRO,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,AXISBANK,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,HCLTECH,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,SUNPHARMA,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,BAJAJ-AUTO,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,HDFCBANK,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,SBIN,0.02,True
3,2019-05-14 09:15:00,2019-05-21 09:15:00,BPCL,0.02,True
