trade_date,next_trade_date,risk_off,equity_60d_drawdown,active_weights,benchmark_return,baseline_static_return,defensive_static_return,defensive_tilt_return
2016-08-02,2016-08-17,False,-0.0017026106696934606,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.002842524161455362,-0.004165910634198715,-0.004244178747394349,-0.004165910634198715
2016-08-17,2016-08-31,False,-0.010716300056401562,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.021664766248574496,0.017883175388216172,0.007987040417784624,0.017883175388216172
2016-08-31,2016-09-16,False,0.0,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.0011160714285713969,-0.002004464285714257,-0.0015580357142856984,-0.002004464285714257
2016-09-16,2016-09-30,False,-0.019178082191780854,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.018435754189944142,-0.01732527485635899,-0.009417165351199842,-0.01732527485635899
2016-09-30,2016-10-18,False,-0.037260273972602787,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.003984063745019917,0.0013462193174205838,-0.002726282286782066,0.0013462193174205838
2016-10-18,2016-11-02,False,-0.033424657534246505,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.010770975056689336,-0.010511889342753565,-0.005839522903544158,-0.010511889342753565
2016-11-02,2016-11-17,False,-0.043835616438356206,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.04871060171919772,-0.04592453250568663,-0.028610273734824894,-0.04592453250568663
2016-11-17,2016-12-01,False,-0.09041095890410955,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.006024096385542244,0.0027581007950471647,-0.0029787096630514423,0.0027581007950471647
2016-12-01,2016-12-15,False,-0.08493150684931505,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.0029940119760478723,-0.0053203497841792175,-0.007374223005232332,-0.0053203497841792175
2016-12-15,2016-12-29,False,-0.07858328721638064,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.007807807807807876,-0.007730084334280007,-0.004013075825662692,-0.007730084334280007
2016-12-29,2017-01-12,False,-0.0750279955207167,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.03692493946731257,0.03429531388993298,0.023651074841711285,0.03429531388993298
2017-01-12,2017-01-27,False,-0.03492957746478864,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.02743724460011676,0.023126982404256032,0.011019009092511217,0.023126982404256032
2017-01-27,2017-02-10,False,-0.00170164492342606,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.018181818181818077,0.016032075299934036,0.010096225899802337,0.016032075299934036
2017-02-10,2017-02-27,False,-0.00055772448410496,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.012834821428571397,0.01149295887140164,0.008242269471347843,0.01149295887140164
2017-02-27,2017-03-14,False,-0.00438837081733412,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.02203856749311295,0.016801439024762832,0.003919468589440013,0.016801439024762832
2017-03-14,2017-03-28,False,0.0,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.0026954177897573484,0.002196088920222856,0.0026583476232024013,0.002196088920222856
2017-03-28,2017-04-12,False,-0.0048154093097914075,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.011290322580645107,0.009635673624288379,0.006068311195445898,0.009635673624288379
2017-04-12,2017-04-27,False,-0.005288207297726055,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.013822434875066403,0.010970766580529735,0.004502943016443118,0.010970766580529735
2017-04-27,2017-05-12,False,-0.0005241090146751448,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.0062926061877295325,0.0031453190034916815,-0.0024077766025299256,0.0031453190034916815
2017-05-12,2017-05-26,False,-0.0015608740894900164,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.020323084940073066,0.018757986817885725,0.01356317358549643,0.018757986817885725
2017-05-26,2017-06-09,False,0.0,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.010725229826353377,0.008748263882938624,0.004649286030838441,0.008748263882938624
2017-06-09,2017-06-23,False,0.0,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,-0.009600808489135915,-0.010115110941930107,-0.007223554149691302,-0.010115110941930107
2017-06-23,2017-07-10,False,-0.009600808489135915,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.020408163265306145,0.015451638126514997,0.003456955195871465,0.015451638126514997
2017-07-10,2017-07-24,False,0.0,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.02400000000000002,0.02199442231075699,0.015183266932270921,0.02199442231075699
2017-07-24,2017-08-07,False,0.0,NIFTYBEES:0.9|GOLDBEES:0.05|LIQUIDBEES:0.05|CASH:0.0,0.0107421875,0.008183472625968993,0.002917605377906974,0.008183472625968993
