strategy,entry_date,expiry_date,days_to_expiry,spot_entry,spot_expiry,spot_sma20,spot_ret_20d,short_put_strike,long_put_strike,spread_width_points,short_put_close,long_put_close,net_credit,expiry_payoff,total_cost_points,net_pnl_points,margin_estimate_points,return_on_margin,total_entry_contracts,short_open_int,long_open_int
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2016-07-25,2016-07-28,3,8590.65,8638.5,8440.5625,0.061268484316898686,8300.0,8100.0,200.0,2.35,0.95,0.9050000000000002,0.0,2.0,-1.0949999999999998,199.095,-0.0054998869886235206,152832.0,3256725.0,2736600.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2016-08-17,2016-08-25,8,8673.25,8572.55,8620.289999999999,0.012538160252631103,8400.0,8200.0,200.0,13.05,3.15,7.4700000000000015,0.0,2.0,5.4700000000000015,192.53,0.028411156702851513,179863.0,4640325.0,2640075.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2016-08-18,2016-08-25,7,8666.9,8572.55,8628.130000000001,0.018425165391710907,8400.0,8200.0,200.0,6.25,2.0,3.0125,0.0,2.0,1.0125000000000002,196.9875,0.005139920045688179,124134.0,4321800.0,2556975.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2016-09-19,2016-09-29,10,8775.9,8611.15,8751.4075,0.012576584476571728,8500.0,8300.0,200.0,14.5,5.75,5.7124999999999995,0.0,2.0,3.7124999999999995,194.2875,0.01910828025477707,91630.0,6361425.0,2781675.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2016-09-20,2016-09-29,9,8777.15,8611.15,8758.8075,0.017151167843878046,8500.0,8300.0,200.0,14.05,5.0,6.192500000000001,0.0,2.0,4.192500000000001,193.8075,0.02163228977206765,108536.0,6438150.0,2739750.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2016-09-21,2016-09-29,8,8867.45,8611.15,8770.55,0.02720501355327487,8600.0,8400.0,200.0,23.25,7.0,11.7125,0.0,2.0,9.7125,188.2875,0.051583349930292774,214318.0,6200550.0,3272700.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2017-03-20,2017-03-30,10,9121.5,9173.75,8980.1475,0.033984379428001255,8800.0,8600.0,200.0,4.2,1.6,1.73,0.0,2.0,-0.27,198.27,-0.0013617793917385383,97163.0,5623350.0,2246925.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2017-03-22,2017-03-30,8,9086.3,9173.75,8996.6325,0.02003289233653449,8800.0,8600.0,200.0,7.45,1.95,4.09,0.0,2.0,2.09,195.91,0.010668163952835485,153122.0,5393475.0,2133900.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2017-03-23,2017-03-30,7,9108.0,9173.75,9005.6875,0.02028699772597431,8800.0,8600.0,200.0,2.85,1.1,1.1575,0.0,2.0,-0.8425,198.8425,-0.004237021763456002,92845.0,5544525.0,2160825.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2017-03-27,2017-03-30,3,9100.8,9173.75,9021.1775,0.02294109051670823,8800.0,8600.0,200.0,2.4,0.9,1.0050000000000001,0.0,2.0,-0.9949999999999999,198.995,-0.005000125631297268,123807.0,5255025.0,1905000.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2017-04-24,2017-04-27,3,9306.6,9304.05,9175.077500000001,0.021805006587615416,9000.0,8800.0,200.0,5.0,1.3,2.755,0.0,2.0,0.7549999999999999,197.245,0.0038277269385789243,338757.0,5446800.0,2922225.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2017-05-15,2017-05-25,10,9512.25,9595.1,9303.8575,0.040807282833477565,9200.0,9000.0,200.0,9.9,3.75,4.102500000000001,0.0,2.0,2.102500000000001,195.8975,0.010732653556068866,127376.0,4637025.0,4704075.0
TB16_T01_real_chain_nifty_bull_put_3pct_2pct_deeper,2017-05-16,2017-05-25,9,9525.75,9595.1,9324.8875,0.04619363766659523,9200.0,9000.0,200.0,5.65,2.95,1.4100000000000001,0.0,2.0,-0.5899999999999999,198.59,-0.0029709451634019834,160824.0,4770675.0,4680675.0
