experiment_id,feature,winner_mean,loser_mean,winner_minus_loser,winner_count,loser_count
E1006,MktRet_1,0.0,0.0,0.0,131,119
E1006,MktRet_3,0.0,0.0,0.0,131,119
E1006,MktRet_6,0.0,0.0,0.0,131,119
E1006,MktVolRank,0.5,0.5,0.0,131,119
E1006,MarketStateTrendScore,0.001155025551511818,0.00037096980689947087,0.0007840557446123471,131,119
E1006,MarketStateVolPressure,0.0,0.0,0.0,131,119
E1006,BreadthAdvFrac_1,0.5617755159739892,0.5250544662309368,0.03672104974305246,131,119
E1006,BreadthRelAdvFrac_3,0.5589482612383376,0.515406162464986,0.04354209877335158,131,119
E1006,BreadthParticipation,0.5,0.5,0.0,131,119
E1006,BreadthDispersion_3,0.0113607450389313,0.010568425495798318,0.000792319543132981,131,119
E1006,BreadthTrendPressure,0.12355103194797849,0.05010893246187359,0.0734420994861049,131,119
E1006,BreadthLeaderSpread,0.03703703703703699,0.037037037037037,-6.938893903907228e-18,131,119
E1006,BreadthExpansion_3,0.12948826689284704,0.046685340802987835,0.0828029260898592,131,119
E1006,prediction_spread_top1_top5,0.003447975021855283,0.0035465220340152874,-9.854701216000438e-05,131,119
E1006,prediction_spread_top1_topk,0.0025946531717008707,0.0026253749488811496,-3.072177718027895e-05,131,119
E1006,topk_prediction_mean,0.0037541805137315315,0.0038584133674182948,-0.00010423285368676332,131,119
E1006,nifty_ret5,0.007963464286929879,0.0016928039568338436,0.0062706603300960355,129,118
E1006,nifty_ret10,0.006679292165098605,0.0027317420107344915,0.003947550154364113,128,118
E1006,nifty_ret20,0.01149895257095391,0.007205607340392201,0.00429334523056171,128,117
E1006,nifty_realized_vol20_pct,0.49520919480691566,0.49539577298704274,-0.00018657818012707272,127,116
E1002,MktRet_1,0.0,0.0,0.0,26,24
E1002,MktRet_3,0.0,0.0,0.0,26,24
E1002,MktRet_6,0.0,0.0,0.0,26,24
E1002,MktVolRank,0.5,0.5,0.0,26,24
E1002,MarketStateTrendScore,0.0005219652113192309,0.0007002251391280864,-0.00017825992780885552,26,24
E1002,MarketStateVolPressure,0.0,0.0,0.0,26,24
E1002,BreadthAdvFrac_1,0.5242165242165242,0.5308641975308642,-0.006647673314340019,26,24
E1002,BreadthRelAdvFrac_3,0.49857549857549854,0.5046296296296297,-0.006054131054131107,26,24
E1002,BreadthParticipation,0.5,0.5,0.0,26,24
E1002,BreadthDispersion_3,0.007313343326923077,0.007942246733333333,-0.0006289034064102562,26,24
E1002,BreadthTrendPressure,0.04843304843304841,0.06172839506172834,-0.013295346628679934,26,24
E1002,BreadthLeaderSpread,0.03703703703703699,0.03703703703703699,0.0,26,24
E1002,BreadthExpansion_3,0.09971509971509972,-0.012345679012345638,0.11206077872744535,26,24
E1002,prediction_spread_top1_top5,0.0025041655296462848,0.002102573062973417,0.000401592466672868,26,24
E1002,prediction_spread_top1_topk,0.0016545323679141115,0.00156379838991145,9.073397800266145e-05,26,24
E1002,topk_prediction_mean,0.003080158479997888,0.002892783766631336,0.00018737471336655216,26,24
E1002,nifty_ret5,0.007804629486602184,0.00397539429342363,0.003829235193178554,26,24
E1002,nifty_ret10,0.008665235109249287,0.007940459175279474,0.0007247759339698134,26,24
E1002,nifty_ret20,0.013453821062462696,0.014656645614536423,-0.001202824552073727,26,24
E1002,nifty_realized_vol20_pct,0.4439865689865691,0.47371031746031744,-0.029723748473748368,26,24
E1003,MktRet_1,0.0,0.0,0.0,24,12
E1003,MktRet_3,0.0,0.0,0.0,24,12
E1003,MktRet_6,0.0,0.0,0.0,24,12
E1003,MktVolRank,0.5,0.5,0.0,24,12
E1003,MarketStateTrendScore,0.0009733770647023149,-0.0004128856135586418,0.0013862626782609566,24,12
E1003,MarketStateVolPressure,0.0,0.0,0.0,24,12
E1003,BreadthAdvFrac_1,0.5324074074074074,0.48456790123456783,0.04783950617283961,24,12
E1003,BreadthRelAdvFrac_3,0.5509259259259259,0.45370370370370366,0.09722222222222227,24,12
E1003,BreadthParticipation,0.5,0.5,0.0,24,12
E1003,BreadthDispersion_3,0.007617287099999999,0.007953560600000001,-0.0003362735000000021,24,12
E1003,BreadthTrendPressure,0.06481481481481476,-0.030864197530864196,0.09567901234567895,24,12
E1003,BreadthLeaderSpread,0.03703703703703699,0.037037037037036986,6.938893903907228e-18,24,12
E1003,BreadthExpansion_3,0.07407407407407406,-0.03086419753086414,0.1049382716049382,24,12
E1003,prediction_spread_top1_top5,0.002523501314635829,0.0027225476317858754,-0.00019904631715004627,24,12
E1003,prediction_spread_top1_topk,0.0018447040603091793,0.001610550148829475,0.00023415391147970418,24,12
E1003,topk_prediction_mean,0.002776246186866711,0.003377545046432787,-0.000601298859566076,24,12
E1003,nifty_ret5,0.004279483467464984,-0.0014907572537194529,0.005770240721184437,24,12
E1003,nifty_ret10,0.010262515063426528,0.00970152811530641,0.0005609869481201183,24,12
E1003,nifty_ret20,0.01325218923373996,0.010120019482634496,0.003132169751105465,24,12
E1003,nifty_realized_vol20_pct,0.43402777777777773,0.5208333333333334,-0.08680555555555564,24,12
