collection_date_ist,observed_timestamp_ist,underlying,spot_source,spot_last_price,spot_timestamp,expiry_date,days_to_expiry,band_low,band_high,tradingsymbol,instrument_token,strike,option_type,moneyness_pct,quote_source,quote_timestamp,quote_age_seconds,bid,ask,mid,last_price,volume,oi,spread_points,spread_pct,all_quote_available,quote_freshness_pass,spread_quality_pass,broker_order_allowed,order_route,selection_reason
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680422300PE,16748546,22300.0,PE,-0.08091265785222068,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,1.5,1.55,1.525,1.55,381485,497445,0.050000000000000044,0.03278688524590167,True,True,True,False,blocked_no_broker_call,selected_profile_leg_supplement
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423100CE,16773378,23100.0,CE,-0.047940914636156795,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,1143.7,1148.4,1146.0500000000002,1144.0,4875,13585,4.7000000000000455,0.004101042711923603,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423100PE,16773634,23100.0,PE,-0.047940914636156795,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,3.15,3.2,3.175,3.2,2747550,1608685,0.050000000000000266,0.01574803149606308,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423150CE,16773890,23150.0,CE,-0.04588018068515287,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,1090.2,1098.3,1094.25,1082.35,65,845,8.099999999999909,0.007402330363262426,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423150PE,16774146,23150.0,PE,-0.04588018068515287,kite_quote_api,2026-07-30 09:46:26,0.740277,3.3,3.35,3.325,3.3,1370980,1020890,0.050000000000000266,0.015037593984962485,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423200CE,16774402,23200.0,CE,-0.04381944673414884,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,1043.3,1050.7,1047.0,1052.1,195,21320,7.400000000000091,0.0070678127984719116,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423200PE,16774658,23200.0,PE,-0.04381944673414884,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,3.7,3.75,3.725,3.75,8283730,6582810,0.04999999999999982,0.01342281879194626,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423250CE,16774914,23250.0,CE,-0.04175871278314491,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,992.5,1019.85,1006.175,980.15,0,3770,27.350000000000023,0.027182150222376848,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423250PE,16775170,23250.0,PE,-0.04175871278314491,kite_quote_api,2026-07-30 09:46:26,0.740277,3.9,3.95,3.925,3.95,2024295,1250600,0.050000000000000266,0.012738853503184782,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423300CE,16775426,23300.0,CE,-0.03969797883214088,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,945.4,949.7,947.55,932.0,780,31720,4.300000000000068,0.004538019101894431,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423300PE,16775682,23300.0,PE,-0.03969797883214088,kite_quote_api,2026-07-30 09:46:26,0.740277,4.2,4.25,4.225,4.25,4513145,3348280,0.04999999999999982,0.011834319526627177,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423350CE,16775938,23350.0,CE,-0.037637244881136844,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,894.8,900.15,897.4749999999999,903.0,65,20475,5.350000000000023,0.00596116883478651,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423350PE,16776194,23350.0,PE,-0.037637244881136844,kite_quote_api,2026-07-30 09:46:26,0.740277,4.6,4.65,4.625,4.6,2745405,1433315,0.05000000000000071,0.010810810810810964,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423400CE,16776450,23400.0,CE,-0.03557651093013292,kite_quote_api,2026-07-30 09:46:26,0.740277,846.7,850.9,848.8,838.0,1560,84370,4.199999999999932,0.004948162111215754,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423400PE,16776706,23400.0,PE,-0.03557651093013292,kite_quote_api,2026-07-30 09:46:26,0.740277,4.95,5.0,4.975,4.95,6517160,5063435,0.04999999999999982,0.010050251256281372,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-30,2026-07-30T09:46:26.740277+05:30,NIFTY,NSE:NIFTY 50,24263.2,2026-07-30 09:46:25,2026-08-04,5,23050.04,25476.36,NIFTY2680423450CE,16790530,23450.0,CE,-0.033515776979128886,kite_quote_api,2026-07-30 09:46:25,1.7402769999999999,797.05,800.8,798.925,809.35,1690,40820,3.75,0.004693807303564165,True,True,True,False,blocked_no_broker_call,spot_band
