experiment_id,fold_id,fold_start_date,fold_end_date,fold_trade_dates,fold_rows,strategy_variant,rebalance_rule,portfolio_mean_return,approx_annualized_return,buyhold_universe_mode,buyhold_name_count,buyhold_total_return,buyhold_annualized_return,excess_vs_buyhold_annualized,beats_buyhold_annualized,benchmark_policy
E1006,1,2020-07-01,2021-06-17,242,45522,score_weighted_top3_ungated,every_10_session_open,0.02131838439499713,0.694449925365082,equal_weight_full_universe,27,0.5422105294869312,0.5644557694532457,0.12999415591183627,True,SIGNAL_E211_BANDED_68
E1006,1,2020-07-01,2021-06-17,242,45522,score_weighted_top3_dispersion_sized,every_10_session_open,0.02131838439499713,0.694449925365082,equal_weight_full_universe,27,0.5422105294869312,0.5644557694532457,0.12999415591183627,True,SIGNAL_E211_BANDED_68
E1006,2,2021-06-18,2022-06-08,242,45576,score_weighted_top3_ungated,every_10_session_open,-0.0015628658515190689,-0.03834758637750724,equal_weight_full_universe,27,0.0465177098123921,0.048091892959004845,-0.08643947933651208,False,SIGNAL_E211_BANDED_68
E1006,2,2021-06-18,2022-06-08,242,45576,score_weighted_top3_dispersion_sized,every_10_session_open,-0.006671286748546474,-0.15408887769250612,equal_weight_full_universe,27,0.0465177098123921,0.048091892959004845,-0.20218077065151097,False,SIGNAL_E211_BANDED_68
E1006,3,2022-06-09,2023-05-31,242,45576,score_weighted_top3_ungated,every_10_session_open,0.011279219347867192,0.3236619253352191,equal_weight_full_universe,27,0.16801579519174656,0.17402792076177254,0.14963400457344656,True,SIGNAL_E211_BANDED_68
E1006,3,2022-06-09,2023-05-31,242,45576,score_weighted_top3_dispersion_sized,every_10_session_open,0.01286233471718785,0.3764502957052209,equal_weight_full_universe,27,0.16801579519174656,0.17402792076177254,0.2024223749434484,True,SIGNAL_E211_BANDED_68
E1006,4,2023-06-01,2024-05-21,241,45171,score_weighted_top3_ungated,every_10_session_open,0.012700889999787015,0.3709758079260621,equal_weight_full_universe,27,0.3320258621181463,0.3463640515162052,0.02461175640985691,True,SIGNAL_E211_BANDED_68
E1006,4,2023-06-01,2024-05-21,241,45171,score_weighted_top3_dispersion_sized,every_10_session_open,0.011982696994230333,0.3468746334788928,equal_weight_full_universe,27,0.3320258621181463,0.3463640515162052,0.0005105819626876063,True,SIGNAL_E211_BANDED_68
E1006,5,2024-05-22,2025-05-12,241,45387,score_weighted_top3_ungated,every_10_session_open,-0.002623073608882308,-0.06355360397012222,equal_weight_full_universe,27,0.08440652492583842,0.08769304291115532,-0.15124664688127754,False,SIGNAL_E211_BANDED_68
E1006,5,2024-05-22,2025-05-12,241,45387,score_weighted_top3_dispersion_sized,every_10_session_open,-0.002146556350355365,-0.05230407994430064,equal_weight_full_universe,27,0.08440652492583842,0.08769304291115532,-0.13999712285545596,False,SIGNAL_E211_BANDED_68
E1006,6,2025-05-13,2026-04-30,241,45306,score_weighted_top3_ungated,every_10_session_open,-0.0022160822239135325,-0.05395347861312494,equal_weight_full_universe,27,-0.015678011215919635,-0.016258711949918125,-0.03769476666320681,False,SIGNAL_E211_BANDED_68
E1006,6,2025-05-13,2026-04-30,241,45306,score_weighted_top3_dispersion_sized,every_10_session_open,-0.0029634129828518246,-0.07150967161352983,equal_weight_full_universe,27,-0.015678011215919635,-0.016258711949918125,-0.05525095966361171,False,SIGNAL_E211_BANDED_68
