scenario,allocation,growth_strategy,defensive_strategy,growth_weight,defensive_weight,trade_dates,first_entry,last_expiry,total_weighted_pnl_points,mean_weighted_pnl_points,worst_weighted_trade_points,max_drawdown_points,win_rate,total_return_on_margin,annualized_return_on_margin,positive_years,negative_years,year_count
harsh_stress,equal_50_50,TB11_T07_h30_c3,TB11_T09_low_loss_h30_c3,0.5,0.5,141,2016-08-17,2024-06-27,703.645,4.990390070921985,-43.3025,-81.37000000000002,0.48226950354609927,1.1254917644575544,0.10067612358955924,5,4,9
harsh_stress,growth_40_def_60,TB11_T07_h30_c3,TB11_T09_low_loss_h30_c3,0.4,0.6,141,2016-08-17,2024-06-27,669.364,4.747262411347518,-34.642,-69.077,0.48226950354609927,1.0711272304595012,0.09705393206841006,5,4,9
harsh_stress,growth_25_def_75,TB11_T07_h30_c3,TB11_T09_low_loss_h30_c3,0.25,0.75,141,2016-08-17,2024-06-27,617.9425,4.382570921985816,-21.65125,-50.63750000000001,0.48226950354609927,0.9895804294624215,0.09146190357177031,5,4,9
harsh_stress,defensive_100,TB11_T07_h30_c3,TB11_T09_low_loss_h30_c3,0.0,1.0,51,2017-04-24,2024-05-23,532.24,10.436078431372549,-10.355,-18.77000000000001,0.6274509803921569,0.8536690944672888,0.09108156378187138,5,1,6
moderate_stress,growth_100,TB11_T07_h25_c2,TB11_T09_low_loss_h25_c2,1.0,0.0,141,2016-08-17,2024-06-27,1766.2350000000001,12.52648936170213,-79.23750000000001,-81.72499999999991,0.6950354609929078,2.699643595819812,0.1810861427004835,7,2,9
moderate_stress,growth_80_def_20,TB11_T07_h25_c2,TB11_T09_low_loss_h25_c2,0.8,0.2,141,2016-08-17,2024-06-27,1587.6230000000003,11.259737588652484,-63.390000000000015,-65.38000000000011,0.6950354609929078,2.434611756912239,0.16996969462959877,7,2,9
moderate_stress,growth_60_def_40,TB11_T07_h25_c2,TB11_T09_low_loss_h25_c2,0.6,0.4,141,2016-08-17,2024-06-27,1409.011,9.992985815602836,-47.542500000000004,-49.03500000000008,0.6950354609929078,2.1695799180046667,0.15807764407685765,7,2,9
moderate_stress,equal_50_50,TB11_T07_h25_c2,TB11_T09_low_loss_h25_c2,0.5,0.5,141,2016-08-17,2024-06-27,1319.705,9.359609929078013,-39.618750000000006,-40.86250000000018,0.6950354609929078,2.037063998550881,0.15180251533102518,7,2,9
moderate_stress,growth_40_def_60,TB11_T07_h25_c2,TB11_T09_low_loss_h25_c2,0.4,0.6,141,2016-08-17,2024-06-27,1230.3990000000003,8.726234042553195,-31.695000000000007,-32.68999999999983,0.6950354609929078,1.904548079097094,0.14528369596882862,7,2,9
moderate_stress,growth_25_def_75,TB11_T07_h25_c2,TB11_T09_low_loss_h25_c2,0.25,0.75,141,2016-08-17,2024-06-27,1096.44,7.776170212765958,-19.809375000000003,-20.43125000000009,0.6950354609929078,1.7057741999164147,0.1350012477237279,7,2,9
moderate_stress,defensive_100,TB11_T07_h25_c2,TB11_T09_low_loss_h25_c2,0.0,1.0,51,2017-04-24,2024-05-23,873.1750000000001,17.12107843137255,-5.9875,-5.987499999999999,0.8627450980392157,1.3744844012819488,0.12991532464027222,5,1,6
