strategy,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,median_pnl_points,worst_trade_points,win_rate,max_drawdown_points,mean_return_on_margin,total_return_on_margin,annualized_return_on_margin,mean_days_to_expiry,mean_total_contracts
TB11_T09_low_loss_h15_c1,51,2017-04-24,2024-05-23,1351.0449999999998,26.491078431372546,15.212500000000002,-1.252499999999999,0.9411764705882353,-1.252499999999999,0.04206554643638441,2.145342868255605,0.1756858035284352,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h20_c1,51,2017-04-24,2024-05-23,1214.1100000000001,23.80607843137255,13.260000000000002,-1.6199999999999997,0.9411764705882353,-1.6199999999999997,0.03732717581447619,1.903685966538286,0.1624856738304492,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h15_c2,51,2017-04-24,2024-05-23,1147.0449999999996,22.491078431372543,11.212500000000002,-5.2524999999999995,0.8823529411764706,-5.2524999999999995,0.036253052592993024,1.8489056822426442,0.15936269414204074,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h25_c1,51,2017-04-24,2024-05-23,1077.175,21.12107843137255,11.674999999999997,-1.9874999999999998,0.9411764705882353,-1.9874999999999998,0.0327062812616668,1.668020344345007,0.14867060505969132,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h20_c2,51,2017-04-24,2024-05-23,1010.11,19.806078431372548,9.260000000000002,-5.619999999999999,0.8627450980392157,-5.62,0.03154349951064223,1.608718475042754,0.14502961858353047,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h15_c3,51,2017-04-24,2024-05-23,943.0450000000001,18.49107843137255,7.212500000000002,-9.2525,0.7647058823529411,-11.892499999999984,0.030440558749601637,1.5524684962296835,0.14150972117335692,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h30_c1,51,2017-04-24,2024-05-23,940.2399999999999,18.436078431372547,10.209999999999997,-2.355,0.9411764705882353,-2.355,0.028195081157930898,1.4379491390544759,0.13413267571468457,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h25_c2,51,2017-04-24,2024-05-23,873.1750000000001,17.12107843137255,7.674999999999997,-5.9875,0.8627450980392157,-5.987499999999999,0.026950674534940204,1.3744844012819504,0.12991532464027244,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h20_c3,51,2017-04-24,2024-05-23,806.11,15.80607843137255,5.260000000000002,-9.62,0.7450980392156863,-14.039999999999992,0.02575982320680828,1.3137509835472223,0.12578783704723584,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h30_c2,51,2017-04-24,2024-05-23,736.2399999999999,14.436078431372547,6.209999999999997,-6.355,0.803921568627451,-6.355,0.022466845426683972,1.1458091167608826,0.11386961180815924,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h25_c3,51,2017-04-24,2024-05-23,669.1750000000001,13.12107843137255,3.674999999999997,-9.9875,0.7254901960784313,-16.18750000000003,0.021195067808213612,1.0809484582188942,0.10905131947738189,5.098039215686274,264618.7450980392
TB11_T09_low_loss_h30_c3,51,2017-04-24,2024-05-23,532.24,10.436078431372549,2.2099999999999973,-10.355,0.6274509803921569,-18.77000000000001,0.016738609695437043,0.8536690944672892,0.0910815637818716,5.098039215686274,264618.7450980392
