symbol,trade_date,expiry_date,strike,premium_close,premium_settle,contracts,open_interest,dte,entry_spot,target_strike,strike_to_entry_spot,premium_to_entry_spot,strike_distance,expiry_spot,underlying_buyhold_return,upside_giveup_points,assignment_delivery_stt_points,option_cost_points,net_premium_points,covered_call_incremental_points,covered_call_incremental_return,covered_call_total_return,called_away,upside_giveup_to_gross_premium
ICICIBANK,2016-05-09,2016-05-26,215.0,13.75,13.75,260.0,156400.0,17,204.82,210.9646,1.0497021775217263,0.06713211600429646,4.03540000000001,219.23,0.07035445757250258,4.22999999999999,0.215,0.006875,13.528125,9.29812500000001,0.045396567717996335,0.11575102529049891,True,0.3076363636363629
ICICIBANK,2016-06-13,2016-06-30,230.0,13.45,13.45,133.0,527000.0,17,221.59,228.23770000000002,1.0379529762173383,0.06069768491357913,1.762299999999982,218.68,-0.01313236156866282,0.0,0.0,0.006725,13.443275,13.443275,0.06066733607112234,0.04753497450245952,False,0.0
ICICIBANK,2016-07-11,2016-07-28,240.0,13.8,13.8,816.0,1332500.0,17,227.14,233.9542,1.0566170643655897,0.0607554812010214,6.045800000000014,247.27,0.08862375627366403,7.27000000000001,0.24,0.006900000000000001,13.5531,6.28309999999999,0.02766179448798094,0.11628555076164497,True,0.5268115942028992
ICICIBANK,2016-08-08,2016-08-25,230.0,17.8,17.8,52.0,362500.0,17,222.95,229.6385,1.0316214397847052,0.07983852881812066,0.3615000000000066,224.5,0.00695223144202739,0.0,0.0,0.0089,17.7911,17.7911,0.0797986095537116,0.08675084099573899,False,0.0
ICICIBANK,2016-09-12,2016-09-29,260.0,13.7,13.7,467.0,4617500.0,17,243.82,251.1346,1.066360429825281,0.05618899187925519,8.865399999999994,227.59,-0.0665654991387088,0.0,0.0,0.00685,13.69315,13.69315,0.05616089738331556,-0.010404601755393234,False,0.0
ICICIBANK,2016-10-10,2016-10-27,240.0,14.0,14.0,9.0,105000.0,17,227.36,234.18080000000003,1.0555946516537649,0.06157635467980295,5.819199999999967,258.45,0.13674349049964807,18.44999999999999,0.24,0.007,13.753,-4.6969999999999885,-0.02065886699507384,0.11608462350457423,True,1.317857142857142
ICICIBANK,2016-11-07,2016-11-24,265.0,19.25,19.25,16.0,87500.0,17,253.36,260.9608,1.0459425323650142,0.07597884433217555,4.039199999999994,235.73,-0.06958478054941597,0.0,0.0,0.009625,19.240375,19.240375,0.07594085491000947,0.006356074360593503,False,0.0
ICICIBANK,2016-12-12,2016-12-29,250.0,18.0,18.0,115.0,210000.0,17,240.77,247.99310000000003,1.038335340781659,0.07476014453627944,2.0068999999999733,228.27,-0.05191676703908299,0.0,0.0,0.009000000000000001,17.991,17.991,0.0747227644640113,0.02280599742492831,False,0.0
ICICIBANK,2017-01-09,2017-01-25,245.0,15.7,15.7,2.0,50000.0,16,235.18,242.23540000000003,1.0417552512968788,0.06675737732800407,2.764599999999973,236.32,0.004847350965218045,0.0,0.0,0.00785,15.69215,15.69215,0.06672399863934007,0.07157134960455812,False,0.0
ICICIBANK,2017-02-06,2017-02-23,275.0,17.85,17.85,126.0,667500.0,17,263.91,271.82730000000004,1.042021901405782,0.06763669432761168,3.1726999999999634,258.64,-0.019968928801485486,0.0,0.0,0.008925,17.841075,17.841075,0.06760287598044787,0.04763394717896238,False,0.0
ICICIBANK,2017-03-14,2017-03-30,270.0,19.1,19.1,585.0,980000.0,16,261.14,268.9742,1.0339281611396187,0.07314084399172859,1.0258000000000038,255.77,-0.020563682315999032,0.0,0.0,0.009550000000000001,19.09045,19.09045,0.07310427356973272,0.052540591253733684,False,0.0
ICICIBANK,2017-04-10,2017-04-27,260.0,18.8,18.8,1.0,107500.0,17,252.41,259.9823,1.0300701240045957,0.07448199358187077,0.017699999999990723,249.23,-0.012598549978210083,0.0,0.0,0.0094,18.7906,18.7906,0.07444475258507983,0.06184620260686975,False,0.0
ICICIBANK,2017-05-08,2017-05-25,285.0,20.7,20.7,99.0,550000.0,17,275.41,283.6723,1.0348208126066591,0.0751606695472205,1.327699999999993,288.82,0.04869104244580802,3.819999999999993,0.28500000000000003,0.01035,20.40465,16.584650000000007,0.060218038560691356,0.10890908100649938,True,0.18454106280193205
ICICIBANK,2017-06-12,2017-06-29,300.0,18.85,18.85,3.0,352500.0,17,287.05,295.66150000000005,1.0451140916216686,0.06566800209022819,4.338499999999954,293.25,0.021599024560181146,0.0,0.0,0.009425000000000001,18.840575,18.840575,0.06563516808918307,0.08723419264936422,False,0.0
ICICIBANK,2017-07-10,2017-07-27,304.55,2.3,2.3,64.0,198000.0,17,291.45,300.1935,1.0449476754160234,0.00789157659975982,4.35650000000004,307.2,0.05404014410705105,2.6499999999999773,0.30455000000000004,0.00115,1.9942999999999997,-0.6556999999999775,-0.0022497855549836253,0.05179035855206742,True,1.1521739130434685
ICICIBANK,2017-08-14,2017-08-31,304.55,2.2,2.2,10.0,266750.0,17,291.8,300.55400000000003,1.0436943111720356,0.0075394105551747775,3.995999999999981,298.05,0.021418779986291936,0.0,0.0,0.0011,2.1989,2.1989,0.00753564084989719,0.028954420836189126,False,0.0
ICICIBANK,2017-09-11,2017-09-28,300.0,2.95,2.95,1750.0,5310250.0,17,290.8,299.524,1.031636863823934,0.010144429160935352,0.4759999999999991,275.95,-0.05106602475928479,0.0,0.0,0.0014750000000000002,2.948525,2.948525,0.010139356946354884,-0.040926667812929904,False,0.0
ICICIBANK,2017-10-09,2017-10-26,280.0,2.95,2.95,1902.0,4295500.0,17,271.75,279.90250000000003,1.030358785648574,0.010855565777368906,0.09749999999996817,299.25,0.10119595216191346,19.25,0.28,0.0014750000000000002,2.668525,-16.581475,-0.06101738730450782,0.04017856485740564,True,6.525423728813559
ICICIBANK,2017-11-13,2017-11-30,325.0,4.6,4.6,783.0,781000.0,17,314.25,323.6775,1.0342084327764518,0.01463802704852824,1.322499999999991,307.55,-0.021320604614160632,0.0,0.0,0.0023,4.5977,4.5977,0.014630708035003976,-0.006689896579156656,False,0.0
ICICIBANK,2017-12-11,2017-12-28,325.0,2.45,2.45,186.0,701250.0,17,311.45,320.7935,1.0435061807673784,0.007866431208861777,4.2065000000000055,315.3,0.012361534756782921,0.0,0.0,0.0012250000000000002,2.4487750000000004,2.4487750000000004,0.007862497993257346,0.02022403275004027,False,0.0
ICICIBANK,2018-01-08,2018-01-25,325.0,3.15,3.15,511.0,1086250.0,17,314.15,323.5745,1.034537641254178,0.010027057138309725,1.4254999999999995,360.8,0.1484959414292537,35.80000000000001,0.325,0.001575,2.823425,-32.97657500000001,-0.10497079420658925,0.043525147222664456,True,11.365079365079369
ICICIBANK,2018-02-05,2018-02-22,340.0,5.95,5.95,1946.0,1298000.0,17,329.7,339.591,1.0312405216863816,0.018046709129511677,0.4089999999999918,318.35,-0.03442523506217765,0.0,0.0,0.002975,5.947025,5.947025,0.01803768577494692,-0.01638754928723073,False,0.0
ICICIBANK,2018-03-12,2018-03-28,310.0,3.85,3.85,1641.0,2928750.0,16,300.65,309.66949999999997,1.031099284882754,0.01280558789289872,0.3305000000000291,278.35,-0.07417262597704954,0.0,0.0,0.001925,3.848075,3.848075,0.012799185098952271,-0.06137344087809728,False,0.0
ICICIBANK,2018-04-09,2018-04-26,290.0,4.75,4.75,4194.0,4292750.0,17,280.85,289.2755,1.032579668862382,0.016912942852056256,0.7244999999999777,278.85,-0.007121239095602583,0.0,0.0,0.002375,4.747625,4.747625,0.01690448638063023,0.009783247285027646,False,0.0
ICICIBANK,2018-05-14,2018-05-31,320.0,4.55,4.55,1272.0,4177250.0,17,310.1,319.403,1.0319251854240568,0.014672686230248306,0.59699999999998,285.8,-0.0783618187681393,0.0,0.0,0.002275,4.547725,4.547725,0.01466534988713318,-0.06369646888100612,False,0.0
ICICIBANK,2018-06-11,2018-06-28,300.0,3.4,3.4,2189.0,6446000.0,17,286.4,294.99199999999996,1.047486033519553,0.01187150837988827,5.008000000000038,271.4,-0.052374301675977675,0.0,0.0,0.0017,3.3983,3.3983,0.011865572625698324,-0.04050872905027935,False,0.0
ICICIBANK,2018-07-09,2018-07-26,280.0,3.95,3.95,4049.0,8503000.0,17,271.2,279.336,1.032448377581121,0.014564896755162243,0.6639999999999873,285.65,0.05328171091445433,5.649999999999977,0.28,0.001975,3.668025,-1.9819749999999772,-0.00730816740412971,0.04597354351032462,True,1.4303797468354371
ICICIBANK,2018-08-13,2018-08-30,340.0,3.8,3.8,2182.0,4235000.0,17,324.9,334.647,1.046475838719606,0.011695906432748539,5.353000000000009,344.35,0.05986457371498943,4.350000000000023,0.34,0.0019,3.4581,-0.8919000000000228,-0.0027451523545707073,0.057119421360418726,True,1.1447368421052693
ICICIBANK,2018-09-10,2018-09-27,350.0,3.3,3.3,1600.0,4270750.0,17,332.9,342.887,1.051366776809853,0.009912886752778613,7.1129999999999995,306.65,-0.07885250826073897,0.0,0.0,0.00165,3.2983499999999997,3.2983499999999997,0.009907930309402223,-0.06894457795133675,False,0.0
ICICIBANK,2018-10-08,2018-10-25,325.0,5.75,5.75,333.0,517000.0,17,310.85,320.17550000000006,1.0455203474344539,0.018497667685378798,4.824499999999944,319.95,0.029274569728164668,0.0,0.0,0.002875,5.747125,5.747125,0.01848841885153611,0.04776298857970078,False,0.0
ICICIBANK,2018-11-12,2018-11-29,365.0,4.85,4.85,654.0,1820500.0,17,352.35,362.92050000000006,1.035901802185327,0.01376472257698311,2.079499999999939,362.2,0.027955158223357257,0.0,0.0,0.002425,4.847575,4.847575,0.01375784021569462,0.04171299843905188,False,0.0
ICICIBANK,2018-12-10,2018-12-27,360.0,4.2,4.2,1920.0,3341250.0,17,346.35,356.74050000000005,1.0394110004330879,0.012126461671719359,3.259499999999946,355.65,0.02685145084452123,0.0,0.0,0.0021000000000000003,4.1979,4.1979,0.012120398440883497,0.03897184928540473,False,0.0
ICICIBANK,2019-01-14,2019-01-31,385.0,4.95,4.95,568.0,1289750.0,17,373.35,384.55050000000006,1.0312039641087452,0.013258336681398152,0.4494999999999436,364.45,-0.023838221507968438,0.0,0.0,0.002475,4.947525000000001,4.947525000000001,0.013251707513057454,-0.010586513994910984,False,0.0
ICICIBANK,2019-02-11,2019-02-28,365.0,3.25,3.25,1091.0,1809500.0,17,350.05,360.55150000000003,1.042708184545065,0.009284387944579345,4.448499999999967,350.15,0.0002856734752176848,0.0,0.0,0.0016250000000000001,3.248375,3.248375,0.009279745750607055,0.00956541922582474,False,0.0
ICICIBANK,2019-03-11,2019-03-28,390.0,3.1,3.1,1880.0,2508000.0,17,375.85,387.12550000000005,1.0376479978714912,0.008247971265132367,2.874499999999955,400.55,0.06571770653186104,10.550000000000011,0.39,0.0015500000000000002,2.70845,-7.841550000000011,-0.020863509378741547,0.044854197153119495,True,3.4032258064516165
ICICIBANK,2019-04-08,2019-04-25,400.0,4.5,4.5,1704.0,8329750.0,17,387.1,398.713,1.0333247222939808,0.011624903125807284,1.2869999999999777,395.4,0.021441487987599928,0.0,0.0,0.0022500000000000003,4.49775,4.49775,0.011619090674244381,0.03306057866184431,False,0.0
