candidate_id,experiment_id,fold_id,top_k,rebalance_rule,fold_trade_dates,rebalance_count,hedge_regime_count,strategy_total_return,strategy_annualized_return,buyhold_total_return,buyhold_annualized_return,excess_vs_buyhold_annualized,beats_buyhold
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,1,10,every_30_session_open,247,9,3,0.2098877039509479,0.21269074683148914,0.19449598268530474,0.19707720068353063,0.015613546147958512,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,2,10,every_30_session_open,246,9,2,0.15740901806655194,0.160163421500491,0.1530818063625,0.15575551743230043,0.004407904068190582,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,3,10,every_30_session_open,246,9,2,0.18452683590105412,0.1877929859114047,0.1517088775841932,0.15435704290603414,0.03343594300537056,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,4,10,every_30_session_open,246,9,3,-0.10531492315717095,-0.10693238095136393,-0.11263091701269487,-0.11435339804670264,0.007421017095338711,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,5,10,every_30_session_open,246,9,2,0.6724815651803246,0.6865267393516061,0.6301832688063241,0.643188664830973,0.043338074520633096,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,6,10,every_30_session_open,246,9,2,0.06590666032881054,0.06701345087798982,0.05206663818163486,0.052935275841824225,0.014078175036165597,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,7,10,every_30_session_open,246,9,2,0.18696773016836032,0.19028045098728152,0.17156338661733686,0.17458360256614847,0.01569684842113306,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,8,10,every_30_session_open,246,9,0,0.35748460123323045,0.3642476145557232,0.34306834945554576,0.3495252380012348,0.014722376554488381,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,9,10,every_30_session_open,246,9,6,0.11002544839471096,0.1119110761563058,0.09475670591763041,0.09636944844352513,0.01554162771278067,True
E1006_core_dynamic_active_top10_r30_relbreadth_q25_hedge,E1006,10,10,every_30_session_open,246,9,3,0.008061543948604477,0.008193161503209812,0.0022916103061673544,0.0023289156189656435,0.005864245884244168,True
