trade_date,nifty_option_rows,traded_rows,unique_expiries,unique_strikes,total_contracts,total_value_lakh,total_open_interest,max_contracts_single_option,max_oi_single_option,min_strike,max_strike
2015-01-01,2108,163,14,120,1642521.0,3427505.1700000004,96307900.0,194183.0,5857275.0,2700.0,11000.0
2015-01-02,2108,183,14,120,5205805.0,10938952.840000002,95501425.0,567607.0,5729375.0,2700.0,11000.0
2015-01-05,2112,181,14,120,4842943.0,10252222.480000002,98415900.0,717922.0,5702975.0,2700.0,11000.0
2015-01-06,2112,192,14,120,9785176.0,20380790.740000002,106466050.0,984237.0,5904325.0,2700.0,11000.0
2015-01-07,2114,200,14,120,7825389.0,16168500.020000001,114248325.0,923768.0,6594375.0,2700.0,11000.0
2015-01-08,2114,189,14,120,5247983.0,10857299.410000002,113600725.0,595694.0,6290300.0,2700.0,11000.0
2015-01-09,2114,196,14,120,7944668.0,16488934.969999999,113644925.0,981033.0,6680925.0,2700.0,11000.0
2015-01-12,2114,195,14,120,5481691.0,11421522.450000001,115867225.0,724575.0,7255925.0,2700.0,11000.0
2015-01-13,2114,194,14,120,6419328.0,13435137.879999999,119357825.0,884572.0,7327875.0,2700.0,11000.0
2015-01-14,2114,207,14,120,7379827.0,15362025.159999998,121684275.0,970581.0,7560600.0,2700.0,11000.0
2015-01-15,2114,209,14,120,12473119.0,26414520.299999997,126778425.0,1421845.0,6579525.0,2700.0,11000.0
2015-01-16,2118,207,14,120,6396420.0,13646930.28,129523550.0,868455.0,6835125.0,2700.0,11000.0
2015-01-19,2118,216,14,120,6082288.0,13003461.379999999,133869550.0,771625.0,6493625.0,2700.0,11000.0
2015-01-20,2122,224,14,120,9469350.0,20386177.82,138696625.0,1105652.0,6252875.0,2700.0,11000.0
2015-01-21,2154,232,14,122,8172414.0,17759637.95,137114375.0,1035446.0,6002450.0,2700.0,11100.0
2015-01-22,2160,231,14,123,7855466.0,17120511.94,142444175.0,911791.0,5659025.0,2700.0,11100.0
2015-01-23,2182,237,14,124,10898577.0,23902475.89,142763950.0,1296522.0,5394200.0,2700.0,11200.0
2015-01-27,2192,253,14,125,10264983.0,22653594.34,145101050.0,1512925.0,5358625.0,2700.0,11200.0
2015-01-28,2218,277,14,126,16449926.0,36640788.94,151676700.0,2389294.0,5237850.0,2700.0,11300.0
2015-01-29,2218,275,14,126,17152558.0,38107526.6,159501075.0,3143648.0,7374675.0,2700.0,11300.0
2015-01-30,2210,209,14,128,4915532.0,11050331.61,89772850.0,486001.0,5290300.0,2700.0,11400.0
2015-02-02,2216,194,14,128,3855178.0,8629862.44,94527575.0,386065.0,5136700.0,2700.0,11400.0
2015-02-03,2216,188,14,128,5393061.0,12088846.379999999,100100975.0,707091.0,5489550.0,2700.0,11400.0
