strategy,entry_date,expiry_date,days_to_expiry,spot_entry,spot_expiry,vix_entry,vix_p60_60,vix_change_1d,spot_ret_5d,spot_vs_sma20,short_call_offset,short_put_offset,wing_width_pct,premium_haircut,cost_per_leg_points,short_call_strike,short_put_strike,call_wing_strike,put_wing_strike,short_call_close,short_put_close,call_wing_close,put_wing_close,short_credit_raw,long_debit_raw,net_credit,expiry_payoff,total_cost_points,net_pnl_points,margin_estimate_points,return_on_margin,max_margin_points,min_total_contracts,total_entry_contracts,total_entry_open_int,scenario,fut_oi,fut_chg_in_oi,fut_oi_chg_5d,fut_oi_chg_20d,fut_oi_rising,fut_oi_falling,pcr_oi,pcr_chg,pcr_oi_rank_252,pcr_high,pcr_low,oi_feature_available,positioning_bucket
TB11_T09_low_loss_h15_c1,2017-04-24,2017-04-27,3,9306.6,9304.05,11.15,13.394,-0.0404475043029258,0.0221248414358907,0.0143347563004234,0.03,0.03,0.05,0.15,1.0,9600.0,9000.0,10100.0,8500.0,0.45,5.0,0.25,0.8,5.45,1.05,3.4250000000000003,0.0,4.0,-0.5749999999999997,496.575,-0.0011579318330564,,60000.0,291705.0,9618900.0,base,18648975.0,-884925.0,-1752750.0,-18187875.0,False,True,1.0240247739873134,-0.005140645757523248,0.38492063492063494,False,True,True,fut_falling_pcr_low
TB11_T09_low_loss_h15_c1,2019-02-25,2019-02-28,3,10835.3,10863.5,17.12,16.264,0.1145833333333334,0.0217787983233295,0.0006723297518842,0.03,0.03,0.05,0.15,1.0,11200.0,10500.0,11750.0,9900.0,1.2,4.4,0.2,1.55,5.6000000000000005,1.75,2.747500000000001,0.0,4.0,-1.252499999999999,597.2525,-0.0020971029840812,,60000.0,155448.0,5630325.0,base,20255550.0,-733050.0,-977925.0,-9148275.0,False,True,1.0776303156257216,0.3746670290839902,0.28174603174603174,False,True,True,fut_falling_pcr_low
TB11_T09_low_loss_h15_c1,2019-05-20,2019-05-23,3,11709.1,11844.1,25.65,21.052,0.0831925675675675,0.043401161106928,0.0171066867092331,0.03,0.03,0.05,0.15,1.0,12100.0,11350.0,12700.0,10750.0,108.45,48.65,13.55,19.6,157.1,33.150000000000006,95.4125,0.0,4.0,91.4125,504.5875,0.1811628310253424,,60000.0,94877.0,726000.0,base,16026300.0,573150.0,-929400.0,-14114700.0,False,True,1.1577080592602234,0.8398034552813519,0.36507936507936506,False,True,True,fut_falling_pcr_low
TB11_T09_low_loss_h15_c1,2019-05-22,2019-05-30,8,11657.05,11922.8,19.41,21.234,-0.2975027144408252,0.0355286885609968,0.0115987978366614,0.03,0.03,0.05,0.15,1.0,12050.0,11300.0,12700.0,10700.0,159.25,122.8,34.1,42.05,282.05,76.15,152.17000000000002,0.0,4.0,148.17000000000002,497.83,0.2976317216720567,,60000.0,66277.0,2391825.0,base,16675275.0,-411000.0,457425.0,-13777950.0,True,False,1.0141581276304288,0.48230415503366725,0.19444444444444445,False,True,True,fut_rising_pcr_low
TB11_T09_low_loss_h15_c1,2019-05-23,2019-05-30,7,11844.1,11922.8,16.47,21.234,-0.1514683153013911,0.0383049227896539,0.0273052373563333,0.03,0.03,0.05,0.15,1.0,12200.0,11450.0,12800.0,10800.0,18.9,53.9,4.85,8.65,72.8,13.5,46.355,0.0,4.0,42.355,603.645,0.0701654117900421,,60000.0,248211.0,4363875.0,base,17658825.0,983550.0,1962900.0,-10723050.0,True,False,0.9659401124791002,0.7039493983338476,0.12698412698412698,False,True,True,fut_rising_pcr_low
TB11_T09_low_loss_h15_c1,2019-09-23,2019-09-26,3,11588.2,11512.4,16.73,15.914,-0.0035735556879094,0.0712357639402456,0.0508737254816613,0.03,0.03,0.05,0.15,1.0,11950.0,11200.0,12600.0,10600.0,13.55,14.05,1.75,4.75,27.6,6.5,15.985,0.0,4.0,11.985,634.015,0.018903338249095,,60000.0,371110.0,4611975.0,base,17491050.0,-249225.0,712800.0,-10737300.0,True,False,1.2105292254393492,-2.2968468970347145,0.6507936507936508,True,False,True,fut_rising_pcr_high
TB11_T09_low_loss_h15_c1,2019-09-26,2019-10-03,7,11512.4,11174.75,16.12,16.102,-0.0134638922888615,0.0211278849053591,0.0378141753351006,0.03,0.03,0.05,0.15,1.0,11900.0,11150.0,12500.0,10550.0,18.15,9.5,1.45,2.6,27.65,4.05,18.845,0.0,4.0,14.845,581.155,0.0255439598730115,,60000.0,62298.0,1134000.0,base,8761050.0,-4887525.0,-8509050.0,-17533650.0,False,True,1.1067824171212757,-0.7499182739457338,0.4801587301587302,False,False,True,fut_falling_only
TB11_T09_low_loss_h15_c1,2019-10-14,2019-10-17,3,11428.3,11661.85,16.85,16.605999999999998,-0.0332759609868043,0.0271336640782282,0.0139345804010915,0.03,0.03,0.05,0.15,1.0,11800.0,11050.0,12400.0,10450.0,1.3,13.3,0.15,1.55,14.6,1.7,10.455,0.0,4.0,6.455,589.545,0.010949121780356,,60000.0,122536.0,700950.0,base,14756775.0,192000.0,-1081575.0,-11151300.0,False,True,0.9249238109101837,0.9988921421223391,0.2261904761904762,False,True,True,fut_falling_pcr_low
TB11_T09_low_loss_h15_c1,2019-10-17,2019-10-24,7,11661.85,11583.9,15.93,16.605999999999998,0.0031486146095718,0.0315611164921871,0.0253291292129582,0.03,0.03,0.05,0.15,1.0,12100.0,11300.0,12900.0,10700.0,2.0,14.6,0.15,3.15,16.6,3.3,10.315,0.0,4.0,6.315000000000001,789.685,0.0079968595072718,,60000.0,76690.0,1781475.0,base,14253450.0,-452775.0,-297225.0,-12370875.0,False,True,1.1317753444422791,1.6193114364859518,0.5317460317460317,False,False,True,fut_falling_only
TB11_T09_low_loss_h15_c1,2019-12-16,2019-12-19,3,12165.0,12271.8,12.52,15.93,-0.0670640834575261,0.0259935227042711,0.0124479497512886,0.03,0.03,0.05,0.15,1.0,12550.0,11800.0,13550.0,11100.0,0.8,4.75,0.05,1.15,5.55,1.2,3.3374999999999995,0.0,4.0,-0.6625000000000005,996.6625,-0.000664718497987,,60000.0,83815.0,1439400.0,base,14065275.0,33225.0,633600.0,-11957700.0,True,False,1.4767744489903656,3.407327503178333,0.9365079365079365,True,False,True,fut_rising_pcr_high
TB11_T09_low_loss_h15_c1,2020-06-01,2020-06-04,3,9979.1,10142.15,30.12,43.52,-0.0201691607026675,0.1052227036318367,0.0778897422412214,0.03,0.03,0.05,0.15,1.0,10300.0,9650.0,10800.0,9150.0,9.6,56.65,1.85,8.95,66.25,10.8,43.8925,0.0,4.0,39.8925,456.1075,0.0874629336285853,,60000.0,280505.0,1317525.0,base,9894075.0,326100.0,-3945075.0,-6786525.0,False,True,1.4399305651622794,1.9410745852900737,0.9246031746031746,True,False,True,fut_falling_pcr_high
TB11_T09_low_loss_h15_c1,2020-06-04,2020-06-11,7,10142.15,9972.9,28.68,43.52,-0.0340181879420681,0.058647493969389,0.080577649814596,0.03,0.03,0.05,0.15,1.0,10450.0,9800.0,11000.0,9250.0,27.95,73.45,2.7,10.2,101.4,12.9,71.355,0.0,4.0,67.355,478.645,0.140720157945868,,60000.0,91634.0,1845750.0,base,10430775.0,-295200.0,-944925.0,-4242300.0,False,True,1.5263080463265455,1.5333333333333334,0.9682539682539683,True,False,True,fut_falling_pcr_high
TB11_T09_low_loss_h15_c1,2020-06-18,2020-06-25,7,10244.4,10383.0,29.97,40.326,-0.0473617291799111,0.0272237764341365,0.0419355567068879,0.03,0.03,0.05,0.15,1.0,10600.0,9900.0,11150.0,9350.0,15.95,107.4,2.65,27.95,123.35,30.6,69.65750000000001,0.0,4.0,65.65750000000001,480.3425,0.1366889250899098,,60000.0,176798.0,4320900.0,base,9508875.0,-7950.0,-955800.0,-4708125.0,False,True,1.1368610575039004,0.6079731657477735,0.6309523809523809,True,False,True,fut_falling_pcr_high
TB11_T09_low_loss_h15_c1,2020-06-22,2020-06-25,3,10471.0,10383.0,29.34,39.318,-0.0367695338148391,0.0561831753076458,0.0504845034975935,0.03,0.03,0.05,0.15,1.0,10800.0,10150.0,11350.0,9600.0,4.65,60.35,0.85,11.9,65.0,12.75,40.5875,0.0,4.0,36.5875,509.4125,0.0718229332809854,,60000.0,303799.0,5506500.0,base,9114750.0,13125.0,-1584450.0,-4724400.0,False,True,1.4736939422199307,1.4281453819322882,0.9404761904761905,True,False,True,fut_falling_pcr_high
