symbol,trade_count,mean_return_on_max_loss,worst_return_on_max_loss,raw_kelly_fraction,positive_kelly
BHARTIARTL,91,0.034826259234921386,-1.0000000000000002,0.1927594889899069,True
ICICIBANK,96,0.10620042860756328,-1.0,1.1315371979605697,True
INFY,74,-0.003512169382635354,-1.0000000000000002,-0.019931551960994928,False
LT,78,0.05958811362469966,-1.0,0.43713805716503984,True
RELIANCE,3,0.14551396154360813,0.1111111111111111,129.05428873956075,True
SBIN,104,0.0758276901307958,-1.0000000000000004,0.4492552519831155,True
TCS,77,0.030284290354143723,-1.0,0.25016789475080986,True
