scenario,stagger_variant,source_strategy,entry_date,near_expiry,second_expiry,near_weight,second_weight,near_pnl_points,second_pnl_points,weighted_pnl_points,near_return_on_margin,second_return_on_margin,weighted_return_on_margin,second_days_to_expiry,second_total_entry_contracts
base,near_100,TB11_T09_low_loss_h15_c1,2019-10-17,2019-10-24,2019-10-31,1.0,0.0,6.315000000000001,30.027500000000003,6.315000000000001,0.0079968595072718,0.05305469788726485,0.0079968595072718,14,65225.0
base,stagger_75_25,TB11_T09_low_loss_h15_c1,2019-10-17,2019-10-24,2019-10-31,0.75,0.25,6.315000000000001,30.027500000000003,12.243125000000003,0.0079968595072718,0.05305469788726485,0.019261319102270063,14,65225.0
base,stagger_50_50,TB11_T09_low_loss_h15_c1,2019-10-17,2019-10-24,2019-10-31,0.5,0.5,6.315000000000001,30.027500000000003,18.17125,0.0079968595072718,0.05305469788726485,0.030525778697268323,14,65225.0
base,stagger_25_75,TB11_T09_low_loss_h15_c1,2019-10-17,2019-10-24,2019-10-31,0.25,0.75,6.315000000000001,30.027500000000003,24.099375000000002,0.0079968595072718,0.05305469788726485,0.041790238292266586,14,65225.0
base,near_100,TB11_T09_low_loss_h15_c1,2020-07-20,2020-07-23,2020-07-30,1.0,0.0,22.11,57.84249999999999,22.11,0.0385265468992315,0.1074824749260207,0.0385265468992315,10,116370.0
base,stagger_75_25,TB11_T09_low_loss_h15_c1,2020-07-20,2020-07-23,2020-07-30,0.75,0.25,22.11,57.84249999999999,31.043124999999996,0.0385265468992315,0.1074824749260207,0.0557655289059288,10,116370.0
base,stagger_50_50,TB11_T09_low_loss_h15_c1,2020-07-20,2020-07-23,2020-07-30,0.5,0.5,22.11,57.84249999999999,39.97624999999999,0.0385265468992315,0.1074824749260207,0.0730045109126261,10,116370.0
base,stagger_25_75,TB11_T09_low_loss_h15_c1,2020-07-20,2020-07-23,2020-07-30,0.25,0.75,22.11,57.84249999999999,48.909375,0.0385265468992315,0.1074824749260207,0.0902434929193234,10,116370.0
base,near_100,TB11_T09_low_loss_h15_c1,2024-05-15,2024-05-23,2024-05-30,1.0,0.0,19.82,57.08749999999999,19.82,0.0175993180486245,0.054949285911951196,0.0175993180486245,15,120325.0
base,stagger_75_25,TB11_T09_low_loss_h15_c1,2024-05-15,2024-05-23,2024-05-30,0.75,0.25,19.82,57.08749999999999,29.136874999999996,0.0175993180486245,0.054949285911951196,0.026936810014456174,15,120325.0
base,stagger_50_50,TB11_T09_low_loss_h15_c1,2024-05-15,2024-05-23,2024-05-30,0.5,0.5,19.82,57.08749999999999,38.45375,0.0175993180486245,0.054949285911951196,0.036274301980287846,15,120325.0
base,stagger_25_75,TB11_T09_low_loss_h15_c1,2024-05-15,2024-05-23,2024-05-30,0.25,0.75,19.82,57.08749999999999,47.770624999999995,0.0175993180486245,0.054949285911951196,0.04561179394611952,15,120325.0
harsh_stress,near_100,TB11_T09_low_loss_h30_c3,2019-10-17,2019-10-24,2019-10-31,1.0,0.0,-4.669999999999999,12.704999999999998,-4.669999999999999,-0.0058914806918389,0.022084321956561414,-0.0058914806918389,14,65225.0
harsh_stress,stagger_75_25,TB11_T09_low_loss_h30_c3,2019-10-17,2019-10-24,2019-10-31,0.75,0.25,-4.669999999999999,12.704999999999998,-0.32624999999999993,-0.0058914806918389,0.022084321956561414,0.0011024699702611787,14,65225.0
harsh_stress,stagger_50_50,TB11_T09_low_loss_h30_c3,2019-10-17,2019-10-24,2019-10-31,0.5,0.5,-4.669999999999999,12.704999999999998,4.0175,-0.0058914806918389,0.022084321956561414,0.008096420632361257,14,65225.0
harsh_stress,stagger_25_75,TB11_T09_low_loss_h30_c3,2019-10-17,2019-10-24,2019-10-31,0.25,0.75,-4.669999999999999,12.704999999999998,8.361249999999998,-0.0058914806918389,0.022084321956561414,0.015090371294461336,14,65225.0
harsh_stress,near_100,TB11_T09_low_loss_h30_c3,2020-07-20,2020-07-23,2020-07-30,1.0,0.0,7.719999999999995,31.534999999999997,7.719999999999995,0.0133039222444337,0.0566702308321278,0.0133039222444337,10,116370.0
harsh_stress,stagger_75_25,TB11_T09_low_loss_h30_c3,2020-07-20,2020-07-23,2020-07-30,0.75,0.25,7.719999999999995,31.534999999999997,13.673749999999995,0.0133039222444337,0.0566702308321278,0.024145499391357225,10,116370.0
harsh_stress,stagger_50_50,TB11_T09_low_loss_h30_c3,2020-07-20,2020-07-23,2020-07-30,0.5,0.5,7.719999999999995,31.534999999999997,19.627499999999998,0.0133039222444337,0.0566702308321278,0.03498707653828075,10,116370.0
harsh_stress,stagger_25_75,TB11_T09_low_loss_h30_c3,2020-07-20,2020-07-23,2020-07-30,0.25,0.75,7.719999999999995,31.534999999999997,25.581249999999997,0.0133039222444337,0.0566702308321278,0.04582865368520427,10,116370.0
harsh_stress,near_100,TB11_T09_low_loss_h30_c3,2024-05-15,2024-05-23,2024-05-30,1.0,0.0,6.239999999999995,34.124999999999986,6.239999999999995,0.0055135364388209,0.0323805005337445,0.0055135364388209,15,120325.0
harsh_stress,stagger_75_25,TB11_T09_low_loss_h30_c3,2024-05-15,2024-05-23,2024-05-30,0.75,0.25,6.239999999999995,34.124999999999986,13.211249999999993,0.0055135364388209,0.0323805005337445,0.0122302774625518,15,120325.0
harsh_stress,stagger_50_50,TB11_T09_low_loss_h30_c3,2024-05-15,2024-05-23,2024-05-30,0.5,0.5,6.239999999999995,34.124999999999986,20.18249999999999,0.0055135364388209,0.0323805005337445,0.0189470184862827,15,120325.0
harsh_stress,stagger_25_75,TB11_T09_low_loss_h30_c3,2024-05-15,2024-05-23,2024-05-30,0.25,0.75,6.239999999999995,34.124999999999986,27.153749999999988,0.0055135364388209,0.0323805005337445,0.0256637595100136,15,120325.0
