symbol,trade_count,first_trade_date,last_expiry_date,mean_return_on_cash,median_return_on_cash,annualized_cash_return,win_rate,assignment_rate,worst_return_on_cash,best_return_on_cash,mean_dte
PORTFOLIO_EQUAL_WEIGHT,522,2016-05-09,2024-07-25,0.005395681778504649,0.008819691455261507,,0.8061224489795918,0.15708812260536398,-0.21412800969850307,0.08120669760200232,34.71264367816092
ICICIBANK,98,2016-05-09,2024-07-25,0.007858569613005996,0.010728462837837873,0.08496164154518238,0.9285714285714286,0.12244897959183673,-0.3446078431372549,0.1153225806451613,34.63265306122449
SBIN,98,2016-05-09,2024-07-25,0.007901857677579038,0.014081632653061225,0.08249849842068158,0.8571428571428571,0.20408163265306123,-0.3591935483870968,0.10666666666666666,34.795918367346935
TCS,73,2018-05-31,2024-07-25,0.004635555338210168,0.00824468085106383,0.0538151257441708,0.863013698630137,0.1643835616438356,-0.09837499999999998,0.06452941176470589,34.87671232876713
BHARTIARTL,98,2016-05-09,2024-07-25,0.004561328807028959,0.010450191570881225,0.04983227447496863,0.8877551020408163,0.1326530612244898,-0.13744897959183672,0.06046511627906977,34.704081632653065
INFY,70,2018-09-04,2024-07-25,0.0031568041038154884,0.010090069401918759,0.033324927040092156,0.8,0.2,-0.125,0.06,34.785714285714285
LT,84,2017-07-13,2024-07-25,0.0026538596576723816,0.00833916083916084,0.021805723740567995,0.8690476190476191,0.13095238095238096,-0.2937916666666667,0.08025641025641025,34.67857142857143
RELIANCE,1,2020-05-07,2020-05-28,0.0011764705882352942,0.0011764705882352942,0.0206606949261261,1.0,0.0,0.0011764705882352942,0.0011764705882352942,21.0
