bucket,label,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,worst_trade_points,max_drawdown_points,win_rate,total_return_on_margin,annualized_return_on_margin,year_2024_pnl_share,advance_gate
all,TB11_spot_3pct_ret5_m1_sma_0,498,2016-07-18,2024-06-27,2575.982500000002,5.172655622489963,-611.0275,-1390.7124999999994,0.7610441767068273,3.9543600967936374,0.18186802497483723,0.41144980604487824,blocked_pending_review
pre_2024,TB11_spot_3pct_ret5_m1_sma_0,465,2016-07-18,2023-12-28,1516.0950000000003,3.26041935483871,-611.0275,-1390.7124999999994,0.7505376344086021,2.94908531386372,0.16601728046034836,,
year_2024,TB11_spot_3pct_ret5_m1_sma_0,33,2024-01-02,2024-06-27,1059.8875000000014,32.11780303030307,-2.0499999999999994,-2.0500000000000114,0.9090909090909091,1.005274782929917,1.9933176066422864,,
