symbol,trade_date,expiry_date,strike,premium_close,premium_settle,contracts,open_interest,dte,entry_spot,target_strike,strike_distance,expiry_spot,intrinsic_loss_points,pnl_points,return_on_cash,assigned,entry_moneyness_pct,nifty_20d_return,nifty_60d_return,nifty_60d_drawdown,indiavix_252d_percentile,stock_20d_return,skip_nifty_20d_down_5,skip_nifty_60d_drawdown_10,skip_vix_top_20,skip_stock_20d_down_10,skip_composite_stress
BHARTIARTL,2016-05-09,2016-05-26,340.0,1.85,1.85,64.0,128400.0,17,360.05,342.0475,2.0475000000000136,346.35,0.0,1.85,0.0054411764705882,False,-0.0556867101791418,,,,,,False,False,False,False,False
BHARTIARTL,2016-05-26,2016-06-30,320.0,2.2,2.2,4.0,15600.0,35,346.35,329.0325,9.032500000000027,360.05,0.0,2.2,0.006875,False,-0.0760791107261441,,,,,,False,False,False,False,False
BHARTIARTL,2016-06-23,2016-07-28,340.0,4.6,4.6,1.0,22500.0,35,358.1,340.195,0.1949999999999931,365.05,0.0,4.6,0.0135294117647058,False,-0.0505445406311086,,,,,0.03392522015302446,False,False,False,False,False
BHARTIARTL,2016-07-21,2016-08-25,340.0,4.25,4.25,5.0,30000.0,35,361.05,342.9975,2.9975000000000023,339.6,0.3999999999999772,3.850000000000023,0.0113235294117647,True,-0.0583021742140977,,,,,0.01318928020204857,False,False,False,False,False
BHARTIARTL,2016-08-25,2016-09-29,320.0,2.35,2.35,8.0,27000.0,35,339.6,322.62,2.6200000000000045,309.9,10.100000000000025,-7.750000000000023,-0.02421875,True,-0.0577149587750295,-0.0027391536479489664,,-0.013677558587360084,,-0.07136997538966361,False,False,False,False,False
BHARTIARTL,2016-09-22,2016-10-27,300.0,3.05,3.05,13.0,30000.0,35,320.95,304.9025,4.902499999999975,317.15,0.0,3.05,0.0101666666666666,False,-0.0652749649478111,0.02720501355327487,0.09628984002175911,-0.009500139625802762,0.1721311475409836,-0.07573794096472286,False,False,False,False,False
BHARTIARTL,2016-10-24,2016-11-24,280.0,3.1,3.1,3.0,4500.0,31,301.0,285.95,5.949999999999989,296.85,0.0,3.1,0.0110714285714285,False,-0.0697674418604651,-0.017874360723770688,0.008488069803662901,-0.02720469142697557,0.30864197530864196,-0.06215921483097053,False,False,False,False,False
BHARTIARTL,2016-11-24,2016-12-29,280.0,3.6,3.6,19.0,96000.0,35,296.85,282.0075,2.007499999999993,297.4,0.0,3.6,0.0128571428571428,False,-0.056762674751558,-0.07541858912974087,-0.07293824631642665,-0.11024853392907008,0.8737864077669902,-0.030060447639274623,True,True,True,False,True
BHARTIARTL,2016-12-21,2017-01-25,280.0,2.5,2.5,1.0,3400.0,35,296.15,281.3425,1.3424999999999727,305.6,0.0,2.5,0.0089285714285714,False,-0.0545331757555291,0.0034854916410440584,-0.08721572090969298,-0.0807204803202134,0.3442622950819672,0.0038983050847456457,False,False,False,False,False
BHARTIARTL,2017-01-19,2017-02-23,290.0,3.0,3.0,2.0,3400.0,35,311.25,295.6875,5.6875,359.5,0.0,3.0,0.0103448275862068,False,-0.0682730923694778,0.0571493025529195,-0.020910594585183184,-0.023489233618893213,0.42657342657342656,0.08506187903085238,False,False,False,False,False
