scenario,filter_name,source_trade_count,trade_count,coverage_rate,first_entry,last_expiry,total_pnl_points,mean_pnl_points,worst_trade_points,max_drawdown_points,win_rate,total_return_on_margin,annualized_return_on_margin,positive_years,negative_years,year_count,coverage_gate_pass,return_gate_pass,drawdown_gate_pass,decision,broker_orders_allowed
base,pcr_high,51,32,0.6274509803921569,2019-09-23,2024-04-04,714.59,22.3309375,-0.6625000000000005,-0.6625000000000014,0.96875,1.1357742485182334,0.18230948104017286,5,0,5,True,True,True,candidate_oi_filter,False
base,all_trades,51,51,1.0,2017-04-24,2024-05-23,1351.0449999999998,26.491078431372546,-1.252499999999999,-1.252499999999999,0.9411764705882353,2.145342868255603,0.1756858035284352,5,1,6,True,True,True,not_selected,False
base,oi_feature_available,51,51,1.0,2017-04-24,2024-05-23,1351.0449999999998,26.491078431372546,-1.252499999999999,-1.252499999999999,0.9411764705882353,2.145342868255603,0.1756858035284352,5,1,6,True,True,True,not_selected,False
base,fut_oi_falling,51,36,0.7058823529411765,2017-04-24,2024-04-04,994.75,27.631944444444443,-1.252499999999999,-1.252499999999999,0.9444444444444444,1.546682448069754,0.14405759560314335,5,1,6,True,False,True,not_selected,False
base,fut_oi_rising,51,15,0.29411764705882354,2019-05-22,2024-05-23,356.295,23.753,-0.6625000000000005,-0.6624999999999943,0.9333333333333333,0.5986604201858488,0.09827786842380459,5,0,5,False,False,True,not_selected,False
base,pcr_low,51,11,0.21568627450980393,2017-04-24,2024-02-08,433.855,39.44136363636364,-1.252499999999999,-1.252499999999999,0.8181818181818182,0.7489545308788332,0.08577934968172074,4,1,5,False,False,True,not_selected,False
base,fut_rising_pcr_high,51,11,0.21568627450980393,2019-09-23,2022-07-14,127.47999999999999,11.589090909090908,-0.6625000000000005,-0.6625000000000014,0.9090909090909091,0.1922162552066401,0.06465394161337645,4,0,4,False,False,True,not_selected,False
base,fut_falling_pcr_low,51,8,0.1568627450980392,2017-04-24,2024-02-08,224.85999999999999,28.107499999999998,-1.252499999999999,-1.252499999999999,0.75,0.360109683948249,0.04632018259977411,3,1,4,False,False,True,not_selected,False
harsh_stress,all_trades,51,51,1.0,2017-04-24,2024-05-23,532.24,10.436078431372549,-10.355,-18.77000000000001,0.6274509803921569,0.8536690944672888,0.09108156378187138,5,1,6,True,True,True,not_selected,False
harsh_stress,oi_feature_available,51,51,1.0,2017-04-24,2024-05-23,532.24,10.436078431372549,-10.355,-18.77000000000001,0.6274509803921569,0.8536690944672888,0.09108156378187138,5,1,6,True,True,True,not_selected,False
harsh_stress,pcr_high,51,32,0.6274509803921569,2019-09-23,2024-04-04,240.72999999999996,7.522812499999999,-9.675,-19.939999999999998,0.5625,0.4040316589890074,0.07776809984880373,3,2,5,True,False,False,not_selected,False
harsh_stress,fut_oi_falling,51,36,0.7058823529411765,2017-04-24,2024-04-04,417.5499999999999,11.598611111111108,-10.355,-10.355,0.6666666666666666,0.6545463628712401,0.07518462218211641,5,1,6,True,False,True,not_selected,False
harsh_stress,pcr_low,51,11,0.21568627450980393,2017-04-24,2024-02-08,207.51,18.864545454545453,-10.355,-10.355,0.7272727272727273,0.34316584752549917,0.04439095043966801,4,1,5,False,False,True,not_selected,False
harsh_stress,fut_oi_rising,51,15,0.29411764705882354,2019-05-22,2024-05-23,114.68999999999998,7.645999999999999,-9.675,-17.544999999999987,0.5333333333333333,0.1991227315960485,0.03694955000511646,3,2,5,False,False,True,not_selected,False
harsh_stress,fut_falling_pcr_low,51,8,0.1568627450980392,2017-04-24,2024-02-08,94.01999999999998,11.752499999999998,-10.355,-10.355,0.625,0.1453315388599625,0.020177608719890827,3,1,4,False,False,True,not_selected,False
harsh_stress,fut_rising_pcr_high,51,11,0.21568627450980393,2019-09-23,2022-07-14,-5.0400000000000045,-0.4581818181818186,-9.675,-16.415,0.36363636363636365,-0.004225113508309,-0.0015076351225647988,1,3,4,False,False,True,not_selected,False
