scenario,allocation,cluster_id,loss_trades,first_entry,last_expiry,cluster_pnl_points,worst_trade_points
harsh_stress,def_full_resg50_ovg50,5,2,2019-10-14,2019-10-24,-12.989999999999997,-7.004999999999999
harsh_stress,def_full_resg50_ovg50,16,1,2021-05-19,2021-05-27,-10.39749999999982,-10.39749999999982
harsh_stress,def_full_resg50_ovg50,8,1,2020-08-10,2020-08-13,-10.11,-10.11
harsh_stress,def_full_resg50_ovg50,12,1,2020-11-13,2020-11-19,-6.427500000000002,-6.427500000000002
harsh_stress,def_full_resg50_ovg50,25,1,2022-10-31,2022-11-03,-6.082500000000002,-6.082500000000002
harsh_stress,def_full_resg50_ovg50,20,1,2022-01-03,2022-01-06,-5.557500000000003,-5.557500000000003
harsh_stress,def_full_resg50_ovg50,3,1,2019-05-27,2019-05-30,-4.945,-4.945
harsh_stress,def_full_resg50_ovg50,19,1,2021-09-27,2021-09-30,-4.065,-4.065
harsh_stress,def_full_resg50_ovg50,29,2,2024-05-16,2024-05-23,-3.9700000000000015,-2.915
harsh_stress,def_full_resg50_ovg50,24,1,2022-10-20,2022-10-27,-3.427500000000003,-3.427500000000003
harsh_stress,def_full_resg50_ovg50,15,1,2021-02-15,2021-02-18,-3.327500000000001,-3.327500000000001
harsh_stress,def_full_resg50_ovg50,21,1,2022-01-10,2022-01-13,-2.9875000000000007,-2.9875000000000007
harsh_stress,def_full_resg50_ovg50,23,1,2022-09-05,2022-09-08,-2.165,-2.165
harsh_stress,def_full_resg50_ovg50,10,1,2020-09-14,2020-09-17,-2.132500000000001,-2.132500000000001
harsh_stress,def_full_resg50_ovg50,14,1,2021-01-11,2021-01-14,-1.755000000000008,-1.755000000000008
harsh_stress,def_full_resg50_ovg50,4,1,2019-09-23,2019-09-26,-1.6950000000000012,-1.6950000000000012
harsh_stress,def_full_resg50_ovg50,1,1,2016-08-17,2016-08-25,-1.6450000000000005,-1.6450000000000005
harsh_stress,def_full_resg50_ovg50,30,2,2024-06-18,2024-06-27,-1.235000000000003,-0.9175000000000022
harsh_stress,def_full_resg50_ovg50,26,1,2022-11-03,2022-11-10,-1.04,-1.04
