experiment_id,portfolio_style,rebalance_rule,top_k,rebalance_count,portfolio_mean_return,portfolio_median_return,portfolio_std_return,portfolio_mean_turnover,portfolio_mean_long_contribution,portfolio_mean_short_contribution,positive_windows,zero_windows,negative_windows,portfolio_win_rate,top_contributor_share,benchmark_policy,benchmark_return,excess_vs_benchmark,beats_flat,beats_benchmark,promotion_verdict,sweep_top_k,sweep_rebalance_every_sessions
E1006,long_only,every_1_session_open,3,724,-0.0004715308831044638,-0.000687674835320972,0.01261016776484727,1.75,-0.0004715308831044638,0.0,343,0,381,0.47375690607734805,0.08941187072068565,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0005727864700586638,False,False,research_only,3,1
E1002,long_only,every_1_session_open,3,724,-0.0011017413420137253,-0.0005432869651258118,0.012104805131993007,1.761049723756906,-0.0011017413420137253,0.0,340,0,384,0.4696132596685083,0.1069229748655506,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0012029969289679254,False,False,research_only,3,1
E1003,long_only,every_1_session_open,3,724,-0.0012890586638193955,-0.000804737021780611,0.012499141249242793,1.7352670349907917,-0.0012890586638193955,0.0,336,0,388,0.46408839779005523,0.10148115778936533,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0013903142507735956,False,False,research_only,3,1
E1006,long_only,every_5_session_open,3,145,0.004107090773369104,0.006245607317723553,0.02140815335294275,1.7402298850574711,0.004107090773369104,0.0,85,0,60,0.5862068965517241,0.22051688970096453,SIGNAL_E211_BANDED_68,0.0001012555869542,0.004005835186414904,True,True,baseline_promoted,3,5
E1002,long_only,every_5_session_open,3,145,0.0009768215314981809,-2.081144609612784e-05,0.021085852071996387,1.795402298850575,0.0009768215314981809,0.0,72,0,73,0.496551724137931,0.13394414546589883,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0008755659445439808,True,True,baseline_promoted,3,5
E1003,long_only,every_5_session_open,3,145,0.0005407512690741218,-0.0004761900505911704,0.0215386653522809,1.749425287356322,0.0005407512690741218,0.0,70,0,75,0.4827586206896552,0.10484107187228044,SIGNAL_E211_BANDED_68,0.0001012555869542,0.00043949568211992183,True,True,baseline_promoted,3,5
E1006,long_only,every_1_session_open,5,724,-0.0007814281693124835,-0.0003984345661485604,0.010435757890071366,1.5947513812154694,-0.0007814281693124835,0.0,344,0,380,0.47513812154696133,0.10982133086212324,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0008826837562666836,False,False,research_only,5,1
E1002,long_only,every_1_session_open,5,724,-0.0010243006179889772,-0.0006119666774389812,0.01039299586789301,1.612983425414365,-0.0010243006179889772,0.0,331,0,393,0.457182320441989,0.06903085228000974,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0011255562049431772,False,False,research_only,5,1
E1003,long_only,every_1_session_open,5,724,-0.0010483960570924892,-0.000569822697048539,0.010787062974326958,1.5765193370165747,-0.0010483960570924892,0.0,344,0,380,0.47513812154696133,0.10310007692315841,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.0011496516440466893,False,False,research_only,5,1
E1006,long_only,every_5_session_open,5,145,0.0025952629712581404,0.0029483609546573546,0.018270594619101927,1.5931034482758621,0.0025952629712581404,0.0,86,0,59,0.593103448275862,0.13980633531421588,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0024940073843039406,True,True,baseline_promoted,5,5
E1003,long_only,every_5_session_open,5,145,0.001647709139637596,-0.0009169787027995483,0.020433767174812288,1.6206896551724137,0.001647709139637596,0.0,71,0,74,0.4896551724137931,0.12563715577485965,SIGNAL_E211_BANDED_68,0.0001012555869542,0.001546453552683396,True,True,baseline_promoted,5,5
E1002,long_only,every_5_session_open,5,145,0.0010301251814777157,0.0019749765620901295,0.018065012765020316,1.5903448275862067,0.0010301251814777157,0.0,78,0,67,0.5379310344827586,0.13733518499059025,SIGNAL_E211_BANDED_68,0.0001012555869542,0.0009288695945235156,True,True,baseline_promoted,5,5
