leg_key,side,tradingsymbol,present_in_t28_chain_band,bid,ask,quote_age_seconds,spread_pct,leg_reconciliation_ok,phase2_defensive_credit_points,phase2_weighted_credit_points,phase1_latest_weighted_credit_points,phase1_latest_observed_timestamp_ist,phase2_vs_phase1_diff_points,phase2_vs_phase1_diff_pct,broker_order_allowed
def_short_call,sell,NIFTY2670725100CE,True,1.55,1.6,0.0,0.0317460317460317,True,4.75,7.125,7.125,2026-07-03T12:56:04.453434+05:30,0.0,0.0,False
def_short_put,sell,NIFTY2670723650PE,True,4.55,4.6,0.0,0.0109289617486338,True,4.75,7.125,7.125,2026-07-03T12:56:04.453434+05:30,0.0,0.0,False
def_long_call,buy,NIFTY2670726300CE,True,0.4,0.45,0.0,0.1176470588235293,True,4.75,7.125,7.125,2026-07-03T12:56:04.453434+05:30,0.0,0.0,False
def_long_put,buy,NIFTY2670722400PE,True,0.85,0.9,0.0,0.0571428571428572,True,4.75,7.125,7.125,2026-07-03T12:56:04.453434+05:30,0.0,0.0,False
