bucket,label,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,worst_trade_points,max_drawdown_points,win_rate,total_return_on_margin,annualized_return_on_margin
2016,TB11_T04_3pct_5wing_ret5_1pct_liq50k,4,2016-08-17,2016-10-27,27.912499999999994,6.978124999999999,1.487499999999999,0.0,1.0,0.060878102333229794,0.35529131249745394
2017,TB11_T04_3pct_5wing_ret5_1pct_liq50k,11,2017-04-24,2017-12-28,39.765,3.615,-0.8224999999999989,-0.8224999999999989,0.8181818181818182,0.0685105940793462,0.10251613476891741
2018,TB11_T04_3pct_5wing_ret5_1pct_liq50k,9,2018-04-16,2018-12-27,47.265,5.251666666666667,-0.5750000000000011,-0.5749999999999993,0.8888888888888888,0.0849574094509828,0.12388912984443201
2019,TB11_T04_3pct_5wing_ret5_1pct_liq50k,16,2019-02-25,2019-12-26,656.29,41.018125,-1.3274999999999997,-1.990000000000009,0.8125,1.28559066076248,1.6997873340410954
2020,TB11_T04_3pct_5wing_ret5_1pct_liq50k,34,2020-02-10,2020-12-31,555.8950000000004,16.349852941176483,-270.89499999999964,-270.89499999999964,0.9411764705882353,0.9335801562719526,1.098104112556491
2021,TB11_T04_3pct_5wing_ret5_1pct_liq50k,26,2021-01-04,2022-01-06,473.59750000000173,18.215288461538528,-69.20500000000014,-69.20500000000015,0.8846153846153846,0.6488666746096636,0.6449394439314617
2022,TB11_T04_3pct_5wing_ret5_1pct_liq50k,36,2022-01-03,2022-11-24,1076.4400000000003,29.90111111111112,-68.50250000000001,-68.50250000000005,0.9444444444444444,1.3400240492452364,1.5998412939604951
2023,TB11_T04_3pct_5wing_ret5_1pct_liq50k,8,2023-02-13,2023-12-28,54.167500000000004,6.7709375000000005,-2.5125,-5.152499999999998,0.5,0.0523458217235712,0.06035404359884766
2024,TB11_T04_3pct_5wing_ret5_1pct_liq50k,13,2024-01-31,2024-06-27,298.3275,22.94826923076923,-2.0499999999999994,-2.049999999999997,0.9230769230769231,0.2731158284578411,0.8146969150168724
