experiment_id,fold_id,fold_start_date,fold_end_date,fold_trade_dates,strategy_variant,rebalance_rule,rebalance_count,strategy_total_return,strategy_annualized_return,buyhold_total_return,buyhold_annualized_return,beats_buyhold,top_contributor_share
E1006,1,2016-05-26,2017-05-24,247,ungated_score_weighted_top3,every_10_session_open,25,0.20613943099294785,0.20888823051165661,0.19449598268530474,0.19707720068353063,True,0.22146019850230816
E1006,2,2017-05-25,2018-05-21,246,ungated_score_weighted_top3,every_10_session_open,25,-0.1735721388388095,-0.17612999983142863,0.1530818063625,0.15575551743230043,False,0.12971302216588163
E1006,3,2018-05-22,2019-05-21,246,ungated_score_weighted_top3,every_10_session_open,25,-0.0459205100664396,-0.046649493925406404,0.1517088775841932,0.15435704290603414,False,0.16053408070888195
E1006,4,2019-05-22,2020-05-21,246,ungated_score_weighted_top3,every_10_session_open,25,-0.47582024836375714,-0.48129678022747513,-0.11263091701269487,-0.11435339804670264,False,0.20197695674340535
E1006,5,2020-05-22,2021-05-17,246,ungated_score_weighted_top3,every_10_session_open,25,0.5520995639675128,0.5632338847524436,0.6301832688063241,0.643188664830973,False,0.1216216997947059
E1006,6,2021-05-18,2022-05-12,246,ungated_score_weighted_top3,every_10_session_open,25,-0.0071871931517324406,-0.007303630277454398,0.05206663818163486,0.052935275841824225,False,0.12606039488669157
E1006,7,2022-05-13,2023-05-10,246,ungated_score_weighted_top3,every_10_session_open,25,0.06739825762479912,0.06853089303720572,0.17156338661733686,0.17458360256614847,False,0.3068115481927965
E1006,8,2023-05-11,2024-05-07,246,ungated_score_weighted_top3,every_10_session_open,25,0.42759082671268267,0.43587829517777643,0.34306834945554576,0.3495252380012348,True,0.12697518286392107
E1006,9,2024-05-08,2025-05-05,246,ungated_score_weighted_top3,every_10_session_open,25,-0.15690883665765853,-0.1592454132438873,0.09475670591763041,0.09636944844352513,False,0.1674534006499782
E1006,10,2025-05-06,2026-04-30,246,ungated_score_weighted_top3,every_10_session_open,25,0.11257165788705703,0.11450313137054469,0.0022916103061673544,0.0023289156189656435,True,0.18616517796901874
E1002,1,2023-04-17,2024-04-03,242,ungated_score_weighted_top3,every_15_session_open,17,0.9391780257949474,0.9821006490217603,0.4065388354601957,0.4224902737650029,True,0.49521685605262133
E1002,2,2024-04-04,2025-03-24,242,ungated_score_weighted_top3,every_15_session_open,17,0.17461713186035088,0.18088322494021125,0.048440662612846214,0.050081462982671354,True,0.24046088571239768
E1002,3,2025-03-25,2026-03-13,241,ungated_score_weighted_top3,every_15_session_open,16,-0.22993579178013301,-0.23741307443538562,0.0043288880375076675,0.004490910223970301,False,0.24115380455619104
E1003,1,2023-04-17,2024-04-03,242,ungated_score_weighted_top3,every_21_session_open,12,0.5713777681369847,0.5950313354271002,0.4065388354601957,0.4224902737650029,True,0.14511549950810032
E1003,2,2024-04-04,2025-03-24,242,ungated_score_weighted_top3,every_21_session_open,12,0.013382534600464346,0.013827977394154534,0.048440662612846214,0.050081462982671354,False,0.2427508777682545
E1003,3,2025-03-25,2026-03-13,241,ungated_score_weighted_top3,every_21_session_open,12,-0.040456908783152445,-0.04193562450348953,0.0043288880375076675,0.004490910223970301,False,0.2823275602698508
