experiment_id,rebalance_idx,open_ts,next_open_ts,eligible_count,portfolio_return,long_contribution,short_contribution,turnover,long_names,short_names
E1002,1,2023-04-17 10:15:00,2023-05-17 09:15:00,27,-0.03899928152579747,-0.03899928152579747,0.0,1.0,"INFY,DRREDDY,SUNPHARMA",
E1002,22,2023-05-17 09:15:00,2023-06-15 09:15:00,27,0.049371092521136264,0.049371092521136264,0.0,2.0,"BHARTIARTL,WIPRO,ADANIPORTS",
E1002,43,2023-06-15 09:15:00,2023-07-17 09:15:00,27,-0.014480823266163147,-0.014480823266163147,0.0,2.0,"ULTRACEMCO,AXISBANK,MARUTI",
E1002,64,2023-07-17 09:15:00,2023-08-16 09:15:00,27,0.02836393333789062,0.02836393333789062,0.0,2.0,"ADANIPORTS,BHARTIARTL,ONGC",
E1002,85,2023-08-16 09:15:00,2023-09-14 09:15:00,27,0.04534252716943832,0.04534252716943832,0.0,2.0,"SBIN,AXISBANK,HINDUNILVR",
E1002,106,2023-09-14 09:15:00,2023-10-17 09:15:00,27,-0.0025512233343408736,-0.0025512233343408736,0.0,0.6666666666666666,"SBIN,BHARTIARTL,AXISBANK",
E1002,127,2023-10-17 09:15:00,2023-11-16 09:15:00,27,0.0033578483416402943,0.0033578483416402943,0.0,1.3333333333333333,"HCLTECH,AXISBANK,HDFCBANK",
E1002,148,2023-11-16 09:15:00,2023-12-18 09:15:00,27,0.08182798198515873,0.08182798198515873,0.0,1.3333333333333333,"BHARTIARTL,ITC,HCLTECH",
E1002,169,2023-12-18 09:15:00,2024-01-17 09:15:00,27,0.0531659704733449,0.0531659704733449,0.0,2.0,"BAJAJ-AUTO,TECHM,BRITANNIA",
E1002,190,2024-01-17 09:15:00,2024-02-16 09:15:00,27,-0.04146060510470793,-0.04146060510470793,0.0,2.0,"KOTAKBANK,HDFCBANK,ICICIBANK",
E1002,211,2024-02-16 09:15:00,2024-03-18 09:15:00,27,-0.051311089308735985,-0.051311089308735985,0.0,2.0,"MARUTI,BPCL,ADANIPORTS",
E1002,232,2024-03-18 09:15:00,2024-04-22 09:15:00,27,0.02500570639272219,0.02500570639272219,0.0,0.6666666666666666,"BPCL,AXISBANK,ADANIPORTS",
E1002,253,2024-04-22 09:15:00,2024-05-22 09:15:00,27,-0.004662779770767226,-0.004662779770767226,0.0,2.0,"BAJAJ-AUTO,MARUTI,ONGC",
E1002,274,2024-05-22 09:15:00,2024-06-21 09:15:00,27,0.07091011188005417,0.07091011188005417,0.0,2.0,"HDFCBANK,HINDUNILVR,NESTLEIND",
E1002,295,2024-06-21 09:15:00,2024-07-23 09:15:00,27,0.06291037949976397,0.06291037949976397,0.0,2.0,"INFY,BHARTIARTL,BAJAJ-AUTO",
E1002,316,2024-07-23 09:15:00,2024-08-22 09:15:00,27,0.020440419708364636,0.020440419708364636,0.0,2.0,"CIPLA,LT,HINDUNILVR",
E1002,337,2024-08-22 09:15:00,2024-09-20 09:15:00,27,-0.029427138901503155,-0.029427138901503155,0.0,1.3333333333333333,"DRREDDY,HINDUNILVR,TCS",
E1002,358,2024-09-20 09:15:00,2024-10-22 09:15:00,27,-0.0027905939729356774,-0.0027905939729356774,0.0,2.0,"ITC,MARUTI,TECHM",
E1002,379,2024-10-22 09:15:00,2024-11-22 09:15:00,27,-0.07446111898867472,-0.07446111898867472,0.0,2.0,"HCLTECH,LT,ADANIPORTS",
E1002,400,2024-11-22 09:15:00,2024-12-23 09:15:00,27,-0.010998757911254313,-0.010998757911254313,0.0,2.0,"AXISBANK,TCS,KOTAKBANK",
E1002,421,2024-12-23 09:15:00,2025-01-22 09:15:00,27,-0.012874672971793674,-0.012874672971793674,0.0,2.0,"M&M,HCLTECH,RELIANCE",
