variant,trade_count,skip_count,skip_rate,mean_return_on_cash,median_return_on_cash,win_rate,assignment_rate,worst_trade_return_on_cash,portfolio_expiry_count,portfolio_mean_return_on_cash,portfolio_worst_return_on_cash,tail_loss_event_count_le_5pct,tail_loss_event_rate_le_5pct,context_nifty_coverage,context_vix_coverage,worst_trade_improvement_vs_ungated,portfolio_worst_improvement_vs_ungated,tail_loss_reduction_vs_ungated
skip_composite_stress,391,131,0.2509578544061303,0.002511598962866541,0.0087755102040816,0.8618925831202046,0.1636828644501279,-0.3591935483870968,77,0.0032285707391136015,-0.214128009698503,21,0.05370843989769821,0.9770114942528736,0.9712643678160919,0.0,0.0,5.0
skip_vix_top_20,422,100,0.19157088122605365,0.003419256879654544,0.009187806372549,0.8672985781990521,0.15876777251184834,-0.3591935483870968,80,0.003889457750737043,-0.214128009698503,22,0.052132701421800945,0.9770114942528736,0.9712643678160919,0.0,0.0,4.0
skip_stock_20d_down_10,485,37,0.07088122605363985,0.0037808693485455055,0.0099375,0.8701030927835052,0.15876288659793814,-0.3591935483870968,97,0.00428150581539277,-0.214128009698503,25,0.05154639175257732,0.9770114942528736,0.9712643678160919,0.0,0.0,1.0
skip_nifty_20d_down_5,479,43,0.08237547892720307,0.0035614273710439163,0.0098214285714285,0.8622129436325678,0.1649269311064718,-0.3591935483870968,90,0.0038562347388994113,-0.214128009698503,25,0.05219206680584551,0.9770114942528736,0.9712643678160919,0.0,0.0,1.0
ungated,522,0,0.0,0.005316100778458421,0.01019457904300415,0.8716475095785441,0.15708812260536398,-0.3591935483870968,98,0.005395681778504614,-0.214128009698503,26,0.04980842911877394,0.9770114942528736,0.9712643678160919,0.0,0.0,0.0
skip_nifty_60d_drawdown_10,464,58,0.1111111111111111,0.002850603950440249,0.00914192343604105,0.8577586206896551,0.16810344827586207,-0.3591935483870968,88,0.0032370919243557995,-0.214128009698503,26,0.05603448275862069,0.9770114942528736,0.9712643678160919,0.0,0.0,0.0
