collection_date_ist,observed_timestamp_ist,underlying,spot_source,spot_last_price,spot_timestamp,expiry_date,days_to_expiry,band_low,band_high,tradingsymbol,instrument_token,strike,option_type,moneyness_pct,quote_source,quote_timestamp,quote_age_seconds,bid,ask,mid,last_price,volume,oi,spread_points,spread_pct,all_quote_available,quote_freshness_pass,spread_quality_pass,broker_order_allowed,order_route,selection_reason
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671422150PE,13122050,22150.0,PE,-0.07877991365901138,kite_quote_api,2026-07-09 09:45:59,5.700828,2.6,2.7,2.6500000000000004,2.65,209950,60385,0.10000000000000009,0.0377358490566038,True,True,True,False,blocked_no_broker_call,selected_profile_leg_supplement
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671422850CE,13133570,22850.0,CE,-0.04966686352633898,kite_quote_api,2026-07-09 09:45:59,5.700828,1138.6,1243.75,1191.175,620.0,0,0,105.15000000000009,0.08827418305454707,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671422850PE,13133826,22850.0,PE,-0.04966686352633898,kite_quote_api,2026-07-09 09:46:04,0.700828,5.45,5.5,5.475,5.55,908375,519740,0.04999999999999982,0.00913242009132417,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671422900CE,13134082,22900.0,CE,-0.04758735994543384,kite_quote_api,2026-07-09 09:46:04,0.700828,1144.05,1150.1,1147.0749999999998,1144.8,260,455,6.0499999999999545,0.005274284593422361,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671422900PE,13134338,22900.0,PE,-0.04758735994543384,kite_quote_api,2026-07-09 09:46:04,0.700828,5.9,5.95,5.925000000000001,5.95,2868710,1385475,0.04999999999999982,0.008438818565400814,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671422950CE,13134594,22950.0,CE,-0.0455078563645287,kite_quote_api,2026-07-09 09:45:35,29.700828,987.3,1185.65,1086.475,691.7,0,0,198.35000000000014,0.18256287535378188,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671422950PE,13134850,22950.0,PE,-0.0455078563645287,kite_quote_api,2026-07-09 09:46:04,0.700828,6.35,6.4,6.375,6.35,1813175,737295,0.05000000000000071,0.007843137254902072,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423000CE,13135106,23000.0,CE,-0.04342835278362356,kite_quote_api,2026-07-09 09:46:03,1.700828,1046.45,1049.8,1048.125,1049.8,33605,104585,3.349999999999909,0.0031961836612998534,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423000PE,13135362,23000.0,PE,-0.04342835278362356,kite_quote_api,2026-07-09 09:46:04,0.700828,6.9,6.95,6.925000000000001,6.95,9639175,6058520,0.04999999999999982,0.007220216606498168,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423050CE,13135618,23050.0,CE,-0.04134884920271831,kite_quote_api,2026-07-09 09:46:03,1.700828,995.55,1001.7,998.625,1000.0,390,2210,6.150000000000091,0.006158467893353452,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423050PE,13137410,23050.0,PE,-0.04134884920271831,kite_quote_api,2026-07-09 09:46:04,0.700828,7.35,7.4,7.375,7.4,2467725,801775,0.05000000000000071,0.006779661016949249,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423100CE,13138946,23100.0,CE,-0.03926934562181317,kite_quote_api,2026-07-09 09:46:03,1.700828,946.25,950.75,948.5,951.6,845,4810,4.5,0.004744333157617291,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423100PE,13139202,23100.0,PE,-0.03926934562181317,kite_quote_api,2026-07-09 09:46:03,1.700828,7.85,7.9,7.875,7.9,3802175,1612780,0.05000000000000071,0.006349206349206439,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423150CE,13139714,23150.0,CE,-0.03718984204090803,kite_quote_api,2026-07-09 09:46:04,0.700828,898.1,903.3,900.7,891.95,390,1105,5.199999999999932,0.005773287443099735,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423150PE,13139970,23150.0,PE,-0.03718984204090803,kite_quote_api,2026-07-09 09:46:04,0.700828,8.5,8.6,8.55,8.55,2925195,662480,0.09999999999999964,0.011695906432748496,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423200CE,13140226,23200.0,CE,-0.03511033846000289,kite_quote_api,2026-07-09 09:46:02,2.700828,849.0,852.9,850.95,848.3,4615,36725,3.8999999999999773,0.004583112991362568,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423200PE,13140482,23200.0,PE,-0.03511033846000289,kite_quote_api,2026-07-09 09:46:03,1.700828,9.15,9.2,9.175,9.2,5074160,2359175,0.049999999999998934,0.0054495912806538345,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423250CE,13142274,23250.0,CE,-0.03303083487909764,kite_quote_api,2026-07-09 09:46:04,0.700828,800.4,804.5,802.45,810.0,2340,15600,4.100000000000023,0.005109352607639134,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423250PE,13142530,23250.0,PE,-0.03303083487909764,kite_quote_api,2026-07-09 09:46:04,0.700828,10.3,10.4,10.350000000000001,10.35,2376205,837980,0.09999999999999964,0.009661835748792235,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423300CE,13142786,23300.0,CE,-0.030951331298192497,kite_quote_api,2026-07-09 09:46:03,1.700828,751.65,755.4,753.525,746.95,12285,127205,3.75,0.004976609933313427,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423300PE,13143042,23300.0,PE,-0.030951331298192497,kite_quote_api,2026-07-09 09:46:04,0.700828,11.45,11.55,11.5,11.4,5631210,3329300,0.10000000000000142,0.008695652173913167,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423350CE,13143298,23350.0,CE,-0.028871827717287357,kite_quote_api,2026-07-09 09:46:04,0.700828,703.5,707.2,705.35,707.85,1690,3640,3.7000000000000455,0.005245622740483512,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423350PE,13143554,23350.0,PE,-0.028871827717287357,kite_quote_api,2026-07-09 09:46:04,0.700828,13.15,13.25,13.2,13.2,2736955,894075,0.09999999999999964,0.007575757575757549,True,True,True,False,blocked_no_broker_call,spot_band|selected_profile_leg
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423400CE,13143810,23400.0,CE,-0.026792324136382217,kite_quote_api,2026-07-09 09:46:04,0.700828,654.95,658.75,656.85,658.5,30875,53495,3.7999999999999545,0.0057851868767602255,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423400PE,13144066,23400.0,PE,-0.026792324136382217,kite_quote_api,2026-07-09 09:46:04,0.700828,15.05,15.15,15.100000000000001,15.05,6089005,2946515,0.09999999999999964,0.0066225165562913664,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423450CE,13144322,23450.0,CE,-0.024712820555477077,kite_quote_api,2026-07-09 09:46:03,1.700828,608.4,611.1,609.75,603.95,9880,6110,2.7000000000000455,0.004428044280442879,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423450PE,13144578,23450.0,PE,-0.024712820555477077,kite_quote_api,2026-07-09 09:46:03,1.700828,17.7,17.8,17.75,17.7,3480230,1108965,0.10000000000000142,0.0056338028169014885,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423500CE,13144834,23500.0,CE,-0.022633316974571827,kite_quote_api,2026-07-09 09:46:04,0.700828,561.8,563.25,562.525,563.7,413855,307060,1.4500000000000455,0.0025776632149683044,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423500PE,13145090,23500.0,PE,-0.022633316974571827,kite_quote_api,2026-07-09 09:46:03,1.700828,21.05,21.1,21.075000000000003,21.1,11325015,6784895,0.05000000000000071,0.0023724792408066765,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423550CE,13145346,23550.0,CE,-0.020553813393666687,kite_quote_api,2026-07-09 09:46:04,0.700828,515.4,517.0,516.2,515.75,66690,39585,1.6000000000000227,0.003099573808601361,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423550PE,13145602,23550.0,PE,-0.020553813393666687,kite_quote_api,2026-07-09 09:46:04,0.700828,24.7,24.8,24.75,24.8,3725865,1660295,0.10000000000000142,0.004040404040404098,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423600CE,13145858,23600.0,CE,-0.018474309812761547,kite_quote_api,2026-07-09 09:46:03,1.700828,470.65,472.0,471.325,471.4,300300,182325,1.3500000000000227,0.0028642656341166346,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-09,2026-07-09T09:46:04.700828+05:30,NIFTY,NSE:NIFTY 50,24044.2,2026-07-09 09:46:02,2026-07-14,5,22841.989999999998,25246.410000000003,NIFTY2671423600PE,13146114,23600.0,PE,-0.018474309812761547,kite_quote_api,2026-07-09 09:46:04,0.700828,29.2,29.3,29.25,29.2,8760765,5066035,0.10000000000000142,0.0034188034188034674,True,True,True,False,blocked_no_broker_call,spot_band
