symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested
BHARTIARTL,2016-05-09,2016-05-26,360.05,346.35,340.0,330.0,1.85,0.95,0.9000000000000001,10.0,9.1,0.02676470588235294,0.9000000000000001,0.09890109890109892,0.002647058823529412,False
BHARTIARTL,2016-05-26,2016-06-30,346.35,360.05,320.0,310.0,2.2,1.5,0.7000000000000002,10.0,9.3,0.0290625,0.7000000000000002,0.07526881720430109,0.0021875000000000006,False
BHARTIARTL,2016-06-23,2016-07-28,358.1,365.05,340.0,330.0,4.6,2.75,1.8499999999999996,10.0,8.15,0.02397058823529412,1.8499999999999996,0.22699386503067479,0.005441176470588234,False
BHARTIARTL,2016-10-24,2016-11-24,301.0,296.85,280.0,270.0,3.1,1.85,1.25,10.0,8.75,0.03125,1.25,0.14285714285714285,0.004464285714285714,False
BHARTIARTL,2016-11-24,2016-12-29,296.85,297.4,280.0,270.0,3.6,2.65,0.9500000000000002,10.0,9.05,0.03232142857142858,0.9500000000000002,0.10497237569060774,0.0033928571428571436,False
BHARTIARTL,2017-02-23,2017-03-30,359.5,344.75,340.0,330.0,6.15,3.85,2.3000000000000003,10.0,7.699999999999999,0.02264705882352941,2.3000000000000003,0.29870129870129875,0.006764705882352942,False
BHARTIARTL,2017-05-25,2017-06-29,363.85,375.4,340.0,330.0,3.2,2.25,0.9500000000000002,10.0,9.05,0.02661764705882353,0.9500000000000002,0.10497237569060774,0.002794117647058824,False
BHARTIARTL,2017-07-27,2017-08-31,408.4,419.8,380.0,370.0,3.0,1.55,1.45,10.0,8.55,0.022500000000000003,1.45,0.1695906432748538,0.0038157894736842103,False
BHARTIARTL,2017-08-24,2017-09-28,424.95,375.0,400.0,390.0,3.55,2.5,1.0499999999999998,10.0,8.95,0.022375,-8.95,-1.0,-0.022375,True
BHARTIARTL,2017-10-26,2017-11-30,501.9,487.3,470.0,450.0,7.1,3.7,3.3999999999999995,20.0,16.6,0.03531914893617021,3.3999999999999995,0.20481927710843367,0.007234042553191488,False
BHARTIARTL,2017-11-23,2017-12-28,487.2,521.55,460.0,450.0,3.7,2.45,1.25,10.0,8.75,0.019021739130434784,1.25,0.14285714285714285,0.002717391304347826,False
BHARTIARTL,2017-12-22,2018-01-25,518.8,444.35,490.0,460.0,5.0,1.45,3.55,30.0,26.45,0.053979591836734696,-26.450000000000003,-1.0000000000000002,-0.0539795918367347,True
BHARTIARTL,2018-01-19,2018-02-22,488.7,408.45,460.0,440.0,6.2,3.5,2.7,20.0,17.3,0.03760869565217392,-17.299999999999997,-0.9999999999999998,-0.03760869565217391,True
BHARTIARTL,2018-03-22,2018-04-26,407.95,401.65,380.0,360.0,3.75,1.45,2.3,20.0,17.7,0.04657894736842105,2.3,0.12994350282485875,0.006052631578947368,False
BHARTIARTL,2018-04-26,2018-05-31,401.65,366.7,380.0,370.0,5.2,3.25,1.9500000000000002,10.0,8.05,0.02118421052631579,-8.05,-1.0,-0.02118421052631579,True
BHARTIARTL,2018-07-26,2018-08-30,351.05,376.05,330.0,320.0,6.3,4.5,1.7999999999999998,10.0,8.2,0.024848484848484845,1.7999999999999998,0.21951219512195122,0.005454545454545454,False
BHARTIARTL,2018-09-21,2018-10-25,363.65,290.1,340.0,330.0,3.2,2.0,1.2000000000000002,10.0,8.8,0.025882352941176474,-8.799999999999997,-0.9999999999999996,-0.02588235294117646,True
BHARTIARTL,2018-10-25,2018-11-29,290.1,311.35,270.0,260.0,8.55,5.55,3.000000000000001,10.0,6.999999999999999,0.02592592592592592,3.000000000000001,0.42857142857142877,0.011111111111111115,False
BHARTIARTL,2018-11-22,2018-12-27,321.8,310.85,300.0,270.0,6.2,2.9,3.3000000000000003,30.0,26.7,0.089,3.3000000000000003,0.12359550561797754,0.011000000000000001,False
BHARTIARTL,2018-12-27,2019-01-31,310.85,300.75,290.0,280.0,4.55,3.0,1.5499999999999998,10.0,8.45,0.029137931034482756,1.5499999999999998,0.1834319526627219,0.005344827586206896,False
BHARTIARTL,2019-01-24,2019-02-28,296.1,312.2,280.0,270.0,5.6,4.0,1.5999999999999996,10.0,8.4,0.030000000000000002,1.5999999999999996,0.19047619047619044,0.005714285714285713,False
BHARTIARTL,2019-02-21,2019-03-28,304.2,323.85,280.0,270.0,3.3,2.2,1.0999999999999996,10.0,8.9,0.031785714285714285,1.0999999999999996,0.12359550561797748,0.003928571428571427,False
BHARTIARTL,2019-03-22,2019-04-25,325.45,322.45,300.0,290.0,2.5,1.8,0.7,10.0,9.3,0.031000000000000003,0.7,0.07526881720430106,0.002333333333333333,False
BHARTIARTL,2019-04-25,2019-05-30,322.45,340.3,303.0,290.0,5.15,3.2,1.9500000000000002,13.0,11.05,0.03646864686468647,1.9500000000000002,0.17647058823529413,0.006435643564356436,False
BHARTIARTL,2019-05-23,2019-06-27,332.55,342.2,312.2,300.0,6.8,3.75,3.05,12.199999999999989,9.149999999999988,0.029308135810377924,3.05,0.33333333333333376,0.009769378603459321,False
BHARTIARTL,2019-06-20,2019-07-25,342.15,332.75,320.0,300.0,2.95,1.7,1.2500000000000002,20.0,18.75,0.05859375,1.2500000000000002,0.06666666666666668,0.003906250000000001,False
BHARTIARTL,2019-07-25,2019-08-29,332.75,337.15,310.0,300.0,3.95,2.4,1.5500000000000003,10.0,8.45,0.02725806451612903,1.5500000000000003,0.18343195266272194,0.005000000000000001,False
BHARTIARTL,2019-08-22,2019-09-26,346.25,337.7,320.0,300.0,4.25,2.25,2.0,20.0,18.0,0.05625,2.0,0.1111111111111111,0.00625,False
BHARTIARTL,2019-09-26,2019-10-31,337.7,367.35,320.0,310.0,4.95,3.15,1.8000000000000003,10.0,8.2,0.025625,1.8000000000000003,0.21951219512195128,0.005625000000000001,False
BHARTIARTL,2019-10-24,2019-11-28,365.5,428.6,340.0,330.0,11.5,9.3,2.1999999999999993,10.0,7.800000000000001,0.022941176470588236,2.1999999999999993,0.28205128205128194,0.006470588235294115,False
BHARTIARTL,2019-11-21,2019-12-26,418.45,439.3,390.0,380.0,9.9,8.4,1.5,10.0,8.5,0.021794871794871794,1.5,0.17647058823529413,0.0038461538461538464,False
BHARTIARTL,2019-12-26,2020-01-30,439.3,480.75,415.0,400.0,3.25,2.35,0.8999999999999999,15.0,14.1,0.033975903614457834,0.8999999999999999,0.06382978723404255,0.0021686746987951804,False
BHARTIARTL,2020-01-23,2020-02-27,514.0,521.85,480.0,460.0,8.1,4.45,3.6499999999999995,20.0,16.35,0.0340625,3.6499999999999995,0.22324159021406723,0.007604166666666665,False
BHARTIARTL,2020-02-20,2020-03-26,535.55,462.05,500.0,480.0,6.05,4.5,1.5499999999999998,20.0,18.45,0.036899999999999995,-18.450000000000003,-1.0000000000000002,-0.0369,True
BHARTIARTL,2020-03-26,2020-04-30,462.05,504.8,430.0,410.0,26.0,22.35,3.6499999999999986,20.0,16.35,0.038023255813953494,3.6499999999999986,0.22324159021406717,0.008488372093023253,False
BHARTIARTL,2020-04-23,2020-05-28,486.85,552.4,460.0,450.0,18.6,15.0,3.6000000000000014,10.0,6.399999999999999,0.013913043478260867,3.6000000000000014,0.5625000000000003,0.007826086956521741,False
BHARTIARTL,2020-05-21,2020-06-25,583.6,548.7,550.0,530.0,12.85,8.8,4.049999999999999,20.0,15.950000000000001,0.029,2.7500000000000444,0.17241379310345104,0.005000000000000081,True
BHARTIARTL,2020-06-25,2020-07-30,548.7,542.5,520.0,500.0,11.45,6.9,4.549999999999999,20.0,15.450000000000001,0.029711538461538463,4.549999999999999,0.29449838187702254,0.008749999999999997,False
