artifact,source_url,status,rows,output_path,generated_at_ist,tb15_earnings_covered_symbols,tb15_earnings_coverage_count,nifty_weight_mapped_rows
nse_event_calendar,https://www.nseindia.com/api/event-calendar,http_200,128,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\earnings_calendar_nse_raw.csv,2026-07-03T14:04:51.745795+05:30,BHARTIARTL|HDFCBANK|ICICIBANK|INFY|LT|RELIANCE|SBIN|TCS,8,49
nse_quarterly_financial_results,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,http_200,3814,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\earnings_calendar_nse_raw.csv,2026-07-03T14:04:51.745795+05:30,BHARTIARTL|HDFCBANK|ICICIBANK|INFY|LT|RELIANCE|SBIN|TCS,8,49
nifty50_constituents,https://archives.nseindia.com/content/indices/ind_nifty50list.csv,http_200,50,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nifty50_constituents.csv,2026-07-03T14:04:51.745795+05:30,BHARTIARTL|HDFCBANK|ICICIBANK|INFY|LT|RELIANCE|SBIN|TCS,8,49
nifty50_index_weights,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,http_200,49,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nifty50_index_weights.csv,2026-07-03T14:04:51.745795+05:30,BHARTIARTL|HDFCBANK|ICICIBANK|INFY|LT|RELIANCE|SBIN|TCS,8,49
