strategy_id,guardrail_profile,fold_id,event_count,buyhold_annualized_return,base_total_return,base_annualized_return,guarded_total_return,guarded_annualized_return,guarded_excess_vs_buyhold_ann,guarded_beats_buyhold,events_delevered
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,1,25,0.1970772006835306,0.05953423221711551,0.05953423221711551,-0.08664558186880567,-0.08664558186880567,-0.2837227825523363,False,15
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,1,25,0.1970772006835306,0.05953423221711551,0.05953423221711551,0.01408950495427086,0.01408950495427086,-0.18298769572925974,False,10
TB06_T03_LowVolPortfolioRank,medium_8_12_floor25,1,25,0.1970772006835306,0.05953423221711551,0.05953423221711551,0.04837077845295301,0.04837077845295301,-0.1487064222305776,False,5
TB06_T03_LowVolPortfolioRank,late_10_15_floor50,1,25,0.1970772006835306,0.05953423221711551,0.05953423221711551,0.05277836662080215,0.05277836662080215,-0.14429883406272845,False,1
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,2,25,0.1557555174323004,0.2656894520979185,0.2656894520979185,0.24359970743304205,0.24359970743304205,0.08784419000074165,True,5
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,2,25,0.1557555174323004,0.2656894520979185,0.2656894520979185,0.2452980254383581,0.2452980254383581,0.0895425080060577,True,5
TB06_T03_LowVolPortfolioRank,medium_8_12_floor25,2,25,0.1557555174323004,0.2656894520979185,0.2656894520979185,0.2629314094499986,0.2629314094499986,0.1071758920176982,True,1
TB06_T03_LowVolPortfolioRank,late_10_15_floor50,2,25,0.1557555174323004,0.2656894520979185,0.2656894520979185,0.2656894520979185,0.2656894520979185,0.1099339346656181,True,0
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,3,25,0.1543570429060341,-0.04095329143780546,-0.04095329143780546,0.020142614497004496,0.020142614497004496,-0.1342144284090296,False,14
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,3,25,0.1543570429060341,-0.04095329143780546,-0.04095329143780546,-0.008811480536353389,-0.008811480536353389,-0.1631685234423875,False,14
TB06_T03_LowVolPortfolioRank,medium_8_12_floor25,3,25,0.1543570429060341,-0.04095329143780546,-0.04095329143780546,-0.009801964589148948,-0.009801964589148948,-0.16415900749518306,False,14
TB06_T03_LowVolPortfolioRank,late_10_15_floor50,3,25,0.1543570429060341,-0.04095329143780546,-0.04095329143780546,-0.04825545984023871,-0.04825545984023871,-0.20261250274627282,False,14
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,4,25,-0.1143533980467026,0.011620046917908855,0.011620046917908855,-0.02171466339124284,-0.02171466339124284,0.09263873465545976,True,16
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,4,25,-0.1143533980467026,0.011620046917908855,0.011620046917908855,0.008202134122234916,0.008202134122234916,0.12255553216893751,True,16
TB06_T03_LowVolPortfolioRank,medium_8_12_floor25,4,25,-0.1143533980467026,0.011620046917908855,0.011620046917908855,0.005032231063192505,0.005032231063192505,0.1193856291098951,True,6
TB06_T03_LowVolPortfolioRank,late_10_15_floor50,4,25,-0.1143533980467026,0.011620046917908855,0.011620046917908855,-0.02206543386864157,-0.02206543386864157,0.09228796417806102,True,5
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,5,25,0.643188664830973,0.4069992417775883,0.4069992417775883,0.3513020792542685,0.3513020792542685,-0.29188658557670455,False,4
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,5,25,0.643188664830973,0.4069992417775883,0.4069992417775883,0.38160568385682914,0.38160568385682914,-0.2615829809741439,False,4
TB06_T03_LowVolPortfolioRank,medium_8_12_floor25,5,25,0.643188664830973,0.4069992417775883,0.4069992417775883,0.4069992417775883,0.4069992417775883,-0.23618942305338475,False,0
TB06_T03_LowVolPortfolioRank,late_10_15_floor50,5,25,0.643188664830973,0.4069992417775883,0.4069992417775883,0.4069992417775883,0.4069992417775883,-0.23618942305338475,False,0
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,6,25,0.0529352758418242,0.003024635297466771,0.003024635297466771,0.04417363519254325,0.04417363519254325,-0.00876164064928095,False,4
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,6,25,0.0529352758418242,0.003024635297466771,0.003024635297466771,0.02468310766506887,0.02468310766506887,-0.028252168176755327,False,4
TB06_T03_LowVolPortfolioRank,medium_8_12_floor25,6,25,0.0529352758418242,0.003024635297466771,0.003024635297466771,0.03113531871002695,0.03113531871002695,-0.02179995713179725,False,4
TB06_T03_LowVolPortfolioRank,late_10_15_floor50,6,25,0.0529352758418242,0.003024635297466771,0.003024635297466771,0.002155580469861418,0.002155580469861418,-0.05077969537196278,False,2
