scenario,stagger_variant,source_trade_count,stagger_trade_count,coverage_rate,first_entry,last_second_expiry,total_weighted_pnl_points,mean_weighted_pnl_points,worst_weighted_trade_points,max_drawdown_points,win_rate,total_return_on_margin,annualized_return_on_margin,positive_years,negative_years,year_count,coverage_gate_pass,return_retention_gate_pass,drawdown_gate_pass,decision,broker_orders_allowed
base,stagger_25_75,51,3,0.058823529411764705,2019-10-17,2024-05-30,120.77937499999999,40.259791666666665,24.099375000000002,0.0,1.0,0.1776455251577095,0.03603700629342654,3,0,3,False,True,True,not_selected,False
base,stagger_50_50,51,3,0.058823529411764705,2019-10-17,2024-05-30,96.60125,32.20041666666666,18.17125,0.0,1.0,0.13980459159018227,0.0287367877425051,3,0,3,False,True,True,not_selected,False
base,stagger_75_25,51,3,0.058823529411764705,2019-10-17,2024-05-30,72.423125,24.141041666666666,12.243125000000003,0.0,1.0,0.10196365802265504,0.021244138365620335,3,0,3,False,True,True,not_selected,False
base,near_100,51,3,0.058823529411764705,2019-10-17,2024-05-30,48.245000000000005,16.081666666666667,6.315000000000001,0.0,1.0,0.06412272445512779,0.013547108206532155,3,0,3,False,True,True,not_selected,False
harsh_stress,stagger_25_75,51,3,0.058823529411764705,2019-10-17,2024-05-30,61.09624999999998,20.36541666666666,8.361249999999998,0.0,1.0,0.08658278448967921,0.018140962182706444,3,0,3,False,True,True,not_selected,False
harsh_stress,stagger_50_50,51,3,0.058823529411764705,2019-10-17,2024-05-30,43.827499999999986,14.609166666666662,4.0175,0.0,1.0,0.06203051565692472,0.013115323601166073,3,0,3,False,True,True,not_selected,False
harsh_stress,stagger_75_25,51,3,0.058823529411764705,2019-10-17,2024-05-30,26.55874999999999,8.852916666666664,-0.32624999999999993,0.0,0.6666666666666666,0.037478246824170204,0.00799781504937136,2,1,3,False,True,True,not_selected,False
harsh_stress,near_100,51,3,0.058823529411764705,2019-10-17,2024-05-30,9.289999999999992,3.096666666666664,-4.669999999999999,0.0,0.6666666666666666,0.012925977991415701,0.0027845220772697576,2,1,3,False,True,True,not_selected,False
