collection_date_ist,observed_timestamp_ist,underlying,spot_source,spot_last_price,spot_timestamp,expiry_date,days_to_expiry,band_low,band_high,tradingsymbol,instrument_token,strike,option_type,moneyness_pct,quote_source,quote_timestamp,quote_age_seconds,bid,ask,mid,last_price,volume,oi,spread_points,spread_pct,all_quote_available,quote_freshness_pass,spread_quality_pass,broker_order_allowed,order_route,selection_reason
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672122250PE,14661122,22250.0,PE,-0.08065639067764918,kite_quote_api,2026-07-15 09:46:03,8.785482,2.15,2.25,2.2,2.2,77285,41925,0.10000000000000009,0.04545454545454549,True,True,True,False,blocked_no_broker_call,selected_profile_leg_supplement
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123000CE,14668546,23000.0,CE,-0.04966728025105305,kite_quote_api,2026-07-15 09:46:11,0.785482,1196.95,1201.4,1199.1750000000002,1192.55,28015,203710,4.4500000000000455,0.0037108845664728207,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123000PE,14668802,23000.0,PE,-0.04966728025105305,kite_quote_api,2026-07-15 09:46:11,0.785482,5.15,5.2,5.175000000000001,5.15,8445190,7186010,0.04999999999999982,0.009661835748792235,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123050CE,14669058,23050.0,CE,-0.0476013395559467,kite_quote_api,2026-07-15 09:46:09,2.785482,1146.8,1153.55,1150.175,1010.0,0,65,6.75,0.005868672158584563,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123050PE,14669314,23050.0,PE,-0.0476013395559467,kite_quote_api,2026-07-15 09:46:10,1.785482,5.55,5.6,5.574999999999999,5.55,1463215,598390,0.04999999999999982,0.00896860986547082,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123100CE,14669570,23100.0,CE,-0.04553539886084024,kite_quote_api,2026-07-15 09:46:11,0.785482,1098.25,1102.85,1100.55,1079.45,650,31460,4.599999999999909,0.004179728317659269,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123100PE,14669826,23100.0,PE,-0.04553539886084024,kite_quote_api,2026-07-15 09:46:11,0.785482,6.0,6.05,6.025,6.05,4639635,1767025,0.04999999999999982,0.008298755186721962,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123150CE,14670082,23150.0,CE,-0.04346945816573389,kite_quote_api,2026-07-15 09:46:07,4.785482,1046.05,1056.35,1051.1999999999998,942.6,0,65,10.299999999999955,0.009798325722983215,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123150PE,14670338,23150.0,PE,-0.04346945816573389,kite_quote_api,2026-07-15 09:46:11,0.785482,6.55,6.6,6.574999999999999,6.6,1946295,488410,0.04999999999999982,0.0076045627376425595,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123200CE,14670594,23200.0,CE,-0.04140351747062743,kite_quote_api,2026-07-15 09:46:11,0.785482,999.65,1004.6,1002.125,982.05,3510,9425,4.9500000000000455,0.004939503554945786,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123200PE,14670850,23200.0,PE,-0.04140351747062743,kite_quote_api,2026-07-15 09:46:11,0.785482,7.15,7.2,7.175000000000001,7.15,4988620,2925845,0.04999999999999982,0.006968641114982553,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123250CE,14671106,23250.0,CE,-0.03933757677552108,kite_quote_api,2026-07-15 09:46:10,1.785482,950.8,955.05,952.925,937.5,65,650,4.25,0.004459952252275887,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123250PE,14671362,23250.0,PE,-0.03933757677552108,kite_quote_api,2026-07-15 09:46:11,0.785482,7.95,8.0,7.975,7.95,1474850,661765,0.04999999999999982,0.006269592476489006,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123300CE,14671618,23300.0,CE,-0.037271636080414616,kite_quote_api,2026-07-15 09:46:11,0.785482,901.5,907.95,904.725,893.2,2275,27235,6.4500000000000455,0.007129238166293675,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123300PE,14671874,23300.0,PE,-0.037271636080414616,kite_quote_api,2026-07-15 09:46:11,0.785482,8.8,8.85,8.825,8.85,5435170,4449965,0.049999999999998934,0.005665722379603279,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123350CE,14672130,23350.0,CE,-0.03520569538530827,kite_quote_api,2026-07-15 09:46:10,1.785482,852.5,857.55,855.025,845.05,1235,1235,5.0499999999999545,0.005906260050875653,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123350PE,14672386,23350.0,PE,-0.03520569538530827,kite_quote_api,2026-07-15 09:46:11,0.785482,10.05,10.1,10.075,10.1,2395185,1176630,0.049999999999998934,0.004962779156327438,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123400CE,14672642,23400.0,CE,-0.033139754690201806,kite_quote_api,2026-07-15 09:46:11,0.785482,805.25,809.2,807.225,797.9,10855,37700,3.9500000000000455,0.004893307318281824,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123400PE,14672898,23400.0,PE,-0.033139754690201806,kite_quote_api,2026-07-15 09:46:11,0.785482,11.5,11.55,11.525,11.55,5705700,2705560,0.05000000000000071,0.004338394793926309,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123450CE,14673154,23450.0,CE,-0.031073813995095456,kite_quote_api,2026-07-15 09:46:10,1.785482,757.05,761.25,759.15,749.4,6435,15665,4.2000000000000455,0.005532503457814721,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123450PE,14673410,23450.0,PE,-0.031073813995095456,kite_quote_api,2026-07-15 09:46:10,1.785482,13.35,13.45,13.399999999999999,13.45,2137135,685425,0.09999999999999964,0.007462686567164154,True,True,True,False,blocked_no_broker_call,spot_band|selected_profile_leg
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123500CE,14673666,23500.0,CE,-0.029007873299988995,kite_quote_api,2026-07-15 09:46:10,1.785482,710.3,712.25,711.275,711.15,97175,243685,1.9500000000000455,0.002741555657094718,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123500PE,14673922,23500.0,PE,-0.029007873299988995,kite_quote_api,2026-07-15 09:46:11,0.785482,15.7,15.8,15.75,15.7,7697690,4247555,0.10000000000000142,0.006349206349206439,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-15,2026-07-15T09:46:11.785482+05:30,NIFTY,NSE:NIFTY 50,24202.05,2026-07-15 09:46:09,2026-07-21,6,22991.9475,25412.1525,NIFTY2672123550CE,14674178,23550.0,CE,-0.026941932604882646,kite_quote_api,2026-07-15 09:46:11,0.785482,662.35,666.7,664.5250000000001,655.5,18785,8320,4.350000000000023,0.006546029118543354,True,True,True,False,blocked_no_broker_call,spot_band
