candidate_id,ticker,active_sleeve_contribution_proxy
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,ADANIPORTS,0.043882539238522575
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,AXISBANK,0.03904739670712218
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,BAJAJ-AUTO,0.008689065964077489
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,BHARTIARTL,0.0409376623666949
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,BPCL,0.03672296826784794
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,BRITANNIA,0.02189503065391659
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,CIPLA,0.011023113590589391
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,DRREDDY,0.027384224578723654
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,HCLTECH,0.0236738941742905
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,HDFCBANK,0.03210266058361498
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,HINDUNILVR,0.017749553665681646
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,ICICIBANK,0.01435183258227378
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,INFY,0.005947389391787661
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,ITC,0.05681139924920685
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,KOTAKBANK,0.021146579159894978
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,LT,0.04371207702897212
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,M&M,0.044846399051880044
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,MARUTI,0.05244636158065604
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,NESTLEIND,0.03559253879024496
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,ONGC,0.035641354183828515
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,RELIANCE,0.0270098829449948
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,SBIN,0.048623191810169046
E1006_core0.50_active0.50_top10_r30_breadth_adv_50,SUNPHARMA,0.04344810469551528
