profile,objective,allocation,capital_budget_rupees,worst_trade_budget_rupees,drawdown_budget_rupees,lot_size_reference,base_allowed_lots,moderate_allowed_lots,harsh_allowed_lots,base_ann_return_on_capital,moderate_ann_return_on_capital,harsh_ann_return_on_capital,min_nearby_lot_ann_return_on_capital,base_ann_pnl_rupees,harsh_ann_pnl_rupees,harsh_worst_trade_rupees,harsh_max_drawdown_rupees,harsh_peak_margin_rupees,harsh_capital_utilization,harsh_worst_trade_budget_used,harsh_drawdown_budget_used,deployable_lot_scenarios,missing_lot_scenarios,passes_return_gate,passes_lot_sensitivity,selection_score,selected_for_profile
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg0_ovg50,500000,25000,50000,65,6,6,6,0.223263320925174,0.1442941946780742,0.0879538948955916,0.0845710527842227,111631.660462587,43976.94744779582,-6057.675,-10980.44999999999,445011.4500000181,0.8900229000000363,0.242307,0.2196089999999998,9,,True,True,0.03449903660890376,True
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg0_ovg25,500000,25000,50000,65,6,6,6,0.186052767437645,0.1202451622317285,0.073294912412993,0.0704758773201855,93026.38371882252,36647.456206496514,-5048.0625,-9150.375000000016,445011.45000002254,0.890022900000045,0.2019225,0.18300750000000032,9,,True,True,0.02874919717408632,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg0_ovg0,500000,25000,50000,65,6,6,6,0.148842213950116,0.0961961297853828,0.0586359299303944,0.0563807018561485,74421.10697505799,29317.96496519721,-4038.45,-7320.300000000004,445011.45000001264,0.8900229000000253,0.161538,0.14640600000000006,9,,True,True,0.02299935773926911,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg25_ovg50,500000,25000,50000,65,4,4,4,0.1610837610501567,0.1014168976227795,0.0584848452194357,0.0506118852860501,80541.88052507836,29242.42260971787,-5629.325,-15753.400000000003,452357.1000001608,0.9047142000003215,0.22517299999999998,0.31506800000000007,9,,True,True,-0.03490064265673987,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg50_ovg50,500000,25000,50000,65,4,4,4,0.1881006585423197,0.1161869155433646,0.064154464106583,0.0555182862460815,94050.32927115988,32077.232053291536,-11258.65,-23743.85000000001,452357.100000075,0.90471420000015,0.45034599999999997,0.4748770000000002,9,,True,True,-0.11260204839733555,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg50_ovg25,500000,25000,50000,65,4,4,4,0.1657561812826541,0.1017457689263323,0.055351926384535,0.0479007055250783,82878.09064132707,27675.9631922675,-11258.65,-22450.025,452357.100000075,0.90471420000015,0.45034599999999997,0.4490005,9,,True,True,-0.11973550891131139,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg75_ovg50,500000,25000,50000,65,4,4,4,0.2151175560344828,0.1309569334639498,0.0698240829937304,0.0604246872061128,107558.7780172414,34912.041496865204,-16887.975,-31734.300000000007,452357.1000000464,0.9047142000000928,0.675519,0.6346860000000001,9,,True,True,-0.19030345413793104,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg75_ovg25,500000,25000,50000,65,4,4,4,0.1927730787748171,0.1165157868469174,0.0610215452716823,0.0528071064851097,96386.53938740856,30510.772635841164,-16887.975,-30440.475,452357.1000000464,0.9047142000000928,0.675519,0.6088095,9,,True,True,-0.19743691465190702,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg75_ovg0,500000,25000,50000,65,4,4,4,0.1704286015151515,0.102074640229885,0.0522190075496342,0.0451895257641065,85214.30075757577,26109.50377481714,-16887.975,-29146.650000000005,452357.1000000464,0.9047142000000928,0.675519,0.5829330000000001,9,,True,True,-0.20457037516588306,False
balanced_500k,maximize_harsh_adjusted_return_with_loss_penalty,def_full_resg100_ovg50,500000,25000,50000,65,4,4,4,0.2421344535266458,0.145726951384535,0.0754937018808777,0.0653310881661441,121067.2267633229,37746.85094043887,-22517.3,-39724.75000000001,452357.10000003217,0.9047142000000644,0.9006919999999999,0.7944950000000002,9,,True,True,-0.2680048598785267,False
