symbol,trade_count,first_trade_date,last_expiry_date,incremental_yield_ann,covered_call_ann_return,buyhold_ann_return,mean_incremental_return,worst_incremental_return,assignment_rate,total_premium_points,total_upside_giveup_points,upside_giveup_to_premium,assignment_delivery_stt_points,yield_gate_pass,upside_giveup_gate_pass,assignment_tax_modelled,broker_orders_allowed
PORTFOLIO_EQUAL_WEIGHT,238,2016-05-09,2024-06-27,0.043784438656696865,0.08949813724418083,0.028372257022153662,0.0044380860922602385,-0.15047509566526573,0.2857142857142857,3910.7,2650.4700000000003,0.6777482292172757,95.25455,False,False,True,False
ICICIBANK,97,2016-05-09,2024-06-27,0.09473323901022956,0.22930104221405778,0.10670454394964457,0.008208659982269814,-0.10497079420658925,0.29896907216494845,800.0,572.9200000000001,0.7161500000000001,15.794550000000001,True,False,True,False
INFY,69,2018-09-10,2024-06-27,0.0027894280281264283,0.009694633141939413,-0.008626876697770736,0.0006384709404216782,-0.15047509566526573,0.2753623188405797,998.7500000000001,855.15,0.8562202753441801,24.56,False,False,True,False
TCS,72,2018-06-11,2024-06-27,0.0338306489317346,0.02949873637654532,-0.012960896185412851,0.002999583010953732,-0.08018547748639293,0.2777777777777778,2111.95,1222.4,0.5788015814768342,54.900000000000006,True,False,True,False
