experiment_id,ticker,pnl_contribution
E1002,ADANIPORTS,0.03464100077236342
E1002,AXISBANK,-0.07042242442187273
E1002,BAJAJ-AUTO,0.0033634341841310834
E1002,BHARTIARTL,-0.03630512837215589
E1002,BPCL,0.03974781094005583
E1002,BRITANNIA,-0.03729013908467676
E1002,CIPLA,0.03322846483150774
E1002,DRREDDY,-0.05124898636139772
E1002,HCLTECH,-0.041499979101690725
E1002,HDFCBANK,-0.029653576334725065
E1002,HINDUNILVR,-0.07064068855501035
E1002,ICICIBANK,-0.06168329409853758
E1002,INFY,-0.06366831441031405
E1002,ITC,-0.050285872085871375
E1002,KOTAKBANK,-0.033105057131972544
E1002,LT,-0.05917977771563916
E1002,M&M,0.020953664920746913
E1002,MARUTI,-0.033564923139490985
E1002,NESTLEIND,-0.02471697067600269
E1002,ONGC,-0.02034044958667504
E1002,RELIANCE,-0.0537113064701078
E1002,SBIN,-0.019952042072043152
E1002,SUNPHARMA,-0.058362701183023336
E1002,TCS,-0.0051562772104359715
E1002,TECHM,-0.04545854597464572
E1002,ULTRACEMCO,0.008929067185443649
E1002,WIPRO,-0.0162106362719795
E1003,ADANIPORTS,-0.07101450181400619
E1003,AXISBANK,-0.002827548618976842
E1003,BAJAJ-AUTO,0.060597587631691305
E1003,BHARTIARTL,0.0078009569080058705
E1003,BPCL,0.01607625211240479
E1003,BRITANNIA,-0.050675683291909336
E1003,CIPLA,-0.02173041745758588
E1003,DRREDDY,-0.043786324584277024
E1003,HCLTECH,-0.01128166325107217
E1003,HDFCBANK,-0.040338690025775975
E1003,HINDUNILVR,-0.049864083929246385
E1003,ICICIBANK,-0.035408843625892396
E1003,INFY,-0.09915403954693482
E1003,ITC,-0.04930850681928673
E1003,KOTAKBANK,-0.030654957512499737
E1003,LT,-0.04914443703186909
E1003,M&M,-0.013729608730506937
E1003,MARUTI,0.006634605003546412
E1003,NESTLEIND,-0.01775149837081285
E1003,ONGC,-0.02037601339851356
E1003,RELIANCE,-0.03385086089688205
E1003,SBIN,-0.013104354935041631
E1003,SUNPHARMA,-0.05033887953701344
E1003,TCS,-0.03917354867368882
E1003,TECHM,-0.09099786836876445
E1003,ULTRACEMCO,0.0102342982662119
E1003,WIPRO,-0.025870114836266236
E1006,ADANIPORTS,-0.02777993043969379
E1006,AXISBANK,0.007095979942156853
E1006,BAJAJ-AUTO,0.025884484147080448
E1006,BHARTIARTL,-0.007119514547915045
E1006,BPCL,0.00036432272597947406
E1006,BRITANNIA,0.0013581700634825262
E1006,CIPLA,-0.017423062298894204
E1006,DRREDDY,-0.015189263659189253
E1006,HCLTECH,0.01518257505075948
E1006,HDFCBANK,-0.0596188499829043
E1006,HINDUNILVR,-0.038680569567969635
E1006,ICICIBANK,-0.05168124845421756
E1006,INFY,-0.09895962763438934
E1006,ITC,-0.06313316648356558
E1006,KOTAKBANK,-0.03280356086269646
E1006,LT,-0.028647366680572654
E1006,M&M,0.07143448271958076
E1006,MARUTI,-0.023522164776189698
E1006,NESTLEIND,-0.05032738635158105
E1006,ONGC,0.012087686608738163
E1006,RELIANCE,-0.015768581324588974
E1006,SBIN,-0.06556558542759806
E1006,SUNPHARMA,-0.06385039656020254
E1006,TCS,-0.06225321868452092
E1006,TECHM,-0.011101802584923433
E1006,ULTRACEMCO,0.01680514149574611
E1006,WIPRO,0.017458458985850706
