year,trades,pnl_points,worst_trade_points,win_rate,scenario,allocation,pnl_share_of_positive_total
2024,13,101.35499999999996,-11.4,0.46153846153846156,harsh_stress,def_full_resg100_ovg50,0.08881674071347825
2016,4,-7.612500000000001,-3.9875,0.25,harsh_stress,def_full_resg50_ovg50,-0.007849839909668838
2017,10,-43.292500000000004,-14.325,0.0,harsh_stress,def_full_resg50_ovg50,-0.04464225869153868
2018,8,-25.622500000000006,-5.225000000000002,0.0,harsh_stress,def_full_resg50_ovg50,-0.026421349502198994
2019,13,258.80999999999995,-15.5325,0.46153846153846156,harsh_stress,def_full_resg50_ovg50,0.26687908926389375
2020,30,233.7325,-11.3325,0.6,harsh_stress,def_full_resg50_ovg50,0.24101973158445603
2021,23,227.4600000000001,-39.96000000000007,0.6521739130434783,harsh_stress,def_full_resg50_ovg50,0.2345516697344203
2022,33,284.68749999999994,-43.3025,0.6363636363636364,harsh_stress,def_full_resg50_ovg50,0.2935633890684856
2023,7,-16.8,-5.785,0.14285714285714285,harsh_stress,def_full_resg50_ovg50,-0.017323784628234678
2024,13,58.402499999999975,-5.7,0.46153846153846156,harsh_stress,def_full_resg50_ovg50,0.06022335308038543
2017,1,-5.225,-5.225,0.0,moderate_stress,def_full_resg0_ovg0,-0.005983909296532768
2019,9,208.53750000000002,-5.9875,0.7777777777777778,moderate_stress,def_full_resg0_ovg0,0.23882669567956022
2020,14,201.3125,-2.8875,0.7857142857142857,moderate_stress,def_full_resg0_ovg0,0.23055229478626849
2021,12,258.5625,-3.0,0.9166666666666666,moderate_stress,def_full_resg0_ovg0,0.2961176167434936
2022,12,182.8875,0.7624999999999993,1.0,moderate_stress,def_full_resg0_ovg0,0.2094511409511266
2024,3,27.099999999999998,2.0625,1.0,moderate_stress,def_full_resg0_ovg0,0.031036161136083828
2017,1,-7.837499999999999,-7.837499999999999,0.0,moderate_stress,def_full_resg0_ovg50,-0.005983909296532766
2019,9,312.80625,-8.98125,0.7777777777777778,moderate_stress,def_full_resg0_ovg50,0.23882669567956016
2020,14,301.96875,-4.33125,0.7857142857142857,moderate_stress,def_full_resg0_ovg50,0.23055229478626846
2021,12,387.84375,-4.5,0.9166666666666666,moderate_stress,def_full_resg0_ovg50,0.2961176167434935
2022,12,274.33125,1.143749999999999,1.0,moderate_stress,def_full_resg0_ovg50,0.2094511409511266
2024,3,40.65,3.09375,1.0,moderate_stress,def_full_resg0_ovg50,0.031036161136083824
2016,4,4.487500000000001,-3.4875000000000007,0.5,moderate_stress,def_full_resg100_ovg50,0.0020371591446882355
2017,10,-22.775,-7.837499999999999,0.2,moderate_stress,def_full_resg100_ovg50,-0.010339008249643353
2018,8,-11.512499999999996,-5.825000000000001,0.375,moderate_stress,def_full_resg100_ovg50,-0.0052262495048965565
2019,13,455.89374999999995,-8.98125,0.6923076923076923,moderate_stress,def_full_resg100_ovg50,0.20695891294010293
2020,30,546.2437500000001,-6.2875000000000005,0.8333333333333334,moderate_stress,def_full_resg100_ovg50,0.24797447365822714
2021,23,374.76625000000024,-75.01500000000014,0.7391304347826086,moderate_stress,def_full_resg100_ovg50,0.17013002636390367
2022,33,660.05625,-79.23750000000001,0.8787878787878788,moderate_stress,def_full_resg100_ovg50,0.2996411422164064
2023,7,1.1999999999999957,-7.175000000000001,0.14285714285714285,moderate_stress,def_full_resg100_ovg50,0.0005447556487188576
2024,13,194.4625,-6.949999999999999,0.7692307692307693,moderate_stress,def_full_resg100_ovg50,0.08827878778249268
2016,4,2.2437500000000004,-1.7437500000000004,0.5,moderate_stress,def_full_resg50_ovg50,0.0012775491553941045
2017,10,-15.306249999999999,-7.837499999999999,0.2,moderate_stress,def_full_resg50_ovg50,-0.008715091592089585
2018,8,-5.756249999999998,-2.9125000000000005,0.375,moderate_stress,def_full_resg50_ovg50,-0.0032775007579887733
2019,13,384.34999999999997,-8.98125,0.6923076923076923,moderate_stress,def_full_resg50_ovg50,0.21884167927608866
2020,30,424.10625000000005,-4.33125,0.8333333333333334,moderate_stress,def_full_resg50_ovg50,0.24147814216595473
2021,23,381.3050000000001,-37.50750000000007,0.7391304347826086,moderate_stress,def_full_resg50_ovg50,0.2171079134028074
2022,33,467.19374999999997,-39.618750000000006,0.8787878787878788,moderate_stress,def_full_resg50_ovg50,0.2660113563088153
2023,7,0.5999999999999979,-3.5875000000000004,0.14285714285714285,moderate_stress,def_full_resg50_ovg50,0.0003416287435037147
2024,13,117.55625,-3.475,0.7692307692307693,moderate_stress,def_full_resg50_ovg50,0.06693432329751452
